pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.285714285714286	0.665618765491808	1.11509111246329	NA	5	MTHFD1L;AASDHPPT;MTHFD1
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.457974137931034	0.786875040359034	1.01092343965387	NA	10	LYRM4;FXN;GLRX3;NFS1
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.666666666666667	0.899099879964138	-0.846586466720525	NA	13	D2HGDH;OGDH;IDH1;GOT1;DLST;PHYH;DLD;KGD4;IDH2;GOT2;L2HGDH;GPT2
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.244559585492228	0.628818551207247	1.14130655585387	NA	15	PUM1;ZC3H12A;MOV10;RC3H1;DHX36;ZFP36L1;KHSRP;UPF1;ZFP36
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.526207605344296	0.822713112019412	1.00730474838465	NA	19	MAPKAPK2;ANGEL2;ARID5A;MYD88;NICOL1;TENT4A;MAPK14;YBX3;HNRNPC;TENT4B;METTL16;ELAVL1;ZFP36
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.529761904761905	0.824689169348554	0.946776042311668	NA	5	LYRM4;FXN;NFS1
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.261415525114155	0.642460858948578	1.11692711514223	NA	6	GTF3C2;GTF3C3;GTF3C4;GTF3C5;GTF3C1
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.474137931034483	0.798580964485139	1.00107668393744	NA	10	LSM10;SNRPE;SNRPG;TGS1;SNRPF;SNRPD1;SNRPB;SNRPD3
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.332586786114222	0.698973877018681	1.07352799688313	NA	7	CMTR1;RNGTT;NCBP1;RAMAC;CMTR2;RNMT
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__16023185_wilcoxon	census_scrna__16023185_wilcoxon	0.968335035750766	1	0.630501381836756	NA	22	PDK1;PDK3;PGK1;PDP1;BCKDK;ACLY;ACSS1
