pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.383720930232558	1	-1.04982206893452	NA	17	MAPK8;BCL2;JUND;ITCH;SF3B1;DDX21;BAZ1B;SMARCB1
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.9393605292172	1	0.606708666887986	NA	15	SF3B4
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.0633187772925764	0.7229853116316	1.36550151877005	NA	17	HLA-DRA;SLC35C1;HLA-DMA
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.922141119221411	1	0.639002307058512	NA	8	RHOA;CDC42
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.174825174825175	0.837918913447559	-1.26167525945567	NA	10	CCL5;NSMCE2;RIC3
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.923950056753689	1	0.636882947402824	NA	12	SPCS3
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.848720800889878	1	0.722693271850017	NA	14	IFITM1
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.556476683937824	1	0.96458409657774	NA	39	TMEM219;HDAC3;CCT8;CCT3;PAGR1;QPRT;TCP1;CCT4;HIRIP3;CORO1A;KIF22;PPP2R1A;CCT5;MAZ;CCT2;MAP2K6;PPP4R2;MVP
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.0819148936170213	0.756508135168961	1.31498531209044	NA	30	UQCRFS1;NDUFA4;COX5A;MLST8;CYC1;CALM3;UQCRC1;UQCRC2;UQCRQ;NDUFA9;NDUFS3;UQCR10;NDUFS8;UQCRH;PRKAG2;CALM2;TRAP1
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.922002328288708	1	0.633522147815899	NA	10	RAP1A;ACTR10;DCP1A;ACTR1A;CEP20;DCTN6;ACTR1B
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.0882352941176471	0.793113122549299	1.35448571364082	NA	13	DCTN3;DCTN2
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.689956331877729	1	0.869029075660728	NA	19	MIEN1;CISD3
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.511554621848739	1	0.994924497712186	NA	33	RER1;COMMD1;MRPL20;AURKAIP1;ATAD3C;INTS10;RBX1
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.244747899159664	0.915017619951206	1.16803861886319	NA	33	HDAC3;MRPL40;THAP7;NPRL2;RBX1;SNAP29;DGCR6L;CBX5;EMC10;CDC42;HIRIP3;RAN;RANBP1;ASF1A;SLC25A1;TRMT2A
WP_22Q112_DISTAL_CNV	WP_22Q112_DISTAL_CNV	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.996984924623116	1	0.559451082248857	NA	88	RILP;CD79B;XBP1;UBE2L3;SF3A2;SDF2L1;SF3B4;RBX1
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.216530849825378	0.906542491268917	1.2147979314866	NA	10	RHOA;CIAO1;PARL;ANKRD39;STARD7
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.796336206896552	1	0.794217328538365	NA	21	CHCHD5;POLR1H;SOCS3;POLR2F;STAT1;POLR1D;POLR2L
WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.252747252747253	0.917487137140316	1.17193155401159	NA	7	PLEKHB2;RHOA;MZT2A
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.744041450777202	1	0.853062796303189	NA	39	THAP4;GABARAP;IRF8;PPP1R7;UBE2F;DTYMK;ARF5;ING5;RNPEPL1;COPS8;NEDD8;CXCR4;ILKAP;GABARAPL2;ATG4B;ARF1;RRAGA;CALM1
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME	WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.853290183387271	1	0.736913579128568	NA	23	DYNLL1;HIF1A
WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.876696832579186	1	0.697028289356138	NA	13	EIF4EBP1;EIF4E
WP_4P163_COPY_NUMBER_VARIATION	WP_4P163_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.717857142857143	1	0.837396518276152	NA	9	H3-3A
