pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.000104554663217261	0.00245703458560564	1.52497979455529	NA	99	TALDO1;CDKN2C;COX8A;COX6A1;NDUFAB1;ATP1B3;SAMM50;ACO2;NDUFA5;MDH2;NDUFB7;LTC4S;DRAM2;IDH3G;BCKDHA;CYC1;IDH3A;DNAJC15;TST;GRPEL1;QDPR;UQCRC1;PRDX3;DECR1;MTCH2;COX7B;GADD45A;UQCRQ;JAGN1;RTN3;PGM1;CD151;NDUFS3;REEP5;HADH;ACADM;ETFB;MRPL15;PREB;COQ9;UQCR10;AK2;DNAJB9;UBQLN1;PFKL;IFNGR1
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.657314629258517	0.997389033942559	0.936887235002519	NA	83	HLA-DRA;HIF1A;HLA-DMA;NCF4;IRF7;IRF8;TAP1;TAP2;TPD52;MAP4K1;LTB;PSMB10;NME1;WAS;UBE2D1;STAT1;SPI1;HCLS1;CCND2;DARS1;ITGB2;B2M;FCGR2B;IFNGR1;HLA-DOB;AARS1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.745398773006135	0.997389033942559	0.864341080851733	NA	50	ADRM1;SPCS3;DBI;LMAN1;CENPN;SRP19;TMEM50A;TPD52;HPGD;TSC22D1;KRT8;KRT19;DNAJB9;B2M;NCOA4
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.959530026109661	0.997389033942559	0.57917134307301	NA	5	CCND2;LRPAP1;VEGFA
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.960204081632653	0.997389033942559	0.618704165871965	NA	47	ICAM2;CERCAM;SHC1;CAP1;GAMT;TUBG1;HADH;ARPC2;RSU1;LDLRAP1;ACTN4;MDK;MPZL1;CD86;PFN1;ITGB1;TIAL1;MYL12B;ICAM1;EXOC4;MAPK13
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.997389033942559	0.997389033942559	0.457349123598863	NA	5	SULF2;IL2RG
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.826961770623742	0.997389033942559	0.844628955753355	NA	72	BCL2L1;CDKN1B;CAV1;BID;RHOB;CASP1;TAP1;IRF1;GADD45A;CDKN1A;RHOT2;DFFA;BCAP31;CCND2;DAP;EBP;IFNGR1;VDAC2;NEDD9;DAP3;KRT18
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.732767762460233	0.997389033942559	0.840693261791394	NA	25	PRDX5;ISOC1;PAOX;GSTK1;EFHC1;IDH1;HSD17B11;SOD1;SCP2;IDH2;SLC35B2;ALDH9A1;PHYH
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.979013641133263	0.997389033942559	0.570535959495715	NA	29	S100A11;ETHE1;FDPS;FABP5;EBP;ECH1;TM7SF2;LGALS3
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	census_scrna__19053a82_pseudobulk	census_scrna__19053a82_pseudobulk	0.9	0.997389033942559	0.677554326311416	NA	26	ANG;CTSH;CSRP1;CTSB;ARF4;RABIF;MSRB2;LAMP2;SIRT2;PEF1
