pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.46943231441048	0.855273407072753	0.993281043386376	NA	19	TAP1;ABCC4;TAP2;ABCB7;ABCB8;ABCA7
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.275	0.757763975155279	1.08819433857596	NA	50	PIM1;PIK3CG;RPS6KB2;STAT3;GRB2;KRAS;EIF4EBP1;SPI1;PIM2;ARAF;BAD;MTOR;NRAS;LEF1;MYC
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.152980877390326	0.595648948136802	1.23080164165298	NA	44	RHOA;WASF2;PTPN1;RAC1;ACP1;CSNK2B;RAC2;ACTG1;WAS;CSNK2A1;IQGAP1;TGFBR2;FARP2;CDC42;LEF1;CTNNA1;ACTN4
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.0551801801801802	0.47002715366481	1.47263618522687	NA	46	SOCS3;ADIPOR1;STAT3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.767391304347826	0.948868977673325	0.816082109799483	NA	18	ADSL;PPAT;GOT2;CAD;GLUD1;GOT1;GFPT1;GPT2;ALDH5A1;NIT2;ASNS
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.354416575790622	0.800718930489923	1.053281469805	NA	25	ATP1B3;PIK3CG;KRAS;PRKCB;PDPK1;SCNN1B;IGF1;ATP1A1;ATP1B1;SGK1
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.081140350877193	0.47002715366481	1.36814963793317	NA	21	HLA-DRA;HLA-DMA;HLA-F;GZMB;HLA-DPB1;HLA-DPA1;HLA-DQB1;HLA-DRB5
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.796491228070175	0.965284071104915	0.772443649218328	NA	6	PLA2G12A
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.000996523536307507	0.030393967857379	1.61552779751353	NA	113	MT-CO2;MT-ATP8;NDUFC2;NDUFV2;COX8A;MT-ATP6;NDUFAB1;NDUFB6;CYC1;COX5A;UQCRB;NDUFB10;COX7B;NDUFA7;UQCRFS1;COX6A1;NDUFB7;NDUFS5;CALM1;EIF2AK3;COX7A2;NDUFB9;PPP3CC;NDUFC1;COX5B;MT-CO1;NDUFB8;ATP2A3;BID;SDHD;NDUFA6;ITPR2;NDUFB2;APH1A;NDUFA4;PSENEN;NDUFS7;NDUFV1;NDUFA8;NDUFB5;UQCRC1;MT-CO3;NDUFA2;COX6C;CASP8;CALM3
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.853957636566332	0.98233444883886	0.764290885748081	NA	40	EPRS1;AARS1;WARS1;TARS1;FARSA;DARS1;MARS1;GARS1;IARS2;QARS1;YARS2;WARS2;HARS2;YARS1;NARS2;CARS1;IARS1;MARS2;MTFMT;TARS3;VARS2
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.36766334440753	0.802631578947368	1.03215223644787	NA	39	GMDS;PMM2;GALK1;NANS;GMPPB;PGM3;CYB5R3;GPI;GALK2;GMPPA;GFUS;GNPDA1;CYB5R1;UXS1;GNPNAT1;UAP1;GFPT1;PGM2;PMM1;PGM1;CMAS;HEXB
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.380110497237569	0.808839779005525	1.0255096500035	NA	33	DERL1;RAC1;PPP3CC;BID;BCL2L1;BAX;CCS;BAD;DAXX;SOD1;CASP3;MAPK14;RAB5A;MAP2K3;TNFRSF1B;TOMM40;PPP3R1;MAPK13
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.313559322033898	0.76476838079048	-1.07470608617398	NA	48	HSP90AA1;HSPA1B;HSPA1A;HSP90AB1;HSPA6;HSPA8
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.885017421602787	0.98233444883886	0.760266080864232	NA	68	PIK3CG;ATM;PPP3CC;BID;BCL2L1;BAX;BIRC3;CASP8;TRADD;CFLAR;DFFA;PRKAR2A;CAPN2;CASP10;BAD;CAPN1;CASP3;MYD88;FADD;XIAP;FAS;RELA;PPP3R1;PIK3CB;PRKACB;RIPK1;PRKAR1A;IRAK4;DFFB;CASP7;NFKB1;CASP9;PRKAR1B
