pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.93530701754386	0.991493961586095	0.644106956043571	NA	37	SMARCA5;MYO1C;SF3B1;HSF1;ERCC8;CUL5;ITCH;BAZ1B;WDFY4;ATF2;DDX21;ERCC5;SMARCC2;SMAD5;ELK1
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.914940021810251	0.991493961586095	0.669377641083847	NA	23	SF3B4;SMC1A;MAD2L2;GHITM;SMC3;RAD21;ZMYND11;GLUD1;RSPH3;SIRT4;AFG3L2;ADAM10
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.730337078651685	0.939503011945914	-1.02547954123277	NA	35	TIMP1;CD63
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.358778625954198	0.783031119823573	1.05777665533955	NA	17	RHOA;RAC1;SSPN;CDC42;TRAF3;ATXN1;SACS;RTN4
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.278761061946903	0.721973334285255	1.14666615911942	NA	9	NIPA2;TUBGCP2
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.791028446389497	0.959371992496534	0.796370499106845	NA	26	KLF13;CALM1;CANX;SMC5;UBN1;NSMCE1
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.469026548672566	0.8378702703241	1.01583455983981	NA	9	KLF13
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.317685589519651	0.762633952289013	1.08377111506701	NA	24	TOP1;SPCS3;WHAMM;ZNF592;AP3D1
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.0545851528384279	0.345344515869827	1.58806703099547	NA	24	IFITM1;GRB2
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__19053a82_wilcoxon	census_scrna__19053a82_wilcoxon	0.27751756440281	0.721973334285255	1.09540111728877	NA	59	ALDOA;TMEM219;CCT2;QPRT;CCT8;PPP4R2;PAGR1;PPP2CA;KMT2C;CCT4;CCT6A;CASP8;INO80E;TCP1;MSN;HDAC3;PPP4R1;MAZ;NR3C1;CDIPT;PARP4
