pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.310077519379845	0.636039539782855	-1.11106659395201	NA	26	TCF7;LEF1;MYC;PIK3CD;SPI1;KRAS;PIK3CA;RUNX1
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.255813953488372	0.599444637278723	-1.15792737689993	NA	26	TGFBR2;TCF7;LEF1;ACTN1;CTNNB1;CSNK2A1;SMAD2
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.122413793103448	0.432771822358346	1.33391970909287	NA	19	TRADD;NFKBIA;SOCS3;ADIPOR1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.80718336483932	0.898778640282079	0.702362531812612	NA	6	NIT2
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.416470588235294	0.702711468604048	-1.04665536328737	NA	12	PIK3CD;PRKCA;KRAS;PDPK1;PIK3CA
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.113636363636364	0.432771822358346	1.34956955417411	NA	18	HLA-A;HLA-C;HLA-F;HLA-B;FAS
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0929319371727749	0.431131666425784	1.28993048528433	NA	107	GAPDH;CYCS;CALM1;COX5A;COX6A1;ATP5PD;COX7B;NDUFS6;NDUFA6;NDUFC2;ATP5F1B;ATP5F1C;UQCR10;NDUFB3;CAPN2;NDUFB8;COX5B;FAS;COX8A;NDUFS8;PSENEN;NDUFB2;BID;ATP5PF;ATP5MC3;NDUFB4;COX6B1;NDUFA9;NDUFAB1;NDUFA8;SDHB
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.770334928229665	0.874537263393169	-0.777177751586834	NA	20	TARS3;IARS2;WARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.527972027972028	0.781996305581211	0.970013019708859	NA	14	UGP2;NANS;HEXB
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0313435035458594	0.31592279912816	1.5524322250037	NA	22	CYCS;CASP1;BAX;SOD1;DERL1;BID;BCL2;RAC1;MAP2K3;BAD
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.000234600501695177	0.0184161393830714	1.89752624614715	NA	37	HLA-A;HSP90AA1;PSME1;PSME2;HLA-C;TAP1;B2M;HSPA8;HLA-F;CALR;HSPA5;HLA-B;PDIA3
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0995405819295559	0.431131666425784	1.34318957460989	NA	37	CYCS;TRADD;TNFSF10;NFKBIA;BAX;CAPN2;FAS;BID;PRKX;BIRC3
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.696312364425163	0.861899056096249	-0.822706005809598	NA	7	LTA4H;GPX4;EPHX2
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.119929453262787	0.432771822358346	1.33973693003902	NA	15	SAT1;LAP3
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.545454545454545	0.784101099568175	0.945735051822899	NA	13	LMNA;ITGB7;ITGB1;ACTB;ACTG1;ITGA4
KEGG_ASTHMA	KEGG_ASTHMA	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.54875283446712	0.784101099568175	-0.936576342045447	NA	10	HLA-DRA
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.110344827586207	0.432771822358346	1.35813786087062	NA	19	HLA-A;HLA-C;HLA-F;HLA-B;FAS
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.37620578778135	0.678900099789334	1.07144047344576	NA	27	CFL1;CXCR4;RAC2;ITGB1
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0321959540512775	0.31592279912816	-1.50732798908818	NA	5	TCF7;LEF1;CTNNB1
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.690559440559441	0.861899056096249	0.818560333599658	NA	13	TAF6;GTF2E2;TAF12;GTF2F2;TBPL1;GTF2A2;TAF10
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.961871750433276	0.974282998825963	0.500418072010323	NA	12	PCNA;PARP1
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.646153846153846	0.858364485981308	-0.873712460297373	NA	8	HADHA;DPYD
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.350951374207188	0.659510526665338	-1.10885804884721	NA	6	HADHA;HACD2;HSD17B12
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.918604651162791	0.957085250423778	-0.628982289972466	NA	14	MYC;KRAS;CXCL8
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0616740088105727	0.387312775330396	-1.48641669736181	NA	9	HADHA;ACAT1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.420731707317073	0.702711468604048	1.03969492436209	NA	35	JUN;RAC2;NFKBIA
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.88801261829653	0.942013385625373	0.698005426662885	NA	32	CALM1;VDAC2;PRKX;VDAC1;CYSLTR1
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.306282722513089	0.636039539782855	-1.12367026826598	NA	28	COX4I1;MT-CO2;UQCRB;MT-CYB;MT-CO3;COX7C;MT-CO1
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0783410138248848	0.424122040362307	1.39422894041279	NA	39	HLA-A;HLA-C;ITGB7;ICAM2;ITGB1;HLA-F;HLA-B;ITGA4;CD99;CD8A
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.877941176470588	0.942013385625373	0.749841067636069	NA	56	YWHAH;YWHAQ;CDC26;CCND2;RBX1;YWHAB;GADD45A;PCNA
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.441826215022091	0.722569955817378	1.00472679605072	NA	61	STAT1;CXCR4;PF4;RAC2;GNG11;NFKBIA;PPBP;GNG5;GNB2;PRKX;CCR6
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.551630434782609	0.784101099568175	-0.924317426646653	NA	32	TGFBR2;MYC;PIK3CD;CTBP1;KRAS;PIK3CA;RUNX1;CBL
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.458041958041958	0.726389771844317	1.01448304667656	NA	18	SUCLG1;MDH2;IDH2;SDHB;IDH3G;SDHD;SDHC;MDH1;IDH3B;ACO2
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.684294871794872	0.861899056096249	0.846217446001668	NA	29	CYCS;JUN;RAC2;BAX
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.830866807610994	0.918634428133282	-0.70018893764141	NA	6	PLAUR;SERPINA1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.396853146853147	0.692288267288267	1.07401925861154	NA	14	LDHA
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0549618320610687	0.375174244938599	1.46991596096739	NA	40	LTB;TNFRSF4;IL2RG;TNFRSF18;CXCR4;TNFSF10;PF4;OSM;PPBP;TNFSF13B
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0173132823876127	0.302020592761689	1.64675273312584	NA	17	IRF7;CASP1;NFKBIA;RIGI;PYCARD;ZBP1;TREX1;STING1;NFKB1;ADAR
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.137566137566138	0.466567607726597	1.32665759325452	NA	15	LMNA;ITGB7;ITGB1;ACTB;ACTG1;ITGA4;TPM4;PRKX
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.589065255731922	0.797269354740619	0.925983029652364	NA	15	RPA3;PCNA;RNASEH2B;RNASEH2C;RPA2;POLE4;RFC1;RNASEH1
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.27906976744186	0.625913621262458	-1.17737391708239	NA	6	NOTCH2;KRAS;ETS1
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0309789414441856	0.31592279912816	1.50496827836239	NA	6	GSTK1;GSTO1
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.341240875912409	0.659510526665338	1.14021133222353	NA	9	TYMP;GUSB;ITPA;HPRT1
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.453686200378072	0.726389771844317	1.02894458031998	NA	6	ITGB7;ITGB1;ITGA4
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.00646588003917369	0.169190527691712	1.59858272881264	NA	75	HLA-A;CHMP5;HLA-C;IL2RG;CXCR4;CHMP2A;HSPA8;ACAP1;HLA-F;HLA-B;CLTB;CHMP4A;AP2M1;RAB11A;SMAP1;CHMP2B;RAB5C;IL2RA;AP2S1;RAB11FIP1
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0600961538461538	0.387312775330396	-1.47611715615103	NA	21	TCF7;LEF1;MYC;CTNNB1;PIK3CD;KRAS;APC;PDPK1;PIK3CA
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.169435215946844	0.521594684385382	1.2608947360619	NA	24	JUN;NFKBIA;ATP6V0E1;ATP6V1E1;ATP6V1F;ATP6V0B;NFKB1;ATP6AP1;RAC1;ATP6V0D1
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.920508744038156	0.957085250423778	0.66942728856242	NA	31	JUN
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.220556745182013	0.550969251336898	-1.24926868632505	NA	5	PAFAH1B2;PAFAH1B1;CHPT1
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.223255813953488	0.550969251336898	-1.21579750768887	NA	14	HADHA;ACAT1;ACSL3;ACSL6
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.8671875	0.93895474137931	-0.720777863039389	NA	25	PIK3CD;LCP2;PRKCA;KRAS;PDPK1;PIK3CA
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.124042879019908	0.432771822358346	1.29913806483524	NA	37	ARPC3;CFL1;RAC2;ARPC1B;ARPC5L;ARPC2
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0834553440702782	0.431131666425784	1.36666039588575	NA	58	JUN;MYL12B;PPP1CA;MYL12A;RAC2;ITGB7;CCND2;ITGB1;ACTB;CAPN2;FLNA;ACTG1;ITGA4;VASP;BIRC3
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0112519666434562	0.220819845377828	1.69304112146286	NA	11	PHPT1;TPI1;ALDOA;PFKP
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.121996303142329	0.432771822358346	1.38745738140183	NA	7	UGP2;PFKP
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.352542372881356	0.659510526665338	1.08779642628878	NA	22	TUBA1A;TUBA4A;TUBA1B;PRKX;TUBB;TUBB4B
KEGG_GLIOMA	KEGG_GLIOMA	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.728785357737105	0.874537263393169	0.805117312262829	NA	23	CALM1
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.048229276496968	0.360571257620189	1.50948797739363	NA	16	GSTK1;LAP3;GSTO1;IDH2;TXNDC12;SMS
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.274841437632135	0.625363850844134	-1.18303871557744	NA	6	DGKD;DGKA;DGKZ
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.673423423423423	0.861899056096249	-0.839447813592344	NA	16	DGKD;ADPRM;ETNK1;CHPT1;DGKA;DGKZ
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.000753803598810176	0.0236694330026395	1.8170399592086	NA	22	GAPDH;LDHA;ENO1;PGK1;GALM;TPI1;PKM;ALDOA;PGAM1;PFKP
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.695652173913043	0.861899056096249	0.822025412294969	NA	6	CHST12;CHST11;B3GAT3
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.953271028037383	0.97184124286928	0.519980050055248	NA	5	HEXB;ST6GALNAC6
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.991323210412148	0.991323210412148	-0.470170710138389	NA	7	GPAA1;PIGK;DPM2;PIGP;PIGC;PIGX;PIGT
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.79492600422833	0.891452733313198	-0.724156515290203	NA	6	CS
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.337096774193548	0.659510526665338	1.09883900338734	NA	28	CALM1;JUN
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0996503496503496	0.431131666425784	1.36623831673135	NA	18	HLA-A;HLA-C;HLA-F;HLA-B;FAS
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.536997885835095	0.784101099568175	-0.963026598280501	NA	6	PRKACB;CSNK1A1
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.770731707317073	0.874537263393169	0.789701607069755	NA	26	CD3D;CD59;ITGA4;CD8A;IL2RA;CD37;CD7;IL7R;CD3G;CD55
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0516934046345811	0.368902933074056	1.51726528173138	NA	10	SEM1;RPA3
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	c2_kegg	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.091025641025641	0.431131666425784	1.28072956163925	NA	118	CYCS;COX5A;COX6A1;ATP5PD;COX7B;NDUFS6;BAX;NDUFA6;VDAC2;SOD1;NDUFC2;ATP5F1B;CLTB;ATP5F1C;UQCR10;NDUFB3;NDUFB8;COX5B;POLR2K;AP2M1;COX8A;NDUFS8;NDUFB2;ATP5PF;VDAC1;ATP5MC3;NDUFB4;COX6B1;NDUFA9;NDUFAB1;NDUFA8;POLR2E;POLR2F;SDHB;POLR2I;SOD2
