pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.810316139767055	0.916917151210538	0.723075165481807	NA	17	DDX21;JUND;PCNA;BCL2;BAZ1B
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.1625	0.540791689731118	-1.30494559835804	NA	18	TSPAN14;RAD21;PDS5A;WAPL;STAG1;PDS5B;AFG3L2;GLUD1
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.121262458471761	0.477628504672897	1.37899143294107	NA	18	LGALS3BP;TIMP1;CD53;CD63;ITGB1;CD82;ITGA4
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.941309255079007	0.970628723679828	-0.54304636509553	NA	8	SPATA13;CDC42
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.476744186046512	0.735635464231355	0.987266948987119	NA	18	CALM1;NSMCE3;RIC3
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.275747508305648	0.651001182832038	1.18365370028524	NA	14	SEC11A;SPCS1;TOP1;SPCS2;AP3D1;C15orf40;AP3M2
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.539735099337748	0.769945276497696	0.943982443983654	NA	15	CD82;PRMT1;TUFM
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.375384615384615	0.682418852823477	1.0448880347495	NA	40	CORO1A;MVP;CCT5;ALDOA;CCT7;PPP4C;EZR;PCNA;NFKB1;PPP4R2;MAP2K3;PPP2CA;SPN
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.614197530864197	0.80318138651472	0.893636389747275	NA	36	CALM1;COX5A;UQCR10;RAB5IF;NDUFS8;NDUFA9;UQCRC1;NDUFS3;CALM3;NDUFA4;RPS6KA1
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.867788461538462	0.937635183850036	-0.691903689538894	NA	13	MARF1;PAFAH1B1
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.176068376068376	0.543421221041853	1.30567966074723	NA	11	YWHAH;YWHAQ;YWHAB
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.430292598967298	0.715763727208518	1.0450768564077	NA	10	MIEN1
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.000295641512046728	0.0132827507912423	1.86717460543075	NA	34	ISG15;TNFRSF4;TNFRSF18;IFIT1;HSPA8;IFIH1;SDF4;RBX1;AURKAIP1;RER1
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.978428351309707	0.989286277758056	0.5620890058558	NA	35	RAN;RBX1
WP_22Q112_DISTAL_CNV	WP_22Q112_DISTAL_CNV	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	1.88146025949315e-06	0.000356810035543914	-2.06102451736923	NA	93	RPS28;RPS29;RPS14;RPS13;RPS21;RPS27A;RPS15A;RPS8;RPS6;CAMK4;RPS3;RPS5;RPS23;RPS15;CD79A;SNRPF;RPS19;RPS26;AQR;RPS2;RPS20;RPS9;PRPF8;RPS10;RPS16;RPS11;RPS18;RPS24
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.110921501706485	0.467032054476001	1.37546218308187	NA	13	CIAO2B;DUSP2;ANKRD39;RHOA;STAT3
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.0129941634550712	0.181629529183106	1.69235069609506	NA	25	STAT1;SOCS1;SOCS3;MIR4435-2HG;POLR2K;GATA3;LGALS3;POLR2E;POLR2F
WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.722222222222222	0.862007168458781	0.800926519306662	NA	7	RHOA;STAT3;RAC1;PLEKHB2;MZT2A;CDC27
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.13855421686747	0.499088985541319	1.30048924844723	NA	44	CALM1;JUN;CXCR4;GABARAPL1;ARL4C;NFKBIA;NEDD8;ARF1;RRAGA;MAP1LC3B;PPP1R7
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME	WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.419106317411402	0.715763727208518	1.03497080067297	NA	29	JUN;DYNLL1;DYNLRB1
WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.818627450980392	0.919494047619048	-0.715229250608187	NA	12	PIK3CD;PIK3CA;RAF1
WP_4P163_COPY_NUMBER_VARIATION	WP_4P163_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.817094017094017	0.919413482561962	0.725070202835233	NA	11	NICOL1;SLBP;PIK3R1
WP_5Q35_COPY_NUMBER_VARIATION	WP_5Q35_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_pseudobulk	census_scrna__218acb0f_pseudobulk	0.307467057101025	0.663775443982325	1.10995704824553	NA	49	JUN;CXCR4;COX5A;LMAN2;COX6A1;COX7B;TMED9;PRELID1;CLTB;COX5B;COX8A
