pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.408	0.767295597484277	1.05308128676083	NA	18	TAP1
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.363247863247863	0.751358024691358	-0.978185834608141	NA	46	MYC;TCF7;LEF1;PIK3CD;SPI1;SOS2;PIK3CA;PIK3R5;KRAS
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.643162393162393	0.878824949435636	-0.761824697739514	NA	46	TGFBR2;TCF7;ACTN1;IGF1R;LEF1;CTNNB1;LMO7;SMAD2
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.411214953271028	0.767295597484277	0.954228492501048	NA	47	TRADD;NFKBIA;SOCS3;ADIPOR1;PCK2;STAT3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.774757281553398	0.949873653411358	-0.721669518978406	NA	15	GLS;GLUD1;ASNS
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.364705882352941	0.751358024691358	-1.05463946764079	NA	19	PIK3CD;PRKCA;NR3C2;PIK3CA;PIK3R5;KRAS;PDPK1
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.00332901871335499	0.0862164469785314	1.84375478128777	NA	26	HLA-A;HLA-C;HLA-B
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.491833030852995	0.783520677942361	0.908883552747974	NA	128	CALM1;GAPDH;CYCS;UQCR10;COX6A1;COX6B1;COX7B;NDUFA1;COX5B;COX5A;NDUFB8;NDUFA4;NDUFB3;COX8A;NDUFS6;NDUFB2;COX7A2;ATP5PF;ATP5F1E;ATP5PD;ATP5MC3;ATP5F1B;NDUFC2;UQCR11;NDUFB4;NDUFS5;NDUFA6;FAS;NDUFS8;ATP5F1C;PSENEN;NDUFA8;NDUFAB1;CAPN2;SDHD;NDUFB9;SDHC;UQCRFS1;BID;ATP5F1D
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.868312757201646	0.963341911218884	-0.616241271521419	NA	36	TARS3;IARS2;WARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.837209302325581	0.963341911218884	0.641169673022108	NA	36	UGP2;GMDS;NANS;HEXB
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.190019193857965	0.724696356275304	1.36938696187403	NA	34	CYCS;CASP1;SOD1;BAX;BCL2;DERL1;BID
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.000700786973522877	0.0418136227535316	1.84370233540049	NA	54	HLA-A;HLA-C;HLA-B;B2M;HSP90AA1;PSME2;PSME1;TAP1;HSPA8
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.367567567567568	0.751358024691358	0.990606959182414	NA	70	CYCS;TRADD;NFKBIA;TNFSF10;BAX;BIRC3;PIK3R1;FAS;PRKX;BCL2;CAPN2
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.566600397614314	0.838193976636051	-0.911568290863068	NA	17	GGT7;LTA4H;EPHX2
