pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.665178571428571	0.843199118589744	-0.755143647125226	NA	36	NOG;ITCH;SIRT1;UVSSA;RIF1;SF3B1;SMARCC2;ERCC5;CLOCK;MAPK8
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.299798792756539	0.653280564932293	-1.11249875989522	NA	22	TSPAN14;PDS5A;RAD21;GLUD1;WAPL;STAG1;PDS5B;AFG3L2;SHLD3;ZMYND11;ADAM10;PRXL2A;SHLD2;RSPH3
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.245045045045045	0.606648613062393	1.21230353246277	NA	36	TIMP1;LGALS3BP;ITGB1;CD53;CD63;ITGA4;CD82
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.949709864603482	0.984561602754068	-0.499483712488362	NA	16	SPATA13;MAPK8;TRAF3;SACS;TRAF1;SGCB
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.90652557319224	0.975594188292601	-0.573714904601122	NA	7	TUBGCP6;TUBGCP4
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.243396226415094	0.606648613062393	1.18712255256114	NA	26	CALM1
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.721340388007055	0.881886007594405	-0.787561001079843	NA	7	CREBBP;FAN1;FYN;FANCD2
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.726755218216319	0.885767916192771	0.751717704167693	NA	25	SPCS1;SPCS2;SEC11A;AP3M2;C15orf40;TOP1;AP3D1
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.927165354330709	0.980586568083795	0.539565405329286	NA	21	CD82;PRMT1;TUFM
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.327898550724638	0.668473591812341	1.05559746970507	NA	55	CORO1A;ALDOA;CCT5;EZR;MVP;PPP4C;IGFBP3;CCT7
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.497277676950998	0.744694122660881	0.889793925404079	NA	46	CALM1;UQCR10;COX5A;NDUFA4;RAB5IF;UQCR11;NDUFS8
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.575757575757576	0.79619622801441	-0.852165437252438	NA	21	PLAG1;MARF1;PAFAH1B1;DCTN4
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.297741273100616	0.650589356415987	1.13330357804373	NA	18	YWHAQ;YWHAH;YWHAB
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.377470355731225	0.692038495188101	-1.00551469186735	NA	20	RPL23;PLXDC1
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.0316373050476626	0.54402409331959	1.68129331954203	NA	63	ISG15;TNFRSF4;TNFRSF18;IFIT1;HSPA8;IFIH1;RBX1;AURKAIP1
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.591417910447761	0.802414803063124	-0.852538230393815	NA	14	CTNNB1;PRKAG2;PRKAB2;OCLN
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.964618249534451	0.987080252757763	0.507787200826394	NA	63	RAN;RBX1;CLDN5;BCL2;NCOR1;FGFR1
WP_22Q112_DISTAL_CNV	WP_22Q112_DISTAL_CNV	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	5.39383029926189e-09	4.26651976671616e-06	-1.8410747249597	NA	113	RPS28;RPS21;RPS15A;RPS29;RPS26;RPS13;RPS6;RPS14;RPS23;RPS27A;RPS8;RPS3;RPS5;RPS16;RPS11;CAMK4;RPS10;RPS20;RPS24
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.165354330708661	0.589167908065546	1.33324138641845	NA	21	DUSP2;CIAO2B;RHOA;ANKRD39;STAT3
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.183928571428571	0.602064602064602	1.44527261314812	NA	37	STAT1;SOCS1;SOCS3;POLR2K;MIR4435-2HG;LGALS3;POLR2F;POLR2E;GATA3
WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__218acb0f_wilcoxon	census_scrna__218acb0f_wilcoxon	0.498896247240618	0.744694122660881	0.97270891648328	NA	8	RHOA;STAT3;RAC1;MZT2A;PLEKHB2
