pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.872239747634069	0.982441025641026	-0.693510733043282	NA	13	ABCA5;ABCB10;ABCA2;ABCA3;ABCD3;CFTR
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.0211141330811231	0.464510927784709	1.59044452986895	NA	25	ZBTB16;PIK3R1;PIK3CA;IKBKB;MTOR;NFKB1;STAT3;RAF1;GRB2;RUNX1;AKT3
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.676190476190476	0.982441025641026	0.879296344332302	NA	45	PTPRM;IGF1R;CTNNA2;SSX2IP
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.814814814814815	0.982441025641026	-0.754801965847798	NA	21	ACSL4;JAK2;MAPK10;ACSL3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.480830670926518	0.982441025641026	-1.00770370388142	NA	9	ASPA;GLUL
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.398280802292264	0.982441025641026	1.05583622116901	NA	16	IRS2;SGK1;PIK3R1;INSR;NR3C2;PIK3CA
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.925179856115108	0.982441025641026	-0.706593124915789	NA	58	PSEN1;BACE1;GRIN2A;APBB1;APP;CACNA1D;UQCRC2
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.831230283911672	0.982441025641026	-0.755199570393521	NA	24	YARS1;RARS2;GARS1;IARS1;EPRS1;HARS1;CARS1;RARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.81259842519685	0.982441025641026	-0.73743102943785	NA	11	GPI
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.61218836565097	0.982441025641026	0.897894410499752	NA	17	BCL2;PPP3CA;BCL2L1;SOD1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.108882521489971	0.826674045379081	1.35861973733401	NA	16	HSP90AA1;HSPA1A;HSP90AB1;B2M;HSPA4;RFXAP
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.0980392156862745	0.826674045379081	1.36333469282923	NA	28	BCL2;PRKX;PPP3CA;PIK3R1;IRAK2;BCL2L1;PIK3CA;IKBKB
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.380701754385965	0.982441025641026	-1.09854889602262	NA	5	PLA2G6;GGT7;CBR1
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.891304347826087	0.982441025641026	0.652550299245279	NA	13	ALDH3A2;AMD1;GLUD1;LAP3
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.787596899224806	0.982441025641026	-0.791236904613154	NA	28	ACTN2;ITGAV;CACNA2D1;ITGA2;CACNA1D;ACTG1;CTNNA3
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.177142857142857	0.878734459083318	-1.21609744119889	NA	57	SEMA3B;SEMA4D;PTK2;ROBO1;SEMA4C;EPHB2;ROCK2;UNC5B;UNC5C;PAK1
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.625	0.982441025641026	0.870378341355169	NA	8	PTCH1;SUFU
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.676630434782609	0.982441025641026	0.846696780129409	NA	13	TAF4;GTF2F2
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.832786885245902	0.982441025641026	-0.71063368098277	NA	8	DPYD;CNDP1;HADHA
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.11496062992126	0.826674045379081	-1.35759405599899	NA	11	ELOVL5;SCD5;ELOVL6;SCD;HADHA
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.207874015748031	0.896316620936227	-1.23375843732992	NA	10	DAPK2
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.619897959183674	0.982441025641026	0.872378403745292	NA	8	ALDH3A2
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.633053221288515	0.982441025641026	0.895329704947445	NA	27	PPP3CA;PIK3R1;PIK3CA;IKBKB;RASGRP3;NFKB1;RAF1;GRB2;AKT3
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__37a17b78_pseudobulk	census_scrna__37a17b78_pseudobulk	0.303630363036304	0.982441025641026	1.09108299916512	NA	48	PDE1C;ITPKB;PRKX;PPP3CA;RYR2;PHKB;ITPR1
