pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.320297951582868	0.824446510055772	1.09590997879865	NA	36	BCL2;DEK;SMARCB1;ELOA;CLOCK;RIF1;BMPR1A;TMEM273
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.380549682875264	0.848284162944339	-1.05498852880979	NA	26	LDB3;ACTN2;ERBB4;SH3GL3
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.882956878850103	0.963987202894424	-0.662074926340795	NA	25	IGSF8;NRXN1;NDST1;B4GAT1
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.595918367346939	0.882128855097538	-0.899309055614003	NA	20	DTNA;MIPEP
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.850687622789784	0.961884788973498	-0.664645729965842	NA	9	CYFIP1;TUBGCP4;TUBGCP2;FMR1;TUBGCP6
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.549060542797495	0.877760562687522	-0.928182423489942	NA	33	SLF2;CXADR;APP;GJC2;CALM1;TJP1;MTMR10;UBN1
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.436734693877551	0.867358934169279	1.04575691298532	NA	7	CREBBP
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.567510548523207	0.877760562687522	-0.903921900859043	NA	32	PDE8A;SH3GL3;RNMT
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.923076923076923	0.984231875750929	0.570752115267578	NA	12	INSR;TRAF1
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__37a17b78_wilcoxon	census_scrna__37a17b78_wilcoxon	0.822344322344322	0.954235019095641	0.751351186896095	NA	47	PPP4R4;CCT5;CCT4;PPP4R2;CCT7;NFKB1;PPP2R5D;HDAC3;PPP4R3A;CCT2;YPEL3
