pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.0070974311127674	0.0718007243394346	1.57701247781059	NA	7	XRCC6;BANF1;HMGA1
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.00785484785150256	0.0783892586261438	1.4703323251695	NA	64	PSMD13;PSMB1;PSMD2;PSMB2;PSMD8;PSMC1;VCP;PSMC5;EIF2S1;PSMA3;PSMB5;PSMD3;PSMD14;PSMC2;UBB;PSMA6;PSMC4;PSMB6;PSMB3;UBC;PSMB7;SEM1;PSMA7;PSMA1;ADRM1;DERL2;ERLIN2;ERLIN1;PSMD1
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.235294117647059	0.580182657370127	-1.21496617007544	NA	7	ABCD3;ABCA5
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.00633771171811162	0.0668628586260776	1.53189765597345	NA	49	PSMD13;PSMB1;PSMD2;PSMB2;PSMD8;PSMC1;VCP;PSMC5;PSMA3;PSMB5;PSMD3;PSMD14;PSMC2;UBB;PSMA6;PSMC4;PSMB6;PSMB3;UBC;PSMB7;SEM1;PSMA7;PSMA1;ADRM1;DERL2;ERLIN2;ERLIN1;PSMD1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.408244680851064	0.711897749252682	1.05636128364741	NA	17	UBE2S;CDC16;ANAPC15;RB1;ANAPC4;ANAPC16;UBE2E1;SKP2;ANAPC11
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.126050420168067	0.428770938762701	1.35570641512748	NA	12	CDKN1C;CCND2;CDK2;CDK4;CCND3
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.250642673521851	0.595564516129032	1.17586624859746	NA	23	POLR2J;POLR2I;POLR2H;POLR2L;NELFB;POLR2G;POLR2D;NELFE;CTDP1;NCBP1;POLR2E;NCBP2;GTF2F2
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.162337662337662	0.471435725567241	1.26078001931841	NA	6	GNA15
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.347712418300654	0.665247722577805	1.10399034327693	NA	20	DLK1;ARRB1;NEURL1B;UBB;UBC;ADAM10;MIB2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.944186046511628	0.987424679324899	0.596416958638008	NA	7	HRAS;SOS1;GRB2
