pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.506447831184056	0.78499358363923	0.988653766954712	NA	36	BCL2;JUND;HSF1;ARHGAP22;PCNA;ELK1
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.926616915422886	0.970032701286073	0.657371361427791	NA	23	CEBPA;MAD2L2;GLUD1;GHITM;AFG3L2
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.356890459363958	0.661792452830189	1.08727630855542	NA	32	CD151;HLA-DMA;CD63;ITGA6;PEX16;HLA-DRA;IGSF8;TIMP1
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.567715458276334	0.819102377070282	0.952320319763102	NA	15	RHOA;SSPN
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.993548387096774	0.993548387096774	-0.51846383424286	NA	9	CYFIP1;TUBGCP5;TUBGCP4;TUBGCP2
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.781065088757396	0.911047149122807	-0.830892024377298	NA	29	CREBBP;KAT2B;SMC5
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.335593220338983	0.647051597051597	-1.09003524787774	NA	10	CREBBP;KAT2B
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.900123304562269	0.959760996386685	0.68848036677711	NA	26	WDR73;BTBD1;AP3M2;SPCS1;SPCS3;NMB;DNM3;SEC11A;HTT;HOMER2;C15orf40
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.0428571428571429	0.277877551020408	1.44643908481065	NA	18	CD81;SPNS1;PRMT1;LAT;RAB4A;TUFM
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.0170514372421398	0.177789652311378	1.43613653559929	NA	56	KIF22;MAZ;MSN;TMEM219;INO80E;CCT5;CCT3;CCT7;CCT2;HIRIP3;KCTD13;PPP4R3A;MAP2K3;PPP2CB;CCT6A;PCNA;PPP2R1A;CCT8;TCP1;PPP4C;QPRT
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.0969626168224299	0.388844955667386	1.31000074288368	NA	42	MAPK12;CALM3;TRAP1;UQCRC1;CYC1;CDK2;MAP2K2;EEF2K;COX5A;NDUFS8;MAPK14;UQCR10;RAB5IF;NDUFS3;MLST8;PRKAG1;NDUFA9;UQCRH;PRKAB2;UQCR11;UQCRFS1;EEF2;NDUFV1
