pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.0779411764705882	0.473897707231041	1.37203274130916	NA	9	FDX2;GLRX5;GLRX3;NFS1;NDUFAB1;HSCB;FXN
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.289915966386555	0.713552270514296	1.16113681773637	NA	12	IDH2;GOT2;DLST;KYAT3;D2HGDH;IDH1
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.576612903225806	0.859843260069232	-0.903893397286841	NA	15	ZFP36L1;PUM1;TARDBP;DHX36;RC3H1;NYNRIN
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.567320261437908	0.856868990673636	0.930224108522851	NA	19	ELAVL1;NICOL1;QKI;MAPK14;HNRNPC
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.301109350237718	0.715921934290763	1.16238955015386	NA	5	FDX2;NFS1;FXN
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.863013698630137	0.948432641398437	-0.653824846605552	NA	6	GTF3C2;GTF3C3;GTF3C5;GTF3C1;GTF3C6;GTF3C4
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.219020172910663	0.66161574436307	1.23002910357028	NA	10	SNRPB;SNRPD1;SNRPG;LSM10;SNRPD3;SNRPD2
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.354285714285714	0.74236356162722	-1.11186879053402	NA	7	CMTR2;RNMT
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.0980891719745223	0.514149655035129	1.34231050022215	NA	21	PGK1;BCKDK;PDK3;MPC2;ACAT1;PDK1;PDHA1
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.030731705721841	0.360590471930217	1.48728750308042	NA	34	PGK1;PMVK;BCKDK;NME1;FASN;PDK3;MPC2;MVD;ACAT1;PDK1;PDHA1
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.350061199510404	0.740648506198745	1.09315513164277	NA	34	AVP;SLC1A5
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.497058823529412	0.821065831134782	-0.955566789771292	NA	8	SNX10;ABAT;P2RX7
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.580392156862745	0.861609793088506	0.92061206436186	NA	18	CCDC42;CEP70
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.877643504531722	0.95324387501389	0.686625276950506	NA	8	HYAL3;STX2
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.152139461172742	0.585876990574928	1.26918402722626	NA	5	FLNA;MARCKS
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	c5_go_bp	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.0618172827065146	0.436636817754972	-1.28509967181468	NA	49	FNBP1L;TTN;AKAP9;CAMK2D;WASL;WIPF1;SHTN1;SCN3A;PIK3CA;NUP155;SCN9A;FRMD6
