pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	1.79370942417144e-05	0.000112106839010715	1.64395023859323	NA	154	ESRRA;SLC1A5;ECHS1;MRPL15;TALDO1;PIM3;PFKL;FAH;RAB34;CD151;ESYT1;VEGFB;GPX4;NABP1;ACO2;GADD45A;GPAT4;MTCH2;CHCHD10;UQCRC1;SLC25A1;CYC1;SSPN;STAT5A;STOM;JAGN1;SAMM50;DGAT1;LTC4S;ANGPT1;ARL4A;PREB;LPCAT3;COX8A;UCK1;SDHC;NDUFB7;PRDX3;ECH1;MDH2;TST;QDPR;CAVIN1;ATP1B3;DHRS7B;GHITM;AK2;PLIN2;ADIPOR2;ACADS;CMBL;SORBS1;UBC;CAT;GPD2;UQCR10;ETFB;IDH3G;COQ9;AIFM1;PGM1
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.411087866108787	0.540905086985246	1.03498058406867	NA	110	SPI1;EIF5A;CCND2;FLNA;IRF7;HLA-DMA;HLA-A;CD7;RPS19;IFNGR2;NME1;HLA-DRA;WARS1;BRCA1;RPS9;TIMP1;ELANE;CCND3;JAK2;ELF4;NCF4;EIF3J;MRPL3;PTPN6;DARS1;WAS;HCLS1;F2R;BCL3;BCAT1;AARS1;GALNT1;HIF1A;TLR6;AKT1;UBE2N;NPM1;CAPG;FYB1;RIPK2;MTIF2;HLA-E;HLA-DOA;TAP1
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.617297297297297	0.724439895371318	0.931270416790761	NA	77	XRCC6;SORD;UBE2I;PA2G4;SMS;ACTN1;RAB4A;DBI;INPP4B;H1-0;CCND3;KRT8;UAP1;FKBP5;TNFAIP8;GNAI3;SPCS3;PDLIM5;IDI1;ADRM1;APPBP2;AKT1;NDRG1;PGM3;SELENOP;HMGCS1;HOMER2;CENPN;FADS1;SRF;STK39
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.0954478707782673	0.183553597650514	1.37210317501947	NA	9	CCND2;LRPAP1;TIMP1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.00202476592680373	0.00532833138632561	1.55531642028872	NA	91	FSCN1;GAMT;ARPC2;ZYX;MSN;PFN1;MDK;ICAM4;MAP4K2;YWHAH;ACTN1;HRAS;CAP1;GNAI2;ACTB;CLDN15;ACTG1;RAC2;MAP3K20;VASP;RRAS;ADAM15;MVD;PBX2;ACTN4;MAPK14;CNN2;TUBG1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.864754098360656	0.891546045731068	-0.746985601063669	NA	16	CROCC;FLOT2;NCOA6
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.0342742676281079	0.0714047242252248	1.3529202473641	NA	107	GNA15;IFITM3;BAX;CCND2;TSPO;TOP2A;VDAC2;GPX4;KRT18;BID;GADD45A;TIMP3;DNAJA1;DAP;SQSTM1;CDK2;PPT1;PMAIP1;BRCA1;TIMP1;HGF;BTG3;CD38;HSPB1;JUN;H1-0
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.703619909502262	0.764804249458981	0.86596283141859	NA	54	SLC27A2;IDH2;CYP7B1;SLC29A1;PEX16;PRDX5;GCLM;PEX7;HSD17B11;CAT;PEX6;IDI1;KLF1;OPTN;PEX26;GSTK1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.000730335668323453	0.00228229896351079	1.70603701903524	NA	51	PMVK;CD9;S100A11;FDFT1;TMEM97;FABP5;ACAT2;PCYT2;CHKA;FASN;TM7SF2;ACTG1;STX5;ANXA5;PDK3;ECH1;FDPS;MVD
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	census_scrna__4a5b00e0_pseudobulk	census_scrna__4a5b00e0_pseudobulk	0.124267291910903	0.221905878412326	1.27461589618799	NA	41	CD9;GNB2;CFD;TIMP3;CFH;MSRB2;TIMP1;PEF1;CSRP1;WDR1;S100A13;DUSP14;CLU;FURIN;ARF4
