pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.119810201660735	0.75870925562716	1.32231751965142	NA	7	XRCC6;HMGA1;BANF1
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.77124183006536	0.920495014245014	-0.97233433600743	NA	64	RPS27A;UBA52
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.289308176100629	0.777347440015114	-1.11834481421981	NA	7	ABCA5;ABCD3;ABCG1;ABCA2;ABCA7;PEX3;PEX19
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.701492537313433	0.899462418277779	-0.987677720262818	NA	49	RPS27A;UBA52
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.599083619702176	0.874242362745894	0.915486114626781	NA	17	UBE2S;RB1;CDC16;ANAPC4;ANAPC15;CDC26;ANAPC11
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.068445475638051	0.75870925562716	1.46261792865927	NA	12	CDKN1C;CCND2;CCND3;RB1;CDK4;CDK2
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.288659793814433	0.777347440015114	1.09623471016736	NA	23	POLR2L;NELFE;POLR2H;GTF2F2;NCBP1;NELFB;POLR2J;POLR2E;POLR2I;POLR2D;POLR2G;CTDP1;POLR2K;NCBP2
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.0100281044055441	0.361256346511916	1.63063184808417	NA	6	GNA15;MARCKS
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.496296296296296	0.845858856713151	-0.844132315521653	NA	20	RPS27A
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.250296559905101	0.75870925562716	1.1726644739557	NA	7	HRAS;KRAS;SOS1;GRB2;PTPN11
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.416666666666667	0.81965110430639	1.03292726311867	NA	6	HRAS;KRAS;SOS1;GRB2
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.416666666666667	0.81965110430639	1.03292726311867	NA	6	HRAS;KRAS;SOS1;GRB2
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.487603305785124	0.840912293755884	-1.23003407833677	NA	30	H3-3A
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.274074074074074	0.771061728395062	-1.49605768946858	NA	20	RPS27A;UBA52
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.0561282932416953	0.75870925562716	1.64842226659256	NA	14	TUBA1B;TUBB4B;TUBB6;TUBA1A;TUBA1C
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.407643312101911	0.81965110430639	-1.06388077830658	NA	73	H3-3A;PBX1;KMT2C;HOXA3
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.75886524822695	0.915013941282598	-0.966156420429933	NA	55	RPS27A;UBA52
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.425652667423383	0.822801366047424	1.00840835695822	NA	30	MCM5;CLSPN;MCM4;RFC2;RPA2;RAD9A;CDK2;MCM3;RFC5;RFC4;CHEK1;ATRIP;RAD1;MCM7
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.0469644902634593	0.75870925562716	1.67880559633457	NA	14	BCL2;YWHAH
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.0492554410080183	0.75870925562716	1.66567577708658	NA	23	BCL2;YWHAH;PMAIP1
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.0395061728395062	0.726890519980877	1.49253013593154	NA	5	CYCS
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.652272727272727	0.892612849859887	0.86454429655962	NA	38	PMVK;FDFT1;SQLE;IDI1;TM7SF2;FDPS;SC5D;MVD;FASN;NFYB;NCOA2;HMGCS1;HELZ2;HMGCR
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE	REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.225352112676056	0.75870925562716	-1.60415736982843	NA	13	RPS27A;UBA52;LY96
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.462790697674419	0.831560904814333	0.99357788523216	NA	13	GNB2
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.118855446982888	0.75870925562716	-1.71329457189231	NA	8	PRSS2
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.681159420289855	0.896711012564671	-1.04682907254361	NA	54	RPS27A;REL;UBA52;CARD11
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.138602520045819	0.75870925562716	1.48095154751476	NA	42	TUBA1B;TUBB4B;TUBB6;TUBA1A;TUBA1C;PRKX
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION	REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.400966183574879	0.81965110430639	1.04766780628215	NA	6	MAPK12;MAPK14
REACTOME_ACTIVATION_OF_RAC1	REACTOME_ACTIVATION_OF_RAC1	c2_reactome	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.838671411625148	0.946900276784995	0.734737138556545	NA	7	PAK2;SOS1;SOS2;NCK1;RAC1
