pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.331770222743259	0.657183757357318	1.10197341866645	NA	9	GLRX5;FXN;GLRX3;FDX2
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.638051044083527	0.841551131745103	0.889930641227627	NA	12	IDH2;GOT2;DLST;KYAT3;IDH1;D2HGDH;DLD
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.56993006993007	0.801735793569674	0.935281684091004	NA	15	ZFP36L2;KHSRP;MOV10;UPF1;ZC3H12C
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.183276059564719	0.516129961351457	1.1975329511494	NA	19	NICOL1;ELAVL1;YBX3;QKI;MAPK14
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.389913899138991	0.698260200456768	1.08399211329227	NA	5	FXN;FDX2;NFS1
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.918392204628502	0.964147354305526	0.640856160907544	NA	6	GTF3C1;GTF3C4;GTF3C5;GTF3C3;GTF3C6
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.423212192262603	0.71569321975582	1.03268422606112	NA	10	SNRPB;SNRPD1;SNRPG
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.948067632850242	0.976948012346447	0.594280422762197	NA	7	NCBP1;RNGTT;NCBP3;RAMAC;CMTR1
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.348224513172967	0.669560260536672	1.06589593779081	NA	21	PGK1;PDK1;ACAT1;BCKDK;MLYCD;PDHA1;MPC2
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__4a5b00e0_wilcoxon	census_scrna__4a5b00e0_wilcoxon	0.36374269005848	0.679222195816042	1.05256282847003	NA	34	PGK1;PMVK;PDK1;ACAT1;NME1;BCKDK;MLYCD;PDHA1;MPC2;MVD;FASN;PDK3;DLST;HMGCS1;HMGCR;DLAT;NUDT8;PPCS
