pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.104693140794224	0.614810072556551	-1.34875592963177	NA	19	ABCG1;ABCA1;ABCA8;CFTR;ABCB8;ABCB9;ABCA2;ABCD3;ABCC1
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.857664233576642	0.950491131368808	-0.735619013460828	NA	32	MAP2K2;KIT;GRB2;SOS2;RAF1;PIK3CB;TCF7L2
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.450892857142857	0.824306351754185	1.00932627892431	NA	52	PTPRM;PTPRJ;AFDN;MET;CTNNA1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.165158371040724	0.680454367410889	1.24273924832637	NA	35	STAT3;ADIPOR2;ACACB;AKT2;PTPN11;LEPR;ACSL4;PRKCQ;RELA;NFKBIA;CHUK;ADIPOR1;MTOR;PRKAA2
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.717584369449378	0.949419319579177	-0.827218750226878	NA	18	GOT1;ASPA;GOT2;GFPT1;GAD2
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.307832422586521	0.778634951248259	-1.11692204813648	NA	20	NEDD4L;ATP1B1;PRKCA
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.976744186046512	1	-0.476498915766385	NA	5	FADS2;PLA2G12A
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	8.87165424849972e-07	5.08641510247317e-05	-2.08447271711568	NA	105	CALM1;BACE2;NDUFA3;NDUFA1;CYCS;APP;GAPDH;NDUFB1;COX7A2;NDUFS6;NDUFC1;COX5B;UQCRH;COX5A;NDUFB7;ATP5F1E;PSEN1;ATP5PB;UQCRB;IDE;ATP5PF;NDUFS7;NDUFS5;NDUFAB1;COX7B;NDUFB2;UQCR10;NDUFB10;ATP2A2;NDUFA4;ATP5F1B;CALM3;COX7C;ATP5MC2;COX6B1;ATP5MC3;UQCRQ;ATP5MC1;ATP5PD;ATP5F1A;APH1A;APOE;COX4I1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.395604395604396	0.824306351754185	1.04106050157911	NA	30	WARS2;TARS2;NARS2;RARS2;PSTK;LARS2;CARS2
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.818681318681319	0.950491131368808	-0.762347225653686	NA	21	GALK2;GNPNAT1;FCSK;GNE;GFPT1;UGP2
