pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.672489082969432	0.934139194139194	0.864085524808569	NA	35	BCL2;HSF4;TMEM273;SMAD9;SMAD5;BMAL1;ELOA;SMARCA5
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.524647887323944	0.850604346441408	-0.945823669169703	NA	26	ERBB4;AFG3L2;SMC3;PDS5B
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.406871609403255	0.826795117769523	-1.03789693282777	NA	25	NRXN1;ITGB1;CD63;PEX16;MAPK8IP1;LGALS3BP
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.0447227191413238	0.541071585676999	-1.57307765691863	NA	20	RTN4;RHOA;DTNA;MAPK9;RAC1;SGCD
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.949074074074074	0.999546080218667	0.566618388684103	NA	9	CYFIP1;TUBGCP5;TUBGCP4
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.28996282527881	0.744433711959113	-1.11183120659149	NA	34	MITF;CALM1;APP;CXADR;GJC2;NSMCE2;FAN1;APBA2;MTMR10
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.245535714285714	0.713338856669428	1.21986969053262	NA	8	KAT2B;TRPM1
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.688848920863309	0.934139194139194	-0.853572702597458	NA	32	SPCS1;TENT4B;SEC11A;RAF1;SYNJ1;SLC2A1;AP3B2;SPCS3;ITPR1;GRM5;SHANK3;ADAMTSL3;SPCS2
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.0547703180212014	0.554887218045113	-1.47628649110382	NA	12	CD81;RABEP2;GRB2;TUFM;PRMT1;INSR
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.544642857142857	0.857028632348462	-0.940095654777336	NA	47	CCT5;CCT7;UNC13A;NR3C1;CCT6A;TAOK2;TCP1;PPP4R3A;TMEM219;YPEL3
