pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.211864406779661	0.466133942161339	-1.13034325056686	NA	114	RTN3;TALDO1;MGST3;DLD;LIFR;NDUFB7;ENPP2;CAVIN1;NDUFAB1;COX7B;SOD1;ABCA1;UQCR10;LPCAT3;GPHN;PRDX3;ETFB;ECHS1;UBC;TKT;DHRS7;UQCRQ;GPX4;YWHAG;APOE;APLP2;ABCB8;REEP5;PEX14;CAT
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.251712328767123	0.466133942161339	-1.14172703829358	NA	52	EIF4G3;RPL9;HLA-A;EIF3J;EIF3D;THY1;RPS3A;AARS1;EIF3A;UBE2D1;TPD52;RPS9;GALNT1;NPM1;AKT1;CSF1;DEGS1;RPS19;ABI1;BRCA1;B2M
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.247524752475248	0.466133942161339	1.15293353102099	NA	66	FKBP5;SGK1;INPP4B;ABHD2;CDC14B;PTK2B;PDLIM5
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.7	0.845410628019324	0.794079480492457	NA	10	PTK2;COL5A2;FGFR1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.222602739726027	0.466133942161339	-1.13070503090539	NA	94	EPB41L2;NEGR1;GAMT;NRXN2;CDK8;STX4;ITGB1;GNAI1;TAOK2;CDH1;CLDN15;CDH8;PCDH1;THY1;CNTN1;FSCN1;ACTG1;PIK3CB;SGCE;NECTIN1;EVL;MYL12B;LDLRAP1;MYH9;CAP1;NF2;ACTB;NLGN3;PFN1;ACTN2;NF1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.608228980322004	0.779780744002569	-0.895004727488867	NA	14	APP;THY1;CROCC;ATP8B1
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.298634812286689	0.497724687144482	-1.08591893785882	NA	72	SMAD7;GSN;FEZ1;ANKH;APP;ERBB3;SLC20A1;DNAJA1;PSEN1;NEDD9;CDKN1B;SOD1;RHOB
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.754807692307692	0.845410628019324	0.853047367748281	NA	56	EFHC1;ATXN1;SLC23A2;MLYCD;LIPE;LONP2;IDH2;CYP7B1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.0296568086039909	0.185355053774943	-1.48169697770118	NA	43	SQLE;FDPS;SCD;PCYT2;CPEB2;GNAI1;HMGCR;STX5;PMVK;ACAT2;PNRC1;ALCAM;ACTG1;GUSB
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.310996563573883	0.501607360603037	-1.10036272270834	NA	44	GSN;TF;RAC1;CTSB;CPQ;RAPGEF3;CSRP1;RGN;MASP2;A2M;CTSO;S100A1;SIRT2
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.120748299319728	0.37733843537415	-1.23835451475026	NA	84	CALM1;HSPA5;USP14;RHOG;STX4;PSEN1;GRB2;SCG3;EHD1;USP16;CBLB;RAF1;CTSB;CALM3;SPOCK2;AKAP10;CPQ;CA2;HSPA1A;CSRP1;PPP2CB;CPM;CTSO;RNF4;GNB4;TIMP2;PFN1;ACTN2;CTSL;CDK5R1;PCLO;RBSN
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	hallmark	fgsea	census_scrna__5c97eeeb_pseudobulk	census_scrna__5c97eeeb_pseudobulk	0.183533447684391	0.465751224604513	-1.15451101681122	NA	96	GUK1;REV3L;TAF12;POLR2E;VPS28;SURF1;POLR2I;MPG;SEC61A1;TMED2;SSRP1;TAF13;DAD1;MPC2;POM121;GPX4;EDF1;GTF2A2;RPA3;RFC3;GTF2B;GTF2H1;COX17;ERCC3;DUT;POLD3;CANT1;ERCC1;AGO4;NME3;GMPR2;NUDT9
