pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.511210762331839	0.908791117047921	0.902291908144151	NA	35	BCL2;HSF4;SMAD9
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.0259772391358027	0.657461024498886	-1.95126991855296	NA	26	ERBB4
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.594936708860759	0.925749973310558	-0.884343789690035	NA	25	CD63;ITGB1;LGALS3BP;MAPK8IP1;PEX16
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.450834879406308	0.866448283858998	-0.98637351733574	NA	20	RTN4;MAG;RHOA;DTNA;RAC1;DAG1;SGCD;MAPK9
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.942379182156134	1	-0.54311040185161	NA	9	NIPA1;TUBGCP2;TUBGCP6;NIPA2
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.100182149362477	0.675378871074017	-1.36367882732223	NA	34	CALM1;MITF;APP;GJC2;CXADR;FAN1;OTUD7A
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.871086556169429	1	-0.64622239510359	NA	8	FAN1;OTUD7A
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.558695652173913	0.923532520830742	0.851933673839786	NA	32	DNM3;RYR2;C15orf40
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.350943396226415	0.824146649810367	-1.09644535014864	NA	12	CD81;RABEP2;INSR;TUFM;GRB2;PRMT1
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.994614003590664	1	-0.469852642787175	NA	47	UNC13A;NR3C1;CCT5;TMEM219;CCT7;TAOK2;TCP1;PPP4R3A;CCT6A;YPEL3
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.101449275362319	0.675378871074017	-1.37249628647386	NA	37	CALM1;EEF2;MAP2K2;UQCR10;UQCRB;COX7C;NDUFA4;UQCRH;CALM3;COX5A;UQCRQ
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.848263254113345	1	-0.685830859097784	NA	23	OFD1;DCTN6;ACTR1A;MYH11;ABCC1;PLAG1;CEP170;DCTN1
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__5c97eeeb_wilcoxon	census_scrna__5c97eeeb_wilcoxon	0.631868131868132	0.938323387005968	-0.852913159623495	NA	16	YWHAB;DCTN6;YWHAE;YWHAG;DCTN1;YWHAQ;DCTN3
