pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.753646677471637	0.954589098704141	0.825622629535161	NA	5	LIG4;XRCC5;XRCC6
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.391393442622951	0.846912678114724	0.989739105118307	NA	63	ABCA6;ABCC4;ABCA9;ABCA5;SEM1
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.0573886657002632	0.690335305719921	1.44642739664444	NA	9	ABCA6;ABCA9;ABCA5
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.647798742138365	0.913382594417077	-0.678631064301708	NA	46	CFTR;UBB;RPS27A;UBC;PSMA3
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.71551724137931	0.93973462577467	0.832750947727006	NA	13	CDC27;ANAPC16;ANAPC4;ANAPC1;CDC16;UBE2E1;UBE2D1;SKP2
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.445705024311183	0.851380240808895	1.03765658975991	NA	7	CDK6;TFDP2
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.848591549295775	0.985389004494118	0.702897808496911	NA	18	NELFA;NELFB;POLR2B;POLR2D;GTF2F2;POLR2C;POLR2A;NCBP2;NELFE;POLR2E
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.0683391131476898	0.690335305719921	-1.74289542663613	NA	7	RIMS1
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.0988654781199352	0.690335305719921	1.35844561223279	NA	7	GNAQ;PRKCA
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.843091334894614	0.985389004494118	-0.59574191426184	NA	23	UBB;RPS27A;UBC;NEURL1;DNER
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.10655737704918	0.690335305719921	1.32314853474967	NA	6	NTRK2;FRS2;PTPN11;SOS1;GRB2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.380875202593193	0.841468470845426	1.06778444012711	NA	5	NTRK2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.170178282009724	0.720516657558594	1.24892741024524	NA	5	GAB1;NTRK2;PIK3CA;GRB2;PIK3R1
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.181034482758621	0.728740502630041	1.25046612946218	NA	13	H2BC4;KDM4C;NCOA2
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.850230414746544	0.985389004494118	-0.594201007073219	NA	15	UBB;RPS27A;UBC
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	c2_reactome	fgsea	census_scrna__5e57cd50_wilcoxon	census_scrna__5e57cd50_wilcoxon	0.874354561101549	0.985389004494118	0.673734440583288	NA	12	PRKAB2;PRKAA2;PRKAA1;PRKAG2;CAMKK2;MAPT
