pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.137931034482759	0.431034482758621	-1.2185015164188	NA	146	GHITM;NDUFA5;SCP2;NDUFAB1;ATP5PO;ACADM;TST;DNAJB9;COX6A1;CAT;BCL6;ECH1;RREB1;UBC;ALDH2;SLC66A3;SUCLG1;ATP1B3;AK2;IDH1;DNAJC15;IFNGR1;CCNG2;NABP1;MDH2;CMPK1;NDUFS3;COX7B;PDCD4;CMBL;PPM1B;JAGN1;HADH;PGM1;DBT;TOB1;ACOX1;UBQLN1;TKT;MTCH2;UQCRC1;CHCHD10;CHUK;UQCR10;PRDX3
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.0164334436571393	0.343872701195837	-1.88375660047713	NA	135	RPS3A;B2M;RPL39;NPM1;PTPRC;RPL9;RPS9;FYB1;CD3G;HLA-A;TRAT1;CD79A
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.0760309278350515	0.412038002060044	-1.34450251625484	NA	74	B2M;SLC26A2;MYL12A;VAPA;DNAJB9;NGLY1;UBE2J1;SPCS3;SLC38A2;SMS;NCOA4;MAF;PIAS1;SRP19;GSR;TNFAIP8
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.0444115447804179	0.370096206503482	1.62490935874425	NA	10	S100A4;TIMP1;LRPAP1;APP;TNFRSF21;VAV2
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.229813664596273	0.495049504950495	-1.16913436704584	NA	98	ACTG1;PTPRC;FYB1;ARPC2;ACTB;MYL12B;WASL;CAP1;YWHAH;RAC2;LIMA1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.818770226537217	0.909744696152463	0.696769527993195	NA	23	AFAP1L2;PLAUR;NCOA6;MDGA1;ADIPOR2;FLOT2;APP
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.727810650887574	0.909744696152463	0.756608218661889	NA	112	PRF1;IFITM3;IGF2R;KRT18;CDKN1A;FDXR;CFLAR;TIMP1;GSN;IRF1;TIMP2;CD2;LMNA
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.960474308300395	0.984126984126984	-0.617407167121671	NA	58	SCP2;PEX19;CAT;PEX1;ABCD2;IDH1;ALDH9A1;GNPAT;CROT;ISOC1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.277044854881267	0.495049504950495	-1.1417226105162	NA	47	PNRC1;ACTG1;ECH1;CD9
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.257936507936508	0.495049504950495	1.12784215210897	NA	45	FURIN;SERPINA1;ITGA2;DPP4;TIMP1;GSN;PRSS23;MAFF;A2M
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.23030303030303	0.495049504950495	1.03348922889454	NA	121	GZMB;SERPINA1;GZMA;PIK3R5;SPOCK2;PIM1;CBLB;DPP4;JAK2;ME1;TIMP1;DUSP5;IRF1;TIMP2;PLAUR;MAFF;TNFAIP3;CEBPB;CD55;FCER1G;CTSB
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.535885167464115	0.744284954811271	-0.962572078026481	NA	128	ARL6IP1;DUT;TMED2;POLR3GL;RFC3;SDCBP;SMAD5;TAF12;PCNA;SRSF6;ERCC5;AK3;HPRT1;POLE4;RFC5;POLR2E;MPC2;REV3L;ERCC2;VPS28;NT5C3A;NELFCD;HCLS1;NME1;POM121;RRM2B;TYMS;GTF2H3;ERCC3;NME3;RPA3;USP11;SURF1;RBX1;POLR2K;GTF2A2;SUPT4H1;PNP;NUDT9;NELFE;RPA2;GTF2H1
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.039429856918772	0.370096206503482	-1.41394416981663	NA	175	NAP1L1;DUT;TRA2B;LBR;SRSF1;LUC7L3;H2AZ1;MRE11;CCNB2;CDKN1B;SYNCRIP;TUBB;TMPO;ASF1A;HNRNPD;PRPS1;DEK;RFC3;HELLS;SMC1A;RAD21;PSIP1;CCP110;ING3;SMC3;AK2;RAN;IPO7;CDK1;LYAR;NCAPD2;UNG;DCK;PCNA;RFC1;CBX5;PRIM2;USP1;POLE4;PNN;CHEK1;STMN1;SLBP;GSPT1;RAD50;XRCC6;EED;RAD1;TACC3;SMC4;KIF22;RPA1;KPNA2;GINS1;PHF5A;CDCA8;DNMT1;RBBP7;SRSF2;ANP32E;HUS1;UBR7;NME1;NUP205;NASP;RRM2;RPA3;MCM7;NOLC1;CSE1L
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.185654008438819	0.495049504950495	1.14575814777365	NA	66	ADAM12;TGFBI;COL5A1;PMEPA1;ITGA2;COL5A3;TIMP1;CADM1;LGALS1;COLGALT1;PLAUR;TGFB1;TNFAIP3;ID2;SDC1;MATN2;NOTCH2;COL6A3;ANPEP;PLOD3;SPOCK1;DST;SDC4;TPM4;ITGA5
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.0748036956806019	0.412038002060044	1.95985297694939	NA	118	TFF1;BCL2;SLC7A5;FKBP5;KRT18;AFF1;SFN;MAST4;SCNN1A;TFF3;KRT19;JAK2;DHRS3;LAD1
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.155880320617488	0.458471531227905	1.87424008870645	NA	118	TFF1;BCL2;MDK;SLC7A5;SERPINA1;ASS1;FKBP5;AGR2;AFF1;SFN;SCNN1A;TFF3;KRT19;JAK2;SLC29A1;DNAJC1;DUSP2;SNX10;ABCA3;BATF;ATP2B4;PRSS23
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.0206323620717502	0.343872701195837	-1.70297593100178	NA	117	FABP1;ADH1C;HMGCS2;CPOX;CA2;CPT1A;ACADM;UGDH;YWHAH;S100A10;LDHA;ERP29;H2AZ1;SDHD;ECH1;ALAD;MAOA;MDH1;SMS;HSPH1;SUCLG1;HSDL2;ODC1;IDH1;ETFDH;SERINC1;CRYZ;MDH2;OSTC;PRDX6;ECI2;ADSL;SUCLG2;HADHB;ALDH9A1
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.283564814814815	0.495049504950495	-1.11679447998351	NA	171	BUB3;KIF5B;PURA;SFPQ;TRA2B;LBR;G3BP1;SLC38A1;SRSF1;HNRNPU;MARCKS;H2AZ1;CCNB2;CDKN1B;SYNCRIP;NCL;TLE3;TMPO;HNRNPD;NUP50;DR1;H2AZ2;SMC1A;RAD21;ODC1;SS18;SMC2;YTHDC1;CDK1;RBM14;PRIM2;CHEK1;STMN1;GSPT1;SRSF10;GINS2;RAD23B;TACC3;E2F3;SMC4;ARID4A;DKC1;HIRA;SNRPD1;KIF22;KPNA2
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.893028846153846	0.970683528428094	-0.730670623998153	NA	127	CD44;HSPA5;ERO1A;LDHA;PPIA;ARPP19;FAM162A;MXI1;MDH1;PRPS1;PGK1;IDH1;BPNT1;ALDH7A1;CDK1;PKP2;MDH2;DSC2;AK3;ME2;PGAM1;ALDH9A1;STMN1;CYB5A
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.964444444444444	0.984126984126984	-0.526197357640171	NA	14	TLE3;PTCH1;RASA1;CDK5R1;NF1;PML
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.135491606714628	0.431034482758621	-1.23282503907634	NA	134	CA1;CPOX;CA2;NR3C1;SELENBP1;GYPC;TCEA1;EPB42;H4C3;CAT;NUDT4;BTG2;ALAD;MXI1;FBXO9;HTATIP2;NCOA4;TENT5C;GLRX5;RBM38;SDCBP
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.452038369304556	0.703921568627451	-1.00958734186182	NA	114	PNRC1;PCK1;NR3C1;SELENBP1;BTG1;HSPA5;ERO1A;LDHA;TES;TIPARP;MT1E;CA12;PRKCA;IDS;FAM162A;CDKN1B;MXI1;ETS1;MAP3K1;PGK1;STBD1;PLAC8;KLF6;ZFP36;CCNG2
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.212121212121212	0.495049504950495	1.39444884352704	NA	139	BCL2;FURIN;IFITM3;TNFRSF18;IGF2R;TNFRSF1B;CSF1;ADAM19;SNX9;TNFRSF4;IL2RA;SOCS1;IL1R2;PIM1;PLEC;PLPP1;ST3GAL4;CCND3;SLC1A5;CTLA4;MYO1E;IL4R;DHRS3;PHLDA1;BATF;IL18R1;MAFF;GALM;BHLHE40;ITGAE;BCL2L1;SERPINB6;PUS1;MAPKAPK2
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.0824076004120088	0.412038002060044	1.83198150380677	NA	55	PLA2G2A;REG1A;CXCL13;PIK3R5;TNFRSF1B;CSF1;IL2RA;SOCS1;IL1R2;PIM1;IL1R1;STAT3;IL4R;TNFRSF1A;IRF1;ACVR1B;IL18R1;A2M;TGFB1;TYK2
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.133663366336634	0.431034482758621	1.30606232887433	NA	93	PIK3R5;TNFRSF1B;CSF1;RGS1;CXCR6;IRAK2;CD82;IL1R1;IL4R;CDKN1A;TIMP1;IRF1;PDE4B;ACVR1B;IL18R1;PLAUR;PTPRE;CD70;BST2;LDLR;IL18RAP;CD55;GPR132;IL15RA;NFKBIA;C3AR1;TNFRSF9;SLC11A2;CCL20;ABCA1;CCRL2;ITGA5
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	fgsea	census_scrna__6a270451_wilcoxon	census_scrna__6a270451_wilcoxon	0.474226804123711	0.703921568627451	-0.995448960639439	NA	78	B2M;TXNIP
