pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.2225	0.721064814814815	-1.21161991951685	NA	21	ABCB1;ABCB8;ABCC4
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.0149169701032637	0.104418790722846	1.63005391701253	NA	30	ZBTB16;PIK3CA;SOS1;MAPK1
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.564285714285714	0.962444043950933	0.920694142063111	NA	54	FER;TJP1;ACTB;IGF1R;BAIAP2;CREBBP;MAPK1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.538922155688623	0.962444043950933	0.899799730874996	NA	34	MAPK10;IRS2;PRKAG2;JAK2
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.651340996168582	0.9812925992169	-0.913198679361102	NA	16	ADSS2;NIT2;ASL;PPAT;ALDH5A1;GLS
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.289340101522843	0.795127467105263	1.2507261852627	NA	23	IRS2;PIK3CA;MAPK1;ATP1A3;NR3C2;IRS1;INSR;PIK3R3;PRKCB;SGK1
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.721910112359551	0.9812925992169	-0.817506943231763	NA	5	PLA2G4A;ACOX3;ACOX1
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.0129586681778849	0.100639952120132	1.41461085829885	NA	116	PPP3CA;CACNA1C;MT-CO1;MT-CO2;MT-ATP8;MT-ATP6;MT-CO3;MT-CYB
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.684782608695652	0.9812925992169	-0.91264403081281	NA	31	MTFMT;RARS1;FARSB;CARS1;TARS3;IARS1;FARSA;CARS2;SARS1;IARS2;NARS1;YARS1;TARS2;WARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.850432632880099	0.987587992419115	-0.693589024223647	NA	26	AMDHD2;GALT;PMM2;HEXB;PGM3;UXS1;FCSK
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.18562874251497	0.640072550685036	1.26543452221752	NA	34	PPP3CA;PPP3R1;NEFL;GRIA1;GRIN1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.465686274509804	0.920841912605811	0.965430184107955	NA	20	HSP90AA1;HSP90AB1;HSPA1A;CANX
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.0240130779376626	0.140076287969699	1.5299873650119	NA	43	PRKACB;PPP3CA;PIK3CA;PRKAR2B;PPP3R1;XIAP;PIK3R3;DFFA
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.471774193548387	0.920841912605811	-1.0841548960679	NA	9	CYP2E1;PTGES2;PLA2G4A
