pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.449404761904762	0.994625541319719	0.959878137110613	NA	5	PSIP1
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.801393728222996	1	-0.797621199665649	NA	62	ABCB1;RPS27A;PSMA3;PSMA5;PSMD13;PSMD7;ABCB8;ABCC4
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.910238429172511	1	-0.530014646267424	NA	11	ABCA5;PEX3
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.845771144278607	1	0.764780136789055	NA	42	SEM1;UBB
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.902606310013717	1	-0.533024182360756	NA	14	CDC16;CDC23;ANAPC4;ANAPC1;ANAPC7;ANAPC5
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.145161290322581	0.887648059475806	1.56403125382274	NA	7	CCND3;TFDP2
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.882749326145553	1	-0.588466088988663	NA	16	NELFCD;POLR2E;POLR2C;NCBP2;NCBP1;POLR2H;SUPT5H;POLR2D;CTDP1;NELFB
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.0133624817105928	0.316537476586992	1.66299793639454	NA	14	SYT1;SNAP25;STXBP1;VAMP2
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.738484398216939	1	-0.762808799224655	NA	6	PLCB1;PRKCA
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.784391534391534	1	-0.781445380851396	NA	21	RPS27A;ADAM17
