pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.684603886397608	1	-0.827344756460115	NA	5	MTHFD1L;MTHFD1;ALDH1L2
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.536152796725784	1	-0.972283847036695	NA	8	FDX2;ISCU;NFS1;GLRX3;HSCB;NDUFAB1
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.696542893725992	1	-0.866957674661947	NA	16	ADHFE1;DLST;IDH2;D2HGDH;DLD;L2HGDH;AADAT;KGD4
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.767241379310345	1	0.691987119626694	NA	12	PUM1;UPF1;KHSRP;CPEB3
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.761061946902655	1	0.696707379280391	NA	15	ELAVL4;QKI;TENT4B;RBM10;HNRNPC;ADARB2
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.396113602391629	1	-1.10625420513135	NA	5	FDX2;ISCU;NFS1
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.732732732732733	1	0.726356123776057	NA	5	GTF3C1;GTF3C3;GTF3C4
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.916292974588939	1	-0.614175355345961	NA	5	SNRPF;SNRPD1;SNRPD2
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.626307922272048	1	-0.877793896299321	NA	5	RNMT;CMTR1
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.825864276568502	1	-0.683023511703497	NA	16	DLD;PDHX;TPK1;ACAT1;PDPR
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.745679012345679	1	-0.855796290352095	NA	24	DLST;MVD;DLD;PDHX;TPK1;ACAT1;PDPR;AADAT
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.473744292237443	1	-1.03390899913502	NA	51	SLC3A1;GIPC1;SLC12A2;SEPTIN2;LRRC8B;PER2
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.951948051948052	1	-0.497679896746407	NA	12	HRH2
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.892445582586428	1	-0.598816768024369	NA	16	POC1B;SLC9A8;PAFAH1B1;MFSD14A;AGFG1;TBPL1;AGFG2;TMF1;TBC1D20
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.790155440414508	1	-0.706371818730209	NA	13	TRIM36;PLCB1
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.408408408408408	1	1.02533507923648	NA	5	BAIAP2;MARCKS
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.964554242749731	1	-0.664354437157902	NA	79	CTNNA3;CAV3;FRMD6;MYO5C;KCNN2;MYO6
GOBP_ACTIN_FILAMENT_BASED_PROCESS	GOBP_ACTIN_FILAMENT_BASED_PROCESS	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	NA	NA	NA	NA	446	FER;AUTS2;MKLN1;CACNA1C;TJP1;SPECC1;MICAL3;SPTBN4;KCNJ3;PPM1E;EFNA5;ACTB;PCLO;CLASP1;EPB41;KCND3;PIK3CA;BAIAP2;ANK2;JAK2;RYR2;SRCIN1;MRTFA;ARHGAP35;PPP1R9A;SCN3A;SPECC1L;AKAP9;EPB41L1;BIN1;AKAP11;MARCKS;ABL2;FGF12;MTPN;ARRB1;SCN2A;CARMIL1;FRMD5;WIPF3;ZEB2;TMEFF2;CORO2B;ADD3
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.900409276944065	1	-0.589457306222168	NA	8	MYO5C
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.75557917109458	1	-0.87207129380007	NA	105	RFLNA;LIMD2;TTC8;PAK1;ILK;ITGB1BP1;NEDD9;PRKN
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.186666666666667	0.981970477171301	1.22217589952727	NA	38	MICAL3;SPTBN4;PIK3CA;SPECC1L;MTPN;CARMIL1;ADD3
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.345454545454545	1	-1.1934815675689	NA	12	ILK
GOBP_ACTIN_FILAMENT_ORGANIZATION	GOBP_ACTIN_FILAMENT_ORGANIZATION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.91356783919598	1	-0.799284282818303	NA	262	CAV3;RFLNA;CORO6;GIPC1;LIMD2;TTC8;SVIL;PAK1;ILK;RNH1;ACTR2;MYO5C;ITGB1BP1;SHROOM3;NEDD9;PRKN;MYO6;RGS4;CYRIB;C9orf72;RAB40B
GOBP_ACTIN_FILAMENT_POLYMERIZATION	GOBP_ACTIN_FILAMENT_POLYMERIZATION	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.238243108134585	1	1.17769031213935	NA	89	FER;SPTBN4;BAIAP2;JAK2;BIN1;MTPN;CARMIL1;ADD3;WASL;NCKAP1
GOBP_ACTIN_FILAMENT_SEVERING	GOBP_ACTIN_FILAMENT_SEVERING	c5_go_bp	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.16643929058663	0.959692559513219	-1.31329921860031	NA	8	SVIL
