pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.995767195767196	1	-0.558432027676246	NA	114	MGST3;CHCHD10;SULT1A1;DECR1;MYLK;ABCB8;UQCR11;CAT;IDH3A;ESYT1;COX7B;LPCAT3;DLD;PTCD3;PPM1B;DHRS7B;ATP5PO;UQCR10;PFKFB3;ESRRA;ATP1B3;MGLL;SNCG;GPX4;ELMOD3;ECHS1;SORBS1;AK2;MTCH2;ADCY6;NDUFAB1;HADH;IMMT;SAMM50;IFNGR1;NDUFA5;SDHC;COL4A1;ARL4A;TALDO1;ACADM;ATL2;MIGA2;NKIRAS1
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.604042806183115	1	-0.946300759360728	NA	53	IL7;STAT4;GLMN;RPS9;HDAC9;RARS1;RPS3A;RPL9;IFNGR2
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.425	1	0.997111798699233	NA	69	CCND3;FKBP5;INPP4B;ZMIZ1;ANKH;SLC38A2;ARID5B;MAP7
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.884308510638298	1	-0.570408690375349	NA	13	SLCO2A1;COL5A2;JAG2;LRPAP1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.00999569788121674	0.249892447030418	1.52963561921221	NA	102	CADM2;TJP1;CNTN1;NRXN2;NEGR1;ACTB;BAIAP2;CADM3
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.00553541520018409	0.249892447030418	1.67816986863618	NA	21	HSPB1;EFNA5;CROCC;RTN4RL1;APP;ADAM10
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.17561485156823	1	1.17375193539386	NA	67	HSPB1;BNIP3L;CLU;ANKH;PEA15;CREBBP;APP;PPP3R1;SC5D
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.928915662650602	1	-0.710549769337929	NA	49	GSTK1;HACL1;CAT;IDH2;ALDH8A1;HSD17B4;NPC1;SLC29A1;PRDX5;PEX1;ATXN1;CROT;CYP46A1;IDI1;ACSL1;ABCA5;PEX7
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.727272727272727	1	0.822841083929227	NA	39	CLU
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.929736511919699	1	-0.612200419053523	NA	34	TIMP3;PRSS23;GDA
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	hallmark	fgsea	census_scrna__6f7fd0f1_wilcoxon	census_scrna__6f7fd0f1_wilcoxon	0.968166849615807	1	-0.654495991184184	NA	87	CTSL;CD46;F5;LIPA;GCA
