pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.53046953046953	0.845319955094022	0.988126059611582	NA	37	JUND;PCNA;DEK;EIF4ENIF1;BAZ1B;BCL2;UVSSA;DDX21;BMPR1B;ERCC8;RIF1;SIRT1;SMARCA5
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.704819277108434	0.904122624283106	0.881038800002474	NA	23	SMC3;SMC1A;PRXL2A;RSPH3;PDS5A;GLUD1;NFKB1;TSPAN14;SHLD3;PDS5B
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.682317682317682	0.904122624283106	0.907025611055703	NA	32	TP53;HLA-DRA;HLA-DMB;HLA-DMA
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.11854103343465	0.643341186051246	1.27387434919473	NA	17	RTN4;MAPK9;ATXN1;SPATA13;TRAF5;CDC42;SNTB1
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.326860841423948	0.782991158173794	1.12161146494169	NA	7	FMR1;TUBGCP3;TUBGCP5;TUBGCP4;TUBGCP2
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.502507522567703	0.836303614081392	0.999588366849003	NA	24	KLF13;NSMCE3;FANCI;FANCD2;UBN1;SMC6;SLF1;HDAC1;SLF2;NSMCE2;EID3;KAT2B;CREBBP;CALM1
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.47680690399137	0.836303614081392	0.999921640645769	NA	7	KLF13;FANCD2
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.495504495504495	0.836303614081392	1.00603901305979	NA	28	SPCS3;AP3B2;WDR73;WHAMM;ADAMTSL3;RAF1;SEC11A;SPCS2;SPCS1;RNMT;BTBD1;TOP1;RAMAC;HTT;AP3D1;C15orf40
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.69578313253012	0.904122624283106	0.886776324424301	NA	21	NFATC2IP;CD81;JAK2;INSR;TRAF2;RABEP2;SDCCAG8
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.554445554445554	0.850389920157362	0.976157819416557	NA	58	PCNA;TCP1;TP53;PTEN;CCT8;PPP4R3A;CCDC6;HIRA;BPTF;PAXIP1;CCT4;MAP2K6;MAPK3;CASP8;TRAF2;KMT2C;NFKB1
