pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.287830687830688	0.857606481915874	1.13993290604192	NA	9	GLRX5;GLRX3;FXN;NFS1;NDUFAB1;LYRM4
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.933333333333333	0.999348510242575	0.654910450980787	NA	13	L2HGDH;KGD4;PHYH;IDH2;IDH1;GOT1
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.0519877675840979	0.553298050858397	1.35699670578734	NA	15	KHSRP;DHX36;HNRNPD;UPF1;RC3H1;TARDBP
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.122367101303912	0.682944757944758	1.24096373576686	NA	20	YBX3;MAPK14;NICOL1;LARP4B;TENT4A;TARDBP;ELAVL1;HNRNPC;QKI;METTL16;TIRAP
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.0736126840317101	0.608402102827401	1.38288520847878	NA	6	GTF3C4;GTF3C6;GTF3C3
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.0224326510490061	0.451101299585841	1.50615852462021	NA	9	SNRPE;SNRPD1;SNRPF;SNRPG
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.354098360655738	0.897748259864083	1.0877930003447	NA	7	NCBP1;RNMT;NCBP3;CMTR1;RAMAC
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.859578736208626	0.999348510242575	0.760713351221268	NA	20	ACAT1;MLYCD
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.959040959040959	0.999348510242575	0.689076707159745	NA	32	ACAT1;MLYCD;ACACB;PDK1;HMGCS1;PDHX;ACSS1;ACACA;FASN;MPC2;PDP1;NME1;PDHA1;PPCS;HMGCR;TPK1;PMVK;GCDH;PDPR
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.114885114885115	0.678155644140574	1.21153345916882	NA	35	SLC1A5;EPM2A;GIPC1;SLC1A6;VPS54;P2RX7;DTNBP1;SLC12A2;LRRC8B;SLC38A6;ABAT;PSEN1;SLC38A2;SEPTIN2;PER2;NF1;ITGB1;SLC6A6;CLN8;SLC25A13;ARL6IP1;ARL6IP5;SLC25A12
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.490196078431373	0.944433868477272	0.997724581481011	NA	11	P2RX7;SNX10;ABAT;CASR
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.312309257375382	0.87585158215232	1.10948809082955	NA	16	GARIN1A;KNL1;CHN2;AGFG1;AGFG2;CEP70;TMF1;VPS13B
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.795238095238095	0.999348510242575	0.783224509754215	NA	5	STX2
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	c5_go_bp	fgsea	census_scrna__9dbab10c_pseudobulk	census_scrna__9dbab10c_pseudobulk	0.0106862623010595	0.318094407828204	1.36834456258338	NA	47	MYL6B;SUMO1;KCNJ3;ATP2A2;KCNJ2;FGF13;DLG1;ACTA2;AKAP9;MYO9B;ABCC9;CCDC88C;CAMK2D;SRI;ROCK1;EMP2;PIK3CA;NEDD4L;QKI;MYL6;MYO19;NUP155;MYO5A
