pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.703412073490814	0.898519071977317	-0.828978537434893	NA	9	BOLA2;HSCB;GLRX5;FXN
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.266129032258065	0.597939703318913	-1.17534508555943	NA	12	GPT2;GOT2;DLD;GOT1
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.301994301994302	0.6316613886335	-1.1317182657017	NA	15	HNRNPD;TARDBP;KHSRP;KHNYN;UPF1
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.122058823529412	0.429475042510341	1.32328331171331	NA	20	ARID5A;ZFP36;NICOL1
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.306264501160093	0.633934585734601	-1.20884449724647	NA	5	GTF3C1;GTF3C2;GTF3C3;GTF3C5
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.647342995169082	0.862377346505525	0.883551394277932	NA	9	LSM10
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.439024390243902	0.734675703755009	-1.05722290474277	NA	7	NCBP3;CMTR2
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.775811209439528	0.933009107562115	0.776577354715646	NA	21	PGK1;BCKDK;TPK1
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.713768115942029	0.90355345672188	-0.863991218729599	NA	33	NUDT8;PDHB;PDHA1;MLYCD;DLD;PDP1;ACSS1;PDPR;DLAT;MPC2
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.597278911564626	0.832594405685371	0.908050720865813	NA	38	BEST1;SLC38A6;SLC1A3;P2RX7;GJA1;UCP2;TTYH3
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.369327073552426	0.690694251866988	1.09534143901397	NA	11	HRH2;BEST1;P2RX7
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.994490358126722	1	-0.459067285686971	NA	13	TMF1;CEP78;CHN2;TBC1D20;SLC9A8;POC1B;PAFAH1B1;NECTIN2;RFX2;CEP70;AGFG1;TBPL1;VPS13B
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.588419405320814	0.829294325459162	0.905753510057554	NA	11	ADCY3;STX2;STXBP1;PLCB1
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.177496038034865	0.508704525881562	1.29039585004828	NA	10	MARCKS;FLNA;DPYSL3;LCP1;AIF1
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	c5_go_bp	fgsea	census_scrna__9f222629_pseudobulk	census_scrna__9f222629_pseudobulk	0.156521739130435	0.486497870548041	1.22162549814675	NA	74	ACTA2;CACNA1C;WIPF1;CACNA2D1;WAS;CACNB2;RYR2;BIN1;ANK2;FLNA;PDE4D;GJA1;NEDD4L;MYL6;RANGRF;TPM1;SCN7A;EPB41L5;FRMD6;MYO1G;LIMCH1;CAMK2D
