pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.433905146316852	1	-1.04897845604073	NA	39	ERCC5;SMARCC2;MYO1C;BAZ1B;BMPR1A;PARG;RIF1;VSTM4;DEK;ERCC6;SIRT6;SMAD9;DLD;EIF4ENIF1
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.557142857142857	1	-0.965701412672997	NA	27	SMC3;ZMYND11;SMC1A;GHITM;BMPR1A;AFG3L2;RAD21;STAG1
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.916751269035533	1	-0.67105122865739	NA	34	ITGA4;TSPAN18;EXT2;EXT1;CRY2;VANGL1
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.235173824130879	1	-1.18447874330639	NA	24	SSPN;RHOA;DAG1;SGCG;SGCA;SGCB;MAPK9;SGCD;MIPEP
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.458646616541353	1	-1.02113137273561	NA	5	TUBGCP4;NIPA2
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.383435582822086	1	-1.07705016831226	NA	23	CREBBP;CDC42BPB;APP;TJP2;SMC6;HDAC1;RELA;NSMCE1;MITF;KAT2B;NSMCE2;SLF1;UBN1;DNMBP
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	1	1	-0.383636575668053	NA	22	AP3D1;C15orf40;AP3M2;ZNF592;HTT;WDR73;SYNJ1;BTBD1
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.900723888314374	1	-0.671098659557891	NA	20	RAB4A;CD81;IFITM1;TUFM;GRB2;RABGEF1;NFATC2
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.428857715430862	1	-1.04298900299951	NA	57	ALDOA;CCT5;PARP4;MSN;NR3C1;CCT7;HDAC3;CDIPT;CCT6A;PPP2R5D;UNC13B;IGBP1;INO80E;TP53;BPTF;PPP4R3B;HIRIP3;IGFBP3;PAXIP1;PPP2R1A;ESR1
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.894046417759839	1	-0.720722648495043	NA	39	UQCRFS1;MT-CYB;MAPK1;MTOR;PRKAB1;CALM2;PRKAG1;MAPK14;MAPK13
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.760043431053203	1	-0.804802742894366	NA	13	PCM1;DCTN4;ACTR1A;DCTN1
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__a19d1667_pseudobulk	census_scrna__a19d1667_pseudobulk	0.275531914893617	1	-1.15238513984567	NA	15	YWHAB;DCTN2;DCTN4;DCTN1;DCTN5;DYNC1H1
