pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.949579831932773	0.972136771744684	0.543690718179349	NA	5	ALDH1L2;AASDHPPT
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.483906770255272	0.737387106820305	1.04037537487575	NA	9	GLRX5;NDUFAB1;FDX2
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.983068783068783	0.991827781660067	0.561240786275512	NA	12	COL6A1;D2HGDH;GOT1;KYAT3;PHYH;DLST;IDH2;IDH1;OGDH;AADAT
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.294541709577755	0.629108197932053	1.10800797158655	NA	16	ZC3H12A;ZFP36L2;ZC3H12C;ZFP36L1;KHSRP;ZFP36
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.0534429599177801	0.349924142318798	1.19753116076062	NA	20	MAPKAPK2;NICOL1;TENT4A;HNRNPA0;QKI;YBX3;HNRNPC;TENT4B;RBM38;ZFP36
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.702280912364946	0.844735243153228	0.960798943238898	NA	5	FDX2
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.256678281068525	0.609856262833676	1.12484142915964	NA	6	GTF3C6
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.772475027746948	0.875647532939719	0.907167368372304	NA	9	SNRPB;SNRPD3;TGS1;SNRPF
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.996515679442509	0.999110772357724	0.392350306165116	NA	6	NCBP3
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.505122950819672	0.749584999257197	1.02764261684667	NA	22	MPC2;PDK4
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.717434869739479	0.851486505000685	0.940024682155797	NA	36	MPC2;HMGCS1;PDK4;NME1
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.122489959839357	0.481866156724993	1.14024502406565	NA	35	PER2;ARL6IP5;SLC1A3;SLC12A2;GJA1;PRAF2;LRRC8A;ITGB1;SLC38A2;ARL6IP1;SLC1A5;SLC17A7
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.466743119266055	0.7295325587679	1.05814981907801	NA	7	SGK1;PTGER3;CACNB4
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.519916142557652	0.755267081493234	1.03563417776717	NA	13	PAFAH1B1;NECTIN2;TBPL1;TMF1
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.140954495005549	0.501154551422815	1.16751473134605	NA	9	ADCY3;B4GALT1
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.429732868757259	0.712724674633306	1.06353931406502	NA	6	MARCKS;EPS8
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.298701298701299	0.630517023959647	1.06225168318114	NA	70	LUZP1;SLC9A1;WASF2;ATP1A1;ZEB2;SCN7A;KCNE4;CAMK2D;GJA1;QKI;AKAP9;WASL;MYL6B;ATP2A2;FRMD6;EMP2;ROCK1;SCN1B;CACNA1G;SCN4B
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.596980255516841	0.796275112604561	1.00875328909993	NA	6	WASL
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.252747252747253	0.608669361255211	1.05710751173112	NA	126	LUZP1;SLC9A1;WASF2;CCDC88A;LIMS1;ZEB2;CUL3;CD47;PTGER4;SRF;MARCKS;EZR;FSCN1;CALD1;DLC1;SFRP1;TESK1;CFL1;RHOD;CORO1B;ARAP1;ITGB1;NRP1;EPS8;PAWR;FERMT2;TGFB3;EVL;BLOC1S6;ROCK1;CGNL1;RFLNA
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.434869739478958	0.713339013537821	1.04126795645092	NA	37	PLEKHH2;TWF2;SEMA5A;CAPZA2;MTPN;SPTAN1;CFL1;SVIL;EPS8;TMOD3;TRIOBP
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.269700332963374	0.616175754625122	1.11083252261335	NA	9	LIMS1
GOBP_ACTIN_FILAMENT_ORGANIZATION	GOBP_ACTIN_FILAMENT_ORGANIZATION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.0739260739260739	0.402378017835134	1.07074466737599	NA	299	LUZP1;SLC9A1;WASF2;MARCKSL1;HAX1;KIRREL1;ENAH;RHOB;PLEKHH2;RHOQ;CCDC88A;TMSB10;LIMS1;ZEB2;RND3;ABI2;CUL3;ARPC4;TWF2;CD47;SLIT2;AP1AR;SEMA5A;PTGER4;ZBED3;JMY;SRF;MARCKS;ARHGAP18;EZR;MICALL2;FSCN1;ARPC1A;ARPC1B;CAPZA2;WASL;CALD1;MTPN;SH3KBP1;DLC1;SFRP1;PLEC;WASHC1;TESK1;TPM2;SPTAN1;CFL1;RHOD;CORO1B;ARAP1;MSRB2;ABI1;SVIL;ITGB1;NRP1;EPS8;PAWR;WASHC3;WASHC4;ARF6;FERMT2;RHOJ;TGFB3;EVL;BLOC1S6;TMOD3;EMP2;PYCARD;COTL1;CDC42EP4;ROCK1;BCL2;CNN2;MYADM;TRIOBP;CCL26;TENM1;PLEKHG2;CGNL1;RND1;RFLNA
GOBP_ACTIN_FILAMENT_POLYMERIZATION	GOBP_ACTIN_FILAMENT_POLYMERIZATION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.316683316683317	0.64464087199371	1.04740675939271	NA	106	HAX1;KIRREL1;ARPC4;TWF2;SLIT2;ARHGAP18;MICALL2;CAPZA2;WASL;MTPN;SPTAN1;CFL1;RHOD;MSRB2;SVIL;EPS8;WASHC3;ARF6;EVL;TMOD3;PYCARD;COTL1;CDC42EP4;MYADM;TRIOBP;CCL26;TENM1;PLEKHG2
GOBP_ACTIN_FILAMENT_SEVERING	GOBP_ACTIN_FILAMENT_SEVERING	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.950733752620545	0.972544032333931	0.670635888293992	NA	13	CFL1;SVIL
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.282717282717283	0.623165002935995	1.07305881583055	NA	57	LUZP1;SLC9A1;ATP1A1;ZEB2;SCN7A;KCNE4;CAMK2D;GJA1;QKI;AKAP9;MYL6B;ATP2A2;FRMD6;EMP2;ROCK1;SCN1B;CACNA1G;SCN4B
GOBP_ACTIN_NUCLEATION	GOBP_ACTIN_NUCLEATION	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.156	0.520658870133842	1.12719816433771	NA	39	WASF2;ABI2;ARPC4;AP1AR;JMY;ARPC1A;ARPC1B;WASHC1;CORO1B;WASHC3;WASHC4
GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	c5_go_bp	fgsea	census_scrna__a19d1667_wilcoxon	census_scrna__a19d1667_wilcoxon	0.157955865272938	0.523047661669277	1.16631805266914	NA	6	ENAH;JMY;EPS8
