pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	census_scrna__a48343a2_pseudobulk	census_scrna__a48343a2_pseudobulk	0.0439431292887391	0.104343289422199	-1.23869064527344	NA	164	Sparcl1;Cs;Tob1;Gpam;Coq9;Gpd2;Aplp2;Mccc1;Acaa2;Sdhc;Dnajc15;Aco2;Pgm1;Mtarc2;Adcy6;Enpp2;Mdh2;Cox6a1;Ndufs3;Ephx2;Sdhb;Ndufab1;Miga2;Cox8a;Map4k3;Idh3a;Phyh;Pfkfb3;Esrra;Cyc1;G3bp2;Uqcrc1;Hadh;Decr1;Angpt1;Coq5;Mgst3;Dld;Idh3g;Ndufa5;Atp1b3;Cmbl;Suclg1;Fabp4;Uqcr11;Cox7b;Acadm;Chchd10;Uqcr10;Dlat;Mrpl15;Lpl;Abcb8;Vegfb;Dhrs7b;Ech1;Slc27a1;Etfb;Uqcrq;Adipor2;Ndufb7;Lifr;Nkiras1;Sspn
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	census_scrna__a48343a2_pseudobulk	census_scrna__a48343a2_pseudobulk	0.0251733640921263	0.0703313164869798	1.44499891951137	NA	62	Akt1;Abi1;Zap70;Ikbkb;Ets1;Lyn;Ccnd3;Traf2;Abce1;St8sia4;Ripk2;Ptprc;Fas;Eif3a;Egfr;Cd28;Npm1;Tpd52;Eif3j1;Stab1;Hif1a
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	census_scrna__a48343a2_pseudobulk	census_scrna__a48343a2_pseudobulk	0.00193182399687145	0.00878101816759751	1.63479623185528	NA	74	Elk4;Akt1;Myl12a;Hpgd;Abhd2;Rrp12;Zbtb10;Ccnd3;Mertk;Homer2;Inpp4b;Slc38a2;Sec24d;Ube2i;Pmepa1;Tnfaip8;Stk39;Iqgap2;Plpp1;Pgm3;Srp19;Tpd52;Spcs3
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	census_scrna__a48343a2_pseudobulk	census_scrna__a48343a2_pseudobulk	0.585197934595525	0.696248196248196	0.919314538186031	NA	16	App;Tnfrsf21;Col5a2;Vcan
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	census_scrna__a48343a2_pseudobulk	census_scrna__a48343a2_pseudobulk	0.171145685997171	0.282818100358423	1.1840640316739	NA	101	Tspan4;Flnc;Akt3;Jup;Nrap;Tjp1;Rras;Nf1;Ldlrap1;Parva;Ctnna1;Pik3r3;Shc1;Skap2;Itga9;Itgb1;Pals1;Ptprc;Myl12b;Msn;Sirpa;Arpc2;Akt2;Syk;Pten;Egfr;Myh9;Actn4;Sorbs3;Wasl;Src;Vcan;Ikbkg;Cap1;Myh10
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	census_scrna__a48343a2_pseudobulk	census_scrna__a48343a2_pseudobulk	0.231666666666667	0.351010101010101	1.20468442833091	NA	21	Pkhd1;App;Ntng1;Lyn;Atp8b1;Hspb1;Efna5
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	census_scrna__a48343a2_pseudobulk	census_scrna__a48343a2_pseudobulk	0.000894282380545512	0.0063877312896108	1.68630787467288	NA	87	Gadd45a;Cdkn1a;Cyld;App;Atf3;Tnfrsf12a;Lmna;Fez1;Jun;Btg2;Birc3;Sqstm1;Gch1;Etf1;Wee1;Tgfbr3;Slc20a1;Cd44;Nedd9;Sptan1;Hspb1;Pak1;Fas
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	census_scrna__a48343a2_pseudobulk	census_scrna__a48343a2_pseudobulk	0.00275613890577928	0.0106226173238689	-1.64826762431115	NA	60	Rxrg;Tfcp2l1;Nedd4;Rxra;Isoc1;Abcd2;Nr3c2;Amacr;Npc1;Hsd17b4;Ephx2;Pex1;Phyh;Pecr;Optn;Slc23a2;Pex26;Ar;Prdx5
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	census_scrna__a48343a2_pseudobulk	census_scrna__a48343a2_pseudobulk	0.6765625	0.751736111111111	0.878592142873508	NA	40	Errfi1;Atf3;Tnfrsf12a;Lgmn;Srebf2;Gusb;Alcam;Niban1;Pparg
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	census_scrna__a48343a2_pseudobulk	census_scrna__a48343a2_pseudobulk	0.909647779479326	0.928212019876863	0.708440008682417	NA	45	Ctsl;Fyn;Lgmn;F8;Gda;Prep;Cfh;Capn2;Arf4;Wdr1;Lrp1;Pef1;Htra1;Fbn1;Fn1;Pecam1;Ctsb
