pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	census_scrna__b617ee1b_pseudobulk	census_scrna__b617ee1b_pseudobulk	0.196592398427261	1	1.2260571818923	NA	5	XRCC6;BANF1;XRCC5
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	census_scrna__b617ee1b_pseudobulk	census_scrna__b617ee1b_pseudobulk	0.166498486377397	1	1.19210839144392	NA	54	ABCC9;PSMA6;UBC;PSMA5;EIF2S3;VCP;PSMD11;PSMA3;PSMD1;PSMC2;PSMD8;PSMC4;PSMD2;PSMC1;PSMD12;PSMD7;ERLEC1;PSMB2;PSMC3;ABCC10;ABCC1;PSMA1;PEX19;ADRM1;PSMB5;ABCC5;DERL1;OS9
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	census_scrna__b617ee1b_pseudobulk	census_scrna__b617ee1b_pseudobulk	0.952817824377457	1	0.597936238429383	NA	5	PEX19;ABCA2
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	census_scrna__b617ee1b_pseudobulk	census_scrna__b617ee1b_pseudobulk	0.233367451381781	1	1.1595725708522	NA	45	ABCC9;PSMA6;UBC;PSMA5;VCP;PSMD11;PSMA3;PSMD1;PSMC2;PSMD8;PSMC4;PSMD2;PSMC1;PSMD12;PSMD7;ERLEC1;PSMB2;PSMC3;PSMA1;ADRM1;PSMB5;DERL1;OS9
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__b617ee1b_pseudobulk	census_scrna__b617ee1b_pseudobulk	0.666666666666667	1	0.8906231036059	NA	18	ANAPC1;CDC26;SKP2;CDC23;ANAPC4;ANAPC5;UBE2C
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__b617ee1b_pseudobulk	census_scrna__b617ee1b_pseudobulk	0.215175537938845	1	1.20369200180554	NA	13	CCND2;CDK2;CDK6;CDK4;TFDP2;CCND1
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	census_scrna__b617ee1b_pseudobulk	census_scrna__b617ee1b_pseudobulk	0.728902953586498	1	0.841932156804224	NA	22	POLR2E;GTF2F1;NCBP1;NELFCD;NELFE
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	census_scrna__b617ee1b_pseudobulk	census_scrna__b617ee1b_pseudobulk	0.226736566186107	1	1.19415427445698	NA	5	CHRM3
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	census_scrna__b617ee1b_pseudobulk	census_scrna__b617ee1b_pseudobulk	0.825107296137339	1	0.75108514729951	NA	19	ITCH;UBC
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	census_scrna__b617ee1b_pseudobulk	census_scrna__b617ee1b_pseudobulk	0.287859824780976	1	1.15334427130566	NA	7	PTPN11;SOS1;FRS2;GRB2
