pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.561915887850467	0.918011412702982	1.05180865875879	NA	6	BANF1;XRCC6;HMGA1;XRCC5
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.00919170650243912	0.0924589069564167	1.19395119119963	NA	69	PSMB2;PSMA5;ERLEC1;PSMD6;PSMD2;RNF5;PSMB1;SEM1;VCP;PSMB7;PSMC3;UBC;PSMB5;PSMA6;PSMA3;PSMC1;PSMA4;PSMD7;PSMB6;PSMD11;PSMC5;EIF2S2;PSMA7;ADRM1;PSMD8;PSMC4
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.855855855855856	1	-0.692655894570518	NA	8	ABCA7;ABCG1;ABCD3;ABCA2;ABCA5;PEX19;PEX3;APOA1
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.0068177138284163	0.0776517552957121	1.2202509195734	NA	50	PSMB2;PSMA5;ERLEC1;PSMD6;PSMD2;RNF5;PSMB1;SEM1;VCP;PSMB7;PSMC3;UBC;PSMB5;PSMA6;PSMA3;PSMC1;PSMA4;PSMD7;PSMB6;PSMD11;PSMC5;PSMA7;ADRM1;PSMD8;PSMC4
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.292134831460674	0.702293876127519	1.11725676496438	NA	20	CDC26;ANAPC16;ANAPC11;UBE2C;UBE2S
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.642027455121436	0.953500026829439	0.965386523351161	NA	13	CCND1;CDK4
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.0489296636085627	0.252640163098879	1.22647114978881	NA	23	POLR2H;NCBP2;NELFE;POLR2K;POLR2L;POLR2G;NELFCD;POLR2E;POLR2I;POLR2F;GTF2F1
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.176165803108808	0.551274402051604	-1.21120888102952	NA	5	PLCB2;PRKCA;GNAQ;GNA15;CHRM3
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.539209593316859	0.913669880451289	-1.00329267041438	NA	21	UBA52
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.886234357224118	1	0.588251339359522	NA	7	KRAS;PTPN11;SOS1;HRAS;NRAS;FRS2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.872663551401869	1	0.60060370299993	NA	6	KRAS;SHC1;SOS1;HRAS;NRAS
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.872663551401869	1	0.60060370299993	NA	6	KRAS;SHC1;SOS1;HRAS;NRAS
