pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	hallmark	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.150849150849151	0.301698301698302	1.07417036259892	NA	174	AK2;RNF11;SCP2;GADD45A;SDHC;MGST3;SUCLG1;TANK;UQCRC1;REEP5;UQCRQ;MDH2;NDUFA5;COX7B;MRPL15;CYC1;TALDO1;CD151;NDUFS3;MTCH2;COX8A;SNCG;PRDX3;ECHS1;COX6A1;UBC;NDUFAB1;ALDOA;RAB34;CAVIN1;GPX4;C3;NDUFB7;ETFB;DDT;UQCR10;SOD1
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	hallmark	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.709290709290709	0.824756638710127	0.967850248003642	NA	164	GBP2;CD2;STAT1;MRPL3;CXCL13;GZMA;NPM1;TNF;TAP1;TIMP1;RPL39;CDKN2A;SIT1;IRF7;CD3E;CD3D;THY1;UBE2N;HIF1A;SOCS1;PSMB10;NME1;IFNG;FASLG;CXCR3
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	hallmark	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.0205769026039674	0.0734889378713122	1.16796596076012	NA	86	TMEM50A;RAB4A;DBI;SELENOP;AZGP1;SMS;SAT1;CCND1;ARID5B;KRT8;PA2G4;TSC22D1;SORD;UBE2I;KRT19;MYL12A;VAPA;LMAN1;ADRM1;H1-0
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	hallmark	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.197969543147208	0.344483103103793	1.14011381106049	NA	26	COL3A1;COL5A2;LRPAP1;SPP1;TIMP1;LUM;APP;FSTL1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	hallmark	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.694305694305694	0.824756638710127	0.968372102662321	NA	122	VCAM1;FSCN1;WASL;CD99;PARVA;MDK;LAYN;THY1;ITGB1;TIAL1;MMP2;MYH10;ACTG1;MYL12B;MYL9;GAMT;GTF2F1;CTNNA1;MPZL1;YWHAH;ACTB;CERCAM;CDH11;CLDN4;COL16A1;NECTIN2;CD276;JUP;PTK2;ACTG2;EXOC4
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	hallmark	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.314024390243902	0.478713515523331	1.10875989667549	NA	25	GSTM3;HSPB1;THY1;APP
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	hallmark	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.00702717482176607	0.0351358741088303	1.16037530078836	NA	139	JUN;GADD45A;CD2;PEA15;SQSTM1;IER3;TNF;TAP1;HSPB1;SAT1;TIMP1;BGN;BNIP3L;CLU;DNAJA1;IFITM3;CCND1;VDAC2;MGMT;KRT18;DDIT3;LUM;DCN;ISG20;TNFRSF12A;MMP2;PMAIP1;GPX4;BAX;H1-0;BTG3;APP;SOD1;FASLG;DIABLO
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	hallmark	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.532	0.677605210420842	1.0119540740964	NA	57	SCP2;RBP1;SLC35B2;GSTK1;PRDX5;OPTN;IDH2;SOD1;ALDH9A1;EFHC1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.184815184815185	0.344483103103793	1.107285917885	NA	64	S100A11;PMVK;FDPS;PLSCR1;ANXA5;GPX8;CYP51A1;FDFT1;CLU;TNFRSF12A;ACTG1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	hallmark	fgsea	census_scrna__b617ee1b_wilcoxon	census_scrna__b617ee1b_wilcoxon	0.0579420579420579	0.170417817476641	1.14108963976125	NA	85	PEF1;CTSK;S100A13;CSRP1;ARF4;SPARC;RAC1;TIMP1;CLU;HTRA1;C1S;C1R;ISCU;MMP14;MMP2;C3;MMP11;MMP7;S100A1
