pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.801661474558671	1	-0.807957877647943	NA	20	Ercc5;Nog;Ercc8;Pcna;Cul5;Sirt6;Ddx21;Bmpr1a;Dek;Dlst;Cdh1;Mybbp1a;Sirt1;Myo1c;Bcl2
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.707889125799574	1	-0.882550564625742	NA	15	Pds5b;Stag1;Ldb3
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.0204603200598469	0.184250031576192	1.48883069789639	NA	19	Cd63;Itgb1;Chst1;Timp1;Ndst1
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.417118093174431	0.934968787081463	-1.0583544964233	NA	12	Dmd;Sgcd;Atxn1
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.0578313253012048	0.317590361445783	-1.33959468669741	NA	5	Tubgcp6;Tubgcp5;Tubgcp2;Tubgcp3
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.0189374801929098	0.17828284924468	-1.45142137981046	NA	11	Tjp1;Smc6;Crebbp;Kat2b
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.755750273822563	1	-0.843029953123686	NA	11	Ap3s1;Homer2;Synj1;Top1;Spcs3;Ryr2
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.703417861080485	1	-0.877222723324424	NA	10	Rab4a;Sdccag8
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.854954034729316	1	-0.784042080895933	NA	31	Unc13b;Ppp2cb;Pten;Nr3c1;Coro1a;Hdac3
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.94974358974359	1	-0.631727165329586	NA	29	Mapk12;Mapk11
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.549375709421112	1	-0.978438026332965	NA	7	Pcm1;Dcp2;Plagl1;Abcc1;Dctn4
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.640449438202247	1	0.898461660134982	NA	11	Ywhag;Ywhab;Dctn1;Ywhae;Dync1h1
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__b6f472f1_pseudobulk	census_scrna__b6f472f1_pseudobulk	0.0870928742567008	0.386391141914291	1.48036794809823	NA	6	Dusp14
