pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.100512820512821	0.747765195887023	-1.30213803406762	NA	41	Psma3;Abcb7;Abca5;Psmb3;Psmb2;Psmd7;Psmb5;Eif2s2;Abcc5;Psmc6;Psma2;Psmc4;Abcd3;Adrm1;Psmc3;Pex19;Abca2;Psma4;Eif2s3x;Psmd8;Psmd12;Abca6;Psma7;Psma6;Eif2s1;Psmc2
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.221656050955414	0.812044842653485	-1.1864879069266	NA	8	Abca5;Abcd3;Pex19;Abca2;Abca6
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.188841201716738	0.768201919965484	-1.22184320854941	NA	25	Psma3;Psmb3;Psmb2;Psmd7;Psmb5;Psmc6;Psma2;Psmc4;Adrm1;Psmc3;Psma4;Psmd8;Psmd12;Psma7;Psma6;Psmc2
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.657458563535912	0.964884409635791	-0.849312459768764	NA	5	Ube2d1;Cdc27;Ube2s;Ube2e1;Rb1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.302696078431373	0.833011587512532	-1.09576213990764	NA	11	Cdk4;Tfdp2;Ccnd3;E2f1;Ccne1;Cdkn1b
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.519015659955257	0.947605042016807	-0.971128615298052	NA	18	Polr2j;Polr2f;Ncbp1;Polr2c;Ncbp2;Polr2g;Polr2d;Polr2e;Gtf2f1;Polr2i;Polr2h;Nelfb;Nelfe;Polr2k;Supt4a
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.175	0.76529678465954	1.24099735171584	NA	13	Ubc;Adam10;Arrb2;Aph1a
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.0759668508287293	0.739535064833924	-1.46927337543441	NA	5	Ptpn11;Hras;Sos1
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.651933701657459	0.964884409635791	-0.853465221271408	NA	5	Hras;Sos1;Shc1
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.603591160220994	0.964884409635791	-0.89256895972406	NA	5	Hras;Sos1;Shc1
