pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.432539682539683	0.980433213292536	-1.01123091830419	NA	6	Nfs1;Glrx5;Bola2;Fxn;Ndufab1;Iscu
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.103015075376884	0.739103323564258	-1.36647196379929	NA	9	Idh2;Phyh;Dlst;Ogdh
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.376681614349776	0.961629732393852	1.04054919693612	NA	7	Khsrp;Zfp36;Tardbp;Cpeb3;Upf1;Khnyn;Hnrnpd
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.625661375661376	1	-0.88717627052895	NA	6	Myd88;Hnrnpc;Mapk14
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.651193633952255	1	-0.851444811680038	NA	5	Snrpd3;Snrpg;Snrpd2;Snrpb;Snrpd1
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.0359076583344115	0.623064086456658	1.52302457247055	NA	15	Acss2;Pdk3;Dld;Pgk1;Acat1
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.530864197530864	1	0.971506535825057	NA	25	Acss2;Pdk3;Dld;Pgk1;Acat1
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.83689538807649	1	-0.74338133339756	NA	18	Snca;Praf2;Nf1;Psen1;Abat;Slc25a12
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.0875331564986737	0.710150926747967	-1.44908230954039	NA	5	Nf1;Ptger3;Abat
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.171957671957672	0.825257148215983	-1.25400310048638	NA	6	Cacna1h;B4galt1;Plcb1;Unc13b
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.458994708994709	0.989388674992957	-1.0011684157605	NA	6	Marcks;Diaph3;Baiap2
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.131578947368421	0.784115265539414	-1.25570981970164	NA	37	Scn10a;Tpm1;Wasf2;Myh9;Nedd4l;Sri;Sgcd;Fgf13;Nos1;Wipf1;Wasl;Jup;Scn9a;Rock1;Gpd1l;Emp2;Cav1;Pik3ca
GOBP_ACTIN_FILAMENT_BASED_PROCESS	GOBP_ACTIN_FILAMENT_BASED_PROCESS	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.96003996003996	1	-0.787071258381571	NA	220	Aldoa;Flnb;Scn10a;Pick1;Kit;Bst2;Pdlim7;Daam1;Nf2;Msrb1;Tpm4;Tjp1;Tpm1;Rala;Prex1;Sorbs1;Gmfb;Akap13;Cdk5r1;Wasf2;Farp1;Myh9;Nedd4l;Sri;Bcl2;Arfgef1;Nck1;Mras;Rhoa;Evl;Cul3;Marcks;Csrp2;Sptb;Snx9;Sgcd;Fgf13;Tpm2;Vasp;Nedd9;Nos1;Nf1;Cavin3;Wipf1;Wasl;Atp2c1;Bcr;Msrb2;Cald1;Prkce;Hras;Add3;Clasp1;Jup;Lats1;Scn9a;Rgs4;Lrp1;S100a10;Actr2;Rnd3;Ccdc88a;Prkcd;Synpo;Arfip2;Rhof;Arhgef12;Rock1;Diaph3;Coro1a;Gpd1l;Nrp1;Dlc1;Emp2;Braf;Auts2;Tsc1;Cav1;Jak2;Pik3ca;Lpar1;Tpm3;Abi1;Pdlim5;Pdgfrb;Dmtn;Myo1e;Tgfbr1;Arpc3;Dlg1;Srf;Pfn1;Itgb1bp1;Sdc4;Arrb1;Epb41l2;Cd2ap;Baiap2
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.948927477017365	1	-0.662175292855231	NA	60	Nf2;Tjp1;Tpm1;Sorbs1;Wasf2;Rhoa;Evl;Cul3;Marcks;Nedd9;Cald1;Clasp1;S100a10;Ccdc88a;Synpo;Rock1;Diaph3;Nrp1;Dlc1;Braf;Tsc1;Lpar1;Dmtn;Tgfbr1;Srf;Pfn1;Itgb1bp1;Sdc4;Arrb1;Baiap2;Hsp90b1
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	c5_go_bp	fgsea	census_scrna__b6f472f1_wilcoxon	census_scrna__b6f472f1_wilcoxon	0.627906976744186	1	0.893795290591298	NA	16	Cfl1;Sptbn1
