pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.00800614491640202	0.0581832709766246	1.60873539254678	NA	38	NEO1;ELK1;SIRT1;BAZ1B;JUND;RGMB;CLOCK;ATF2;BMPR1A;SMARCB1;SMAD1;DEK;ERCC6;SMARCC2;RIF1
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.00623804549612835	0.0501650529961536	1.67532902786622	NA	29	STAG1;ADAM10;PDS5B;PDS5A;SMC1A;ERBB4;NRG3;BMPR1A;ZMYND11;PPARG;NFKB1;RAD21
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.116531165311653	0.324125410921937	1.31524584012231	NA	23	PHF21A;MAPK8IP1;NRXN1;CLOCK
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.756906077348066	0.910768952087673	0.814073807655023	NA	22	SACS;SGCG;TNFRSF19
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.681265206812652	0.867436738835273	0.816455418192985	NA	9	FMR1;CYFIP1
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.629834254143646	0.843418156203223	0.918641406757241	NA	30	CREBBP;SMC5;CANX;TJP1;TJP2;CDC42BPB;KLF13;MTMR10
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.0358696499093688	0.152300902132435	1.56500742201505	NA	8	CREBBP;KLF13;MTMR10;KAT2B
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.753776435045317	0.908673561498981	-0.825945471578194	NA	35	TM6SF1;SPCS2;RNMT;AP3S1;EGF;PDE8A;SPCS1;BTBD1;C15orf40;HTT;WDR73;CPEB1;SYNJ1;AP3M2;SEC11A
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.0935064935064935	0.284787411758366	1.44126258617981	NA	12	INSR;JAK2;SDCCAG8;GRB2
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.0434106279243662	0.172234599440458	1.38302142712554	NA	48	BPTF;CCDC6;MAPK3;PRRT2;PPP2CA;PPP4R2;TAOK2;PTEN;PPP2R1A;PPP4R4;ESR1;PPARG;PPP4R3B;NFKB1;PAXIP1;MAZ;NR3C1;PPP2CB;KMT2C;MAP2K6
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.537459283387622	0.783339345839346	0.965595319568056	NA	44	MOSMO;MT-CYB;RPS6KB1;TRAP1;CDR2;MAP2K2;MAPK3;MAPK1;RPTOR;PRKAG2
