pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.537383177570093	0.867529991684484	0.948573691832194	NA	5	MTHFD2L;AASDHPPT
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.0188273047494039	0.145127140776655	-1.49892237815656	NA	8	FDX2;ISCU;NFS1;GLRX3;NDUFAB1
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.0692913385826772	0.332649799683288	-1.41275890899455	NA	16	KGD4;ADHFE1;DLD;GOT1;IDH2;D2HGDH;DLST
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.0168439407603331	0.135273818819419	1.63338131837875	NA	13	PUM1;CPEB3;KHSRP;ZC3H12C;UPF1;TRIM71;PUM2
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.283422459893048	0.677806252191131	1.1248626268816	NA	15	QKI;METTL16;RBM10;ELAVL1
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.0374556502047279	0.22613084855535	-1.47103262298123	NA	5	FDX2;ISCU;NFS1
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.726635514018692	0.967009879370757	0.781877893615649	NA	5	GTF3C1;GTF3C4
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.926829268292683	1	-0.594722942036109	NA	5	SNRPF;SNRPD2;SNRPD1
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.637630662020906	0.927788435187723	-0.900582374569811	NA	5	RNMT;NCBP1;CMTR1
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.680817610062893	0.948530182927861	-0.85229666850002	NA	17	DLD;PDHA1;MPC2;PDK3;MLYCD;PDHX;PDPR
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.592933947772657	0.904949277979483	-0.91827012506896	NA	25	DLD;PDHA1;MVD;DLST;MPC2;PDK3;MLYCD;PDHX;PDPR
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.459459459459459	0.831687804878049	0.989131937611223	NA	48	SLC7A14;SLC17A6;GRM1;TTYH3;SLC38A2;SLC17A7;APBA1;SNCA;SYT4;GRM7;LRRC8C;P2RX7
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	census_scrna__c2876b1b_pseudobulk	census_scrna__c2876b1b_pseudobulk	0.818428184281843	0.985462109386319	0.750026052340993	NA	13	TRPC4;APBA1;P2RX7;SGK1;CACNB4;GABBR1;SNX10
