pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.905913978494624	1	-0.648454887681898	NA	5	MTHFD1
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.154440154440154	1	-1.373634750049	NA	8	ISCU;FDX2
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.526251526251526	1	-0.970445867032419	NA	16	GOT1;DLD;ADHFE1;KGD4;D2HGDH;DLST
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.438775510204082	1	0.963935046690782	NA	13	CPEB3;PUM1;KHSRP
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.981504315659679	1	-0.45594884524578	NA	15	TENT4A;RBM24;ANGEL2;HNRNPC;MAPK14;LARP4B
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.0967741935483871	0.992099255380135	-1.40926957537892	NA	5	ISCU;FDX2
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.604651162790698	1	0.804698855637836	NA	5	GTF3C1;GTF3C5;GTF3C4;GTF3C2;GTF3C3
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.586021505376344	1	-0.920246156275892	NA	5	SNRPF;SNRPD2
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.741935483870968	1	-0.816108510284857	NA	5	RNMT;NCBP1;CMTR1
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.69770253929867	1	-0.789763529806111	NA	17	DLD;PDK3;PDHA1;MPC2;PDHX;PDPR;PDK2;TPK1;MLYCD;DLAT;ACAT1
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.767139479905437	1	-0.739579392088219	NA	25	DLD;PDK3;MVD;PDHA1;MPC2;DLST;PDHX;PDPR;HMGCR;PDK2;TPK1;MLYCD;DLAT;ACAT1;PGK1;AADAT
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.963470319634703	1	-0.568406098025219	NA	48	LRRC8B;SEPTIN2;SLC12A2;GIPC1;NTRK2;PER2
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.901985111662531	1	-0.578775722331343	NA	13	HRH2;NF1;CCKBR
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.750915750915751	1	-0.747401967309136	NA	16	TBPL1;AGFG1;POC1B;PAFAH1B1;TBC1D20;SLC9A8
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	c5_go_bp	fgsea	census_scrna__c2876b1b_wilcoxon	census_scrna__c2876b1b_wilcoxon	0.187344913151365	1	-1.33027134822799	NA	13	PLCB1;TRIM36;UNC13B
