pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.362756952841596	0.863157969315135	-1.18205336712163	NA	39	NOG
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.582107843137255	0.92562874251497	-0.862589969895163	NA	23	WAPL;GHITM;CCSER2;SF3B4;ZMYND11;TSPAN14
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.111913357400722	0.837751418256833	-1.42527970948734	NA	34	CD82;ITGB2;CD4;HLA-DRA;CD53;REST;ITGB1
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.556511056511056	0.922528195417247	-0.882540250635388	NA	17	RTN4;TRAF5;MAPK8;TRAF1;SPATA13;TRAF2
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.912019826517968	0.972656151483206	-0.624909443876632	NA	7	TUBGCP2;NIPA2;FMR1;TUBGCP4
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.249391727493917	0.863157969315135	-1.37450261557282	NA	27	CCL5;HDAC1;NSMCE1
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.0660847880299252	0.744735842453334	-1.5936534029719	NA	8	CCL5
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.823204419889503	0.952894850321146	0.539343020328647	NA	24	AP3M2;RNMT
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.33578431372549	0.863157969315135	-1.0860959848962	NA	20	LAT;CD82;SH2B1
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.248157248157248	0.863157969315135	-1.23123623917194	NA	56	C16orf54;YPEL3;CDIPT;KIF22;NR3C1;PPP2R1A;CCT5;SPN;EZR;CORO1A;PAGR1;CCT4;MAP2K6;PPP4R2
