pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.518248175182482	0.938682103785922	-0.940675541935699	NA	11	BOLA2;FDX2;FXN;ISCU;LYRM4;GLRX3
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.636363636363636	0.94000460101064	-0.844749078925349	NA	13	GOT2;D2HGDH;KYAT3;DLD;DLST;PHYH;IDH1;KGD4;OGDH;GOT1
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.0119935010898548	0.315983083520414	-1.65579848996155	NA	15	ZFP36L1;ZFP36L2
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.592814371257485	0.939989730284849	0.728159260055365	NA	20	ARID5A;TARDBP;RBM10;METTL16
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.35361216730038	0.89889724808757	-1.09252574050711	NA	5	FDX2;FXN;ISCU;LYRM4
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.884184308841843	0.971111222834384	-0.674104946118272	NA	6	GTF3C5;GTF3C2;GTF3C3;GTF3C1
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.764058679706601	0.94526701606995	-0.754275312255374	NA	9	SNRPF;LSM10;SNRPD2
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.351758793969849	0.89773219499791	1.02723499950056	NA	6	RNMT
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	c5_go_bp	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.958283671036949	0.987714630093901	-0.535158815153442	NA	21	PDK2;TPK1;MPC2;PDP1;PDHB;DIP2A;ACSS1;PDK3;DLD;BCKDK;PDHA1;PDHX
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	c5_go_bp	fgsea	census_scrna__c7775e88_wilcoxon	census_scrna__c7775e88_wilcoxon	0.984393757503001	0.996217292423405	-0.447144431987411	NA	34	PDK2;TPK1;MPC2;PDP1;GCDH;PDHB;HMGCS1;DIP2A;ACSS1;PDK3;DLD;DLST;BCKDK;PMVK;PDHA1;PDHX;NUDT7;ACACB
