pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.9453125	0.990446783819629	0.59590288668028	NA	36	PCNA;SMARCB1;BCL2;SMAD5;MYBBP1A;ARHGAP22;CLOCK;ELOA;WDFY4;DLD;HSF1;DDX21;DEK;SIRT6;SMAD1;EIF4ENIF1;ATF2;ELK1
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.25421822272216	0.812477346864806	1.23602528339289	NA	23	CEBPA;PRXL2A;SF3B4
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.0130927379710579	0.323226968660492	1.417317906428	NA	29	HLA-DRA;TIMP1;CD63;ITGB2;HLA-DMA;HLA-DMB;CD151;LGALS3BP
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.199110122358176	0.791374958727174	1.31547407946369	NA	16	RHOA;SSPN;RTN4R
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.997747747747748	1	0.388715258453232	NA	9	NIPA2
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.43658810325477	0.882890240495175	1.12659997366865	NA	25	APP;CALM1;OCLN;HDAC1;CCL5
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.57757644394111	0.930096719654465	0.913360486823817	NA	8	CCL5;KLF13;SERPINH1;GOLGA8R;FYN
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.00931904651828336	0.272711025823128	1.45640046890826	NA	26	AP3S1;SPCS2;SEC11A;RAMAC;SPCS1;SPCS3
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.308807134894091	0.838717505384172	1.23485998466729	NA	19	PRMT1
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	census_scrna__d9f3a82c_wilcoxon	census_scrna__d9f3a82c_wilcoxon	0.850498338870432	0.989593616986842	0.718456499019192	NA	57	CCT8;CCT3;PCNA;CCT5;PPP4C;CCT6A;TMEM219;HDAC3;TP53;CORO1A;PPP2R1A;HIRIP3;MAP2K3;TCP1;EZR
