pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.973821989528796	1	-0.681461264341884	NA	53	ENSG00000184708;ENSG00000186280;ENSG00000163945;ENSG00000177354;ENSG00000134899;ENSG00000124795;ENSG00000080345;ENSG00000115524;ENSG00000078747
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.608923884514436	0.847386759581881	-0.921363341235117	NA	51	ENSG00000122375;ENSG00000130368;ENSG00000083642;ENSG00000108055;ENSG00000118007
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.340322580645161	0.657404192287913	1.08427727494228	NA	53	ENSG00000102265;ENSG00000177455;ENSG00000156966;ENSG00000182264;ENSG00000156738;ENSG00000121578;ENSG00000138795;ENSG00000108679;ENSG00000175274;ENSG00000113070;ENSG00000143119;ENSG00000165905;ENSG00000085117
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.6125	0.847647951441578	-0.879447508130852	NA	32	ENSG00000198947;ENSG00000101400;ENSG00000169783;ENSG00000151835;ENSG00000108823;ENSG00000170624;ENSG00000105695;ENSG00000173402;ENSG00000172164;ENSG00000050748;ENSG00000067560;ENSG00000134769;ENSG00000136238;ENSG00000107643;ENSG00000124788
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.0784313725490196	0.359444280224653	-1.44544646711713	NA	9	ENSG00000126216;ENSG00000275835;ENSG00000273749
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.226016260162602	0.542439024390244	1.14737858693408	NA	57	ENSG00000143375;ENSG00000154639;ENSG00000104059;ENSG00000152661;ENSG00000187123;ENSG00000149257;ENSG00000101222;ENSG00000271503;ENSG00000249931;ENSG00000116478;ENSG00000183153;ENSG00000105289;ENSG00000166405;ENSG00000083067;ENSG00000106089;ENSG00000179938;ENSG00000136854;ENSG00000261794;ENSG00000261247
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.591452991452991	0.845363469711202	0.911026973854838	NA	18	ENSG00000113262;ENSG00000149257;ENSG00000271503
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.0332189717749324	0.224412609323988	1.46561439398068	NA	41	ENSG00000169594;ENSG00000156218;ENSG00000140600;ENSG00000129128;ENSG00000198900;ENSG00000118363
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.748743718592965	0.914128877318319	0.812023261175035	NA	30	ENSG00000177455;ENSG00000125730;ENSG00000128052
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.215311004784689	0.52773565328438	1.14675315663544	NA	71	ENSG00000092820;ENSG00000174939;ENSG00000149927;ENSG00000163605;ENSG00000174938;ENSG00000113575;ENSG00000103485;ENSG00000185905;ENSG00000166226;ENSG00000103502;ENSG00000163468;ENSG00000162924;ENSG00000100084;ENSG00000034152;ENSG00000171862;ENSG00000115484;ENSG00000150753;ENSG00000109320;ENSG00000104695;ENSG00000146731;ENSG00000135624
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.726790450928382	0.902903383575652	-0.853270862430921	NA	50	ENSG00000131791;ENSG00000132356;ENSG00000103319;ENSG00000111725;ENSG00000162409;ENSG00000106617
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.514851485148515	0.785191562634524	-0.943980250202763	NA	28	ENSG00000166783;ENSG00000118495;ENSG00000133392;ENSG00000007168;ENSG00000156968;ENSG00000166780;ENSG00000198920;ENSG00000204843
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.953287197231834	0.999625820643362	0.619859406446136	NA	20	ENSG00000113575;ENSG00000132437;ENSG00000108953
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.0298811292635192	0.208027403727707	1.4127132488804	NA	78	ENSG00000172156;ENSG00000141738;ENSG00000275302;ENSG00000276070;ENSG00000108691;ENSG00000161405;ENSG00000277632;ENSG00000276085;ENSG00000271503;ENSG00000172716;ENSG00000108700;ENSG00000275385
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.0732436472346786	0.352857107483672	1.28679627039001	NA	98	ENSG00000124171;ENSG00000109072;ENSG00000187634;ENSG00000184163;ENSG00000067606;ENSG00000189409;ENSG00000109971;ENSG00000228594;ENSG00000066044;ENSG00000149527;ENSG00000197921;ENSG00000215915;ENSG00000186827;ENSG00000156873;ENSG00000112715;ENSG00000197530;ENSG00000160075;ENSG00000030304;ENSG00000064102;ENSG00000164418;ENSG00000242485;ENSG00000175756;ENSG00000160072;ENSG00000160087
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.449877750611247	0.75843585882057	-0.991246870293644	NA	25	ENSG00000131791;ENSG00000268043;ENSG00000132356;ENSG00000111725;ENSG00000162409;ENSG00000106617;ENSG00000131781
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.577039274924471	0.835333045604949	-0.946315573396433	NA	114	ENSG00000135903;ENSG00000066468;ENSG00000185345;ENSG00000234409;ENSG00000171720;ENSG00000054598;ENSG00000164690;ENSG00000100150;ENSG00000099957;ENSG00000099917;ENSG00000070413;ENSG00000070371;ENSG00000146648;ENSG00000099889;ENSG00000100056;ENSG00000185245;ENSG00000149929;ENSG00000148672;ENSG00000107796;ENSG00000132155;ENSG00000242259;ENSG00000183597;ENSG00000149295;ENSG00000184113;ENSG00000099910
WP_22Q112_DISTAL_CNV	WP_22Q112_DISTAL_CNV	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.241935483870968	0.560145961666998	1.11527090458439	NA	129	ENSG00000157782;ENSG00000137168;ENSG00000185615;ENSG00000100219;ENSG00000100228;ENSG00000166598;ENSG00000044574;ENSG00000179218;ENSG00000134072;ENSG00000149428;ENSG00000152495;ENSG00000167088;ENSG00000155660;ENSG00000154582;ENSG00000090520;ENSG00000143977;ENSG00000149273;ENSG00000233927;ENSG00000166794;ENSG00000168028;ENSG00000130363;ENSG00000139343;ENSG00000125870;ENSG00000105372;ENSG00000100410;ENSG00000138326;ENSG00000127022;ENSG00000128228;ENSG00000007312;ENSG00000161180;ENSG00000185686;ENSG00000124614;ENSG00000089248;ENSG00000150316;ENSG00000105193;ENSG00000172426;ENSG00000171863;ENSG00000197728;ENSG00000112306;ENSG00000116514;ENSG00000119383;ENSG00000106245;ENSG00000134419;ENSG00000105369;ENSG00000115268;ENSG00000100028;ENSG00000137154;ENSG00000143947;ENSG00000142937;ENSG00000125743;ENSG00000185651
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	gtex_tissue_pair__GTEx_adipose_subcutaneous_vs_adipose_visceral_omentum_edgeR	0.898671096345515	0.98508177868643	0.703744737060975	NA	31	ENSG00000136244;ENSG00000158050;ENSG00000188886;ENSG00000168758;ENSG00000166595;ENSG00000198885
