pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.686486486486486	0.799682833355359	-0.857999968709123	NA	42	ENSG00000172350;ENSG00000143921;ENSG00000150967;ENSG00000167972;ENSG00000107331;ENSG00000118777;ENSG00000173208;ENSG00000085563;ENSG00000121270;ENSG00000006071;ENSG00000198691
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.00270793220608758	0.015739855947884	1.67541860117584	NA	57	ENSG00000078061;ENSG00000132155;ENSG00000173801;ENSG00000105221;ENSG00000173757;ENSG00000109320;ENSG00000108443;ENSG00000109906;ENSG00000187840;ENSG00000100485;ENSG00000126561;ENSG00000104365;ENSG00000175634;ENSG00000152284;ENSG00000213341;ENSG00000121879;ENSG00000168610;ENSG00000136997;ENSG00000173039;ENSG00000115904;ENSG00000126934;ENSG00000159216;ENSG00000131759
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.552036199095023	0.700556975894814	0.959185766679651	NA	73	ENSG00000077522;ENSG00000101266;ENSG00000141646;ENSG00000173482;ENSG00000248746;ENSG00000035403;ENSG00000171105;ENSG00000136153;ENSG00000148498;ENSG00000106799;ENSG00000204435;ENSG00000070770;ENSG00000152284;ENSG00000166949;ENSG00000163513;ENSG00000095637;ENSG00000067560;ENSG00000100393;ENSG00000005339;ENSG00000135341;ENSG00000140575;ENSG00000175387;ENSG00000019549
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.00123784439459512	0.00822282347838187	1.69223664914023	NA	64	ENSG00000115592;ENSG00000135218;ENSG00000131791;ENSG00000181856;ENSG00000162409;ENSG00000205560;ENSG00000181929;ENSG00000105221;ENSG00000109320;ENSG00000065675;ENSG00000151726;ENSG00000186350;ENSG00000159346;ENSG00000118046;ENSG00000132356;ENSG00000104365;ENSG00000186951;ENSG00000076555;ENSG00000109819;ENSG00000213341;ENSG00000168610;ENSG00000173039;ENSG00000169047;ENSG00000067182;ENSG00000096968;ENSG00000181092;ENSG00000198793;ENSG00000143171;ENSG00000174697;ENSG00000100906
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.461647727272727	0.645612611073137	-1.01065908380273	NA	30	ENSG00000136750;ENSG00000135423;ENSG00000183044;ENSG00000128683;ENSG00000148672;ENSG00000132744;ENSG00000115419
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.0614754098360656	0.14473957252542	-1.37332545578274	NA	39	ENSG00000126583;ENSG00000166501;ENSG00000105409;ENSG00000129244;ENSG00000102882;ENSG00000133124;ENSG00000171608;ENSG00000154229;ENSG00000105647
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.107744107744108	0.22022422022422	1.35332521584003	NA	26	ENSG00000101017;ENSG00000178562;ENSG00000234745;ENSG00000196126;ENSG00000206503;ENSG00000198502;ENSG00000204525;ENSG00000196735;ENSG00000204287;ENSG00000204632;ENSG00000204257;ENSG00000179344;ENSG00000231389;ENSG00000204642;ENSG00000237541;ENSG00000180644;ENSG00000204592;ENSG00000223865
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.612055641421947	0.758948995363215	-0.896169101444203	NA	13	ENSG00000187980;ENSG00000134824;ENSG00000127472;ENSG00000243708;ENSG00000184381;ENSG00000100078;ENSG00000116711
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	4.16125379115425e-09	8.59992450171877e-08	2.0312716638002	NA	158	ENSG00000156885;ENSG00000081248;ENSG00000196549;ENSG00000120910;ENSG00000119912;ENSG00000196296;ENSG00000160194;ENSG00000161281;ENSG00000178127;ENSG00000135390;ENSG00000178741;ENSG00000204370;ENSG00000174437;ENSG00000140990;ENSG00000267855;ENSG00000147684;ENSG00000065518;ENSG00000010256;ENSG00000117118;ENSG00000169021;ENSG00000111640;ENSG00000179091;ENSG00000140740;ENSG00000184983;ENSG00000145494;ENSG00000158864;ENSG00000073578;ENSG00000167863;ENSG00000165629;ENSG00000023228;ENSG00000131174;ENSG00000178607;ENSG00000099624;ENSG00000164258;ENSG00000127540;ENSG00000164405;ENSG00000110955;ENSG00000156467;ENSG00000116459;ENSG00000127184;ENSG00000139180;ENSG00000143252;ENSG00000154723;ENSG00000131495;ENSG00000115286;ENSG00000125356;ENSG00000152234;ENSG00000119013;ENSG00000004779;ENSG00000241837;ENSG00000072506;ENSG00000135940;ENSG00000175445;ENSG00000176340;ENSG00000110717;ENSG00000099795;ENSG00000126267;ENSG00000167792;ENSG00000183648;ENSG00000089250;ENSG00000159199;ENSG00000124172;ENSG00000184076;ENSG00000213619;ENSG00000162736;ENSG00000109390;ENSG00000168653;ENSG00000107758;ENSG00000090266;ENSG00000154518;ENSG00000172115;ENSG00000169885;ENSG00000143801;ENSG00000187446;ENSG00000165264;ENSG00000170906;ENSG00000164919;ENSG00000118217;ENSG00000067182;ENSG00000131055;ENSG00000128609;ENSG00000233954;ENSG00000151366
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	1.40526855587708e-06	2.37618137630124e-05	2.28278409360929	NA	41	ENSG00000065427;ENSG00000172053;ENSG00000137513;ENSG00000136628;ENSG00000146282;ENSG00000067704;ENSG00000133706;ENSG00000185418;ENSG00000115866;ENSG00000134905;ENSG00000204394;ENSG00000116874;ENSG00000103707;ENSG00000196305;ENSG00000145982;ENSG00000112855;ENSG00000113643;ENSG00000134440;ENSG00000247626;ENSG00000109618;ENSG00000117593;ENSG00000113407
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.674329501915709	0.799682833355359	0.881904440237639	NA	43	ENSG00000079739;ENSG00000159348;ENSG00000169764;ENSG00000159399;ENSG00000198380;ENSG00000117143;ENSG00000049860;ENSG00000156958;ENSG00000100522;ENSG00000140650;ENSG00000170191
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.0432432432432432	0.111711711711712	-1.4086233220069	NA	51	ENSG00000273079;ENSG00000176884;ENSG00000277586;ENSG00000120251;ENSG00000110436;ENSG00000100285;ENSG00000155511;ENSG00000185386;ENSG00000105464;ENSG00000161509;ENSG00000104722;ENSG00000183454
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.666666666666667	0.799682833355359	0.923672210146768	NA	60	ENSG00000066136;ENSG00000092010;ENSG00000096384;ENSG00000100600;ENSG00000170606;ENSG00000166710;ENSG00000135047;ENSG00000131467;ENSG00000234745;ENSG00000109971;ENSG00000196126;ENSG00000064490;ENSG00000120837;ENSG00000206503;ENSG00000126803;ENSG00000198502;ENSG00000204525;ENSG00000196735;ENSG00000204287;ENSG00000179583;ENSG00000019582;ENSG00000204632;ENSG00000204257;ENSG00000179344;ENSG00000231389;ENSG00000204642;ENSG00000237541;ENSG00000204592;ENSG00000100911;ENSG00000044574;ENSG00000168394;ENSG00000223865
KEGG_APOPTOSIS	KEGG_APOPTOSIS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.0257379228096944	0.0772137684290832	1.37012754427736	NA	83	ENSG00000114302;ENSG00000120910;ENSG00000156709;ENSG00000072062;ENSG00000105221;ENSG00000109320;ENSG00000003402;ENSG00000104365;ENSG00000110330;ENSG00000167136;ENSG00000006062;ENSG00000213341;ENSG00000121879;ENSG00000101966;ENSG00000173039;ENSG00000107758;ENSG00000172115;ENSG00000134070;ENSG00000187446;ENSG00000067182;ENSG00000108946;ENSG00000162909;ENSG00000023445;ENSG00000121858;ENSG00000100906;ENSG00000184216;ENSG00000165806;ENSG00000115594;ENSG00000120889;ENSG00000164305;ENSG00000185291;ENSG00000141510;ENSG00000137275;ENSG00000171791;ENSG00000014216;ENSG00000198400;ENSG00000149218;ENSG00000104689;ENSG00000168040
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.647849462365591	0.792763157894737	-0.889655009726192	NA	41	ENSG00000187980;ENSG00000179477;ENSG00000127472;ENSG00000107317;ENSG00000130649;ENSG00000159228;ENSG00000243708;ENSG00000138115;ENSG00000159231;ENSG00000184381;ENSG00000186529;ENSG00000100078;ENSG00000116711;ENSG00000100031;ENSG00000148344;ENSG00000161905;ENSG00000155016
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.690540540540541	0.799682833355359	-0.867401405392301	NA	51	ENSG00000223572;ENSG00000237289;ENSG00000135423;ENSG00000148672;ENSG00000142920;ENSG00000115419;ENSG00000164904;ENSG00000059573;ENSG00000104524;ENSG00000166165;ENSG00000007171;ENSG00000182890
