pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.200956937799043	0.347500315705286	1.2602595313456	NA	7	ENSG00000196419;ENSG00000175334;ENSG00000079246
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.765743073047859	0.881900713685978	0.787682834257834	NA	8	ENSG00000146477;ENSG00000168803;ENSG00000175003;ENSG00000076685
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.609625668449198	0.769025861575452	-0.911312772330784	NA	5	ENSG00000118777;ENSG00000085563
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	1.17658219570775e-09	1.32571586255223e-08	2.37231123691993	NA	89	ENSG00000008018;ENSG00000165280;ENSG00000131269;ENSG00000101182;ENSG00000161057;ENSG00000100567;ENSG00000187486;ENSG00000204574;ENSG00000106588;ENSG00000136986;ENSG00000127922;ENSG00000221983;ENSG00000069431;ENSG00000100902;ENSG00000154262;ENSG00000142507;ENSG00000103035;ENSG00000100764;ENSG00000100519;ENSG00000130706;ENSG00000101986;ENSG00000154265;ENSG00000185627;ENSG00000103222;ENSG00000163636;ENSG00000125977;ENSG00000100804;ENSG00000108671;ENSG00000041357;ENSG00000175166;ENSG00000129084;ENSG00000108344;ENSG00000135776;ENSG00000173692;ENSG00000154263;ENSG00000165916;ENSG00000134001;ENSG00000197170;ENSG00000277791;ENSG00000130741;ENSG00000099341;ENSG00000143106;ENSG00000126067;ENSG00000013275;ENSG00000154258;ENSG00000115233;ENSG00000114770;ENSG00000005471;ENSG00000136930;ENSG00000150991;ENSG00000071537;ENSG00000143947;ENSG00000023839;ENSG00000159377
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.418096723868955	0.591879892761394	-1.03759086217854	NA	17	ENSG00000172350;ENSG00000143921;ENSG00000167972;ENSG00000107331;ENSG00000173208
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	7.03376942050405e-12	1.10112726591785e-10	2.67705194884893	NA	64	ENSG00000008018;ENSG00000165280;ENSG00000101182;ENSG00000161057;ENSG00000100567;ENSG00000187486;ENSG00000106588;ENSG00000136986;ENSG00000127922;ENSG00000221983;ENSG00000069431;ENSG00000100902;ENSG00000142507;ENSG00000103035;ENSG00000100764;ENSG00000100519;ENSG00000130706;ENSG00000101986;ENSG00000185627;ENSG00000163636;ENSG00000100804;ENSG00000108671;ENSG00000041357;ENSG00000175166;ENSG00000129084;ENSG00000108344;ENSG00000173692;ENSG00000165916;ENSG00000197170;ENSG00000277791;ENSG00000099341;ENSG00000143106;ENSG00000126067;ENSG00000013275;ENSG00000115233;ENSG00000005471;ENSG00000136930;ENSG00000150991;ENSG00000071537;ENSG00000143947;ENSG00000023839;ENSG00000165029;ENSG00000159377
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.00649827673750305	0.0223646917288772	1.79127606235609	NA	20	ENSG00000166295;ENSG00000072401;ENSG00000139687;ENSG00000004897;ENSG00000141552;ENSG00000176386;ENSG00000170142;ENSG00000164162;ENSG00000089053;ENSG00000153107
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.987460815047022	1	-0.498772394689361	NA	16	ENSG00000118971;ENSG00000112576;ENSG00000101412
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.0115858657484459	0.0357685802949403	1.6238867838662	NA	22	ENSG00000005075;ENSG00000047315;ENSG00000144231;ENSG00000177700;ENSG00000102978;ENSG00000188342
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.214170692431562	0.363248278917961	-1.23392379444684	NA	13	ENSG00000101204;ENSG00000160716;ENSG00000120903
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	4.80155041528347e-05	0.000302275540378522	-1.96569522283925	NA	14	ENSG00000067715;ENSG00000177380;ENSG00000136854;ENSG00000132639;ENSG00000106089;ENSG00000139220;ENSG00000079841;ENSG00000168993;ENSG00000220205;ENSG00000005379;ENSG00000105649
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.0173370317072294	0.0498686326668111	-1.61439591365524	NA	10	ENSG00000133019;ENSG00000156052;ENSG00000277443;ENSG00000154229;ENSG00000060558;ENSG00000156049
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.546528803545052	0.715625058083787	-0.951273757960693	NA	31	ENSG00000135144;ENSG00000018236;ENSG00000141480;ENSG00000187957;ENSG00000137486;ENSG00000110042
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.00593470071383488	0.020871740681459	-1.65178511118747	NA	6	ENSG00000156299;ENSG00000148053;ENSG00000164885;ENSG00000176749
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.746666666666667	0.866701662292214	0.79713822088616	NA	11	ENSG00000225950
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_edgeR	0.0147302730265137	0.0438684393668395	-1.59298907323325	NA	7	ENSG00000273079;ENSG00000010810;ENSG00000148053;ENSG00000088538;ENSG00000197122
