pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.209844559585492	0.353875143857708	1.26009443477302	NA	7	ENSG00000196419;ENSG00000175334;ENSG00000079246
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.82051282051282	0.918081707455521	-0.731464366523856	NA	8	ENSG00000085563;ENSG00000118777
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.625838926174497	0.77204258047607	-0.889005869177725	NA	5	ENSG00000085563;ENSG00000118777
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	7.28107579832114e-12	9.68437826107526e-11	2.50537857376509	NA	89	ENSG00000165280;ENSG00000008018;ENSG00000101182;ENSG00000131269;ENSG00000069431;ENSG00000187486;ENSG00000100567;ENSG00000161057;ENSG00000204574;ENSG00000106588;ENSG00000221983;ENSG00000136986;ENSG00000127922;ENSG00000100902;ENSG00000142507;ENSG00000100519;ENSG00000130706;ENSG00000103035;ENSG00000100764;ENSG00000154265;ENSG00000185627;ENSG00000154262;ENSG00000101986;ENSG00000163636;ENSG00000103222;ENSG00000125977;ENSG00000108671;ENSG00000100804;ENSG00000041357;ENSG00000175166;ENSG00000129084;ENSG00000108344;ENSG00000173692;ENSG00000135776;ENSG00000165916;ENSG00000134001;ENSG00000277791;ENSG00000197170;ENSG00000130741;ENSG00000099341;ENSG00000154263;ENSG00000143106;ENSG00000013275;ENSG00000126067;ENSG00000136930;ENSG00000115233;ENSG00000143947;ENSG00000154258;ENSG00000114770;ENSG00000150991;ENSG00000071537;ENSG00000023839;ENSG00000159377
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.463636363636364	0.636753464808633	-0.987152313842459	NA	17	ENSG00000167972;ENSG00000172350;ENSG00000107331;ENSG00000143921;ENSG00000173208
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	3.3412141012323e-13	6.03123239293872e-12	2.71371576521591	NA	64	ENSG00000165280;ENSG00000008018;ENSG00000101182;ENSG00000069431;ENSG00000187486;ENSG00000100567;ENSG00000161057;ENSG00000106588;ENSG00000221983;ENSG00000136986;ENSG00000127922;ENSG00000100902;ENSG00000142507;ENSG00000100519;ENSG00000130706;ENSG00000103035;ENSG00000100764;ENSG00000185627;ENSG00000101986;ENSG00000163636;ENSG00000108671;ENSG00000100804;ENSG00000041357;ENSG00000175166;ENSG00000129084;ENSG00000108344;ENSG00000173692;ENSG00000165916;ENSG00000277791;ENSG00000197170;ENSG00000099341;ENSG00000143106;ENSG00000013275;ENSG00000126067;ENSG00000136930;ENSG00000115233;ENSG00000143947;ENSG00000150991;ENSG00000071537;ENSG00000165029;ENSG00000023839;ENSG00000159377
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.00377911676633225	0.0143768979777242	1.77085159852728	NA	20	ENSG00000166295;ENSG00000072401;ENSG00000139687;ENSG00000004897;ENSG00000141552;ENSG00000170142;ENSG00000164162;ENSG00000176386;ENSG00000089053;ENSG00000153107
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.99236641221374	0.998008063221209	-0.525268702838023	NA	16	ENSG00000118971;ENSG00000112576;ENSG00000101412
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.0176296221993494	0.0507928365971484	1.63553715645114	NA	22	ENSG00000005075;ENSG00000047315;ENSG00000144231;ENSG00000177700;ENSG00000102978;ENSG00000188342
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.586854460093897	0.739419900218022	-0.903198748196117	NA	13	ENSG00000101204;ENSG00000160716;ENSG00000120903;ENSG00000147432
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	7.67056875024129e-07	6.13992584578138e-06	-2.18213636222428	NA	14	ENSG00000177380;ENSG00000132639;ENSG00000136854;ENSG00000168993;ENSG00000067715;ENSG00000106089;ENSG00000079841;ENSG00000139220;ENSG00000005379;ENSG00000220205;ENSG00000105649
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.0136965321556709	0.0411361042162681	-1.63265111249574	NA	10	ENSG00000133019;ENSG00000156052;ENSG00000277443;ENSG00000154229;ENSG00000156049;ENSG00000060558;ENSG00000137841;ENSG00000182621
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.131884057971014	0.251946974676808	-1.24558392701065	NA	31	ENSG00000135144;ENSG00000018236;ENSG00000187957;ENSG00000141480;ENSG00000137486;ENSG00000110042
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.00794892000066716	0.0258962053060409	-1.64409426506592	NA	6	ENSG00000148053;ENSG00000156299;ENSG00000176749;ENSG00000164885
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.724137931034483	0.848344370860927	-0.808109747134243	NA	11	ENSG00000148053;ENSG00000137218
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.0214938985664476	0.0595967187524228	-1.57429088023277	NA	7	ENSG00000010810;ENSG00000148053;ENSG00000273079;ENSG00000197122;ENSG00000088538
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.797077922077922	0.898108817933659	-0.761441058749219	NA	7	ENSG00000148053
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.823529411764706	0.918552036199095	-0.733418684250655	NA	9	ENSG00000148053
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.597682119205298	0.749326483964686	-0.926116771232881	NA	6	ENSG00000140538;ENSG00000197122
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	gtex_tissue_pair__GTEx_brain_cortex_vs_muscle_skeletal_limma	0.881410256410256	0.954765273011649	-0.673009519616848	NA	8	ENSG00000140538
