pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.865853658536585	0.936330119115145	0.806477410271506	NA	40	ENSG00000167972;ENSG00000101986;ENSG00000069431;ENSG00000173208;ENSG00000154258;ENSG00000141338;ENSG00000107331
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.57625	0.788106617647059	-0.943295148457876	NA	57	ENSG00000173801;ENSG00000245848;ENSG00000138795;ENSG00000213281;ENSG00000175634;ENSG00000105647;ENSG00000174775;ENSG00000187840;ENSG00000102882;ENSG00000112033;ENSG00000110092;ENSG00000169032;ENSG00000137193
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.514669926650367	0.74270421817255	-0.974824461065257	NA	73	ENSG00000110400;ENSG00000198561;ENSG00000141736;ENSG00000039068;ENSG00000138795;ENSG00000136153;ENSG00000175866;ENSG00000143217;ENSG00000142949;ENSG00000136238;ENSG00000184009;ENSG00000169750;ENSG00000130396;ENSG00000111679;ENSG00000101266;ENSG00000102882;ENSG00000166949;ENSG00000070831;ENSG00000104067
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.0129032568893625	0.0709725459646244	1.4522480894147	NA	64	ENSG00000181856;ENSG00000122585;ENSG00000109819;ENSG00000076555;ENSG00000117020;ENSG00000065675;ENSG00000131791;ENSG00000135218;ENSG00000106617;ENSG00000162409;ENSG00000143171;ENSG00000185950;ENSG00000050748;ENSG00000142208
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.109874826147427	0.30053996563855	-1.31005581908383	NA	30	ENSG00000166123;ENSG00000159423;ENSG00000135423;ENSG00000126522;ENSG00000132744;ENSG00000128683;ENSG00000021826;ENSG00000128059;ENSG00000167701;ENSG00000112294;ENSG00000120053;ENSG00000198380
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.431057563587684	0.665377369834462	-1.03612683097031	NA	38	ENSG00000168447;ENSG00000111319;ENSG00000166828;ENSG00000175793;ENSG00000105647;ENSG00000118515;ENSG00000176387;ENSG00000069849;ENSG00000143153;ENSG00000102882
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.447844228094576	0.677227857118627	-1.01775216417408	NA	30	ENSG00000168811;ENSG00000102245;ENSG00000241106;ENSG00000117560;ENSG00000100453;ENSG00000232810;ENSG00000121594;ENSG00000178562;ENSG00000204592;ENSG00000196735;ENSG00000206503;ENSG00000179344;ENSG00000234745;ENSG00000180644;ENSG00000026103;ENSG00000204632
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.100763358778626	0.283969465648855	-1.33873539900872	NA	13	ENSG00000100078;ENSG00000188089;ENSG00000243708;ENSG00000087008;ENSG00000161533;ENSG00000116711
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.949298813376483	0.988889119644452	-0.755124440657035	NA	160	ENSG00000176749;ENSG00000014216;ENSG00000117362;ENSG00000149782;ENSG00000164305;ENSG00000178372;ENSG00000160471;ENSG00000178363;ENSG00000187446;ENSG00000064012;ENSG00000178607;ENSG00000185633;ENSG00000221823;ENSG00000102882;ENSG00000137845;ENSG00000125538;ENSG00000205155;ENSG00000082701;ENSG00000178741;ENSG00000151694;ENSG00000143252;ENSG00000116459;ENSG00000164885;ENSG00000119013;ENSG00000111775;ENSG00000172071;ENSG00000154518;ENSG00000176340;ENSG00000164405;ENSG00000080815;ENSG00000130203;ENSG00000123104;ENSG00000169885;ENSG00000072506;ENSG00000162736;ENSG00000173660
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.242744063324538	0.473770997278565	-1.16324735276376	NA	41	ENSG00000172053;ENSG00000104835;ENSG00000143374;ENSG00000124608;ENSG00000139131;ENSG00000247626;ENSG00000137411;ENSG00000113643;ENSG00000117593;ENSG00000179115;ENSG00000116874;ENSG00000116120;ENSG00000106105;ENSG00000204394;ENSG00000137513;ENSG00000067704;ENSG00000011376;ENSG00000103356;ENSG00000179988;ENSG00000136628;ENSG00000134684;ENSG00000113407
