pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	1	1	0.396989321205572	NA	6	ENSG00000136010;ENSG00000144908;ENSG00000163738;ENSG00000120254;ENSG00000100714;ENSG00000149313
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.478696741854637	0.77796092895729	1.01700152081729	NA	9	ENSG00000136003
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.84304932735426	0.933251370674965	-0.742792021585548	NA	18	ENSG00000166123;ENSG00000138413;ENSG00000087299;ENSG00000180902
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.551083591331269	0.814311967797681	0.921851430708469	NA	21	ENSG00000102053;ENSG00000112183;ENSG00000149289
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.728323699421965	0.893151018305712	-0.84124691488131	NA	24	ENSG00000163694;ENSG00000172936;ENSG00000107929
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.147465437788018	0.500443212307619	1.33099510354114	NA	5	ENSG00000136003
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.184859154929577	0.544841055640687	-1.27423351148493	NA	6	ENSG00000077235;ENSG00000115207;ENSG00000148308
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.824427480916031	0.927348626640144	0.719484611630411	NA	10	ENSG00000155858;ENSG00000181817
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.682967959527825	0.873817723861417	-0.858845386179707	NA	8	ENSG00000180917;ENSG00000169612;ENSG00000074356;ENSG00000111880;ENSG00000136937
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_DESeq2	0.657701711491443	0.862061897929904	0.838631609349644	NA	8	ENSG00000075073;ENSG00000187714;ENSG00000080644;ENSG00000128271
