pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	0.441821247892074	0.655736368746487	-1.05479052143016	NA	7	ENSG00000137309
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	0.994818652849741	0.998909367187883	-0.485131207009768	NA	9	ENSG00000076685;ENSG00000118777;ENSG00000175003;ENSG00000124253;ENSG00000146477;ENSG00000085563;ENSG00000168803;ENSG00000187758;ENSG00000112499
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	0.965675057208238	0.988997859049955	0.52113982017039	NA	5	ENSG00000112499;ENSG00000085563;ENSG00000146477;ENSG00000175003;ENSG00000118777
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	0.765384615384615	0.876060411311054	-0.855335233678939	NA	87	ENSG00000144452;ENSG00000107566;ENSG00000108846;ENSG00000001626;ENSG00000064687;ENSG00000114770;ENSG00000072849;ENSG00000099958;ENSG00000154265;ENSG00000100519;ENSG00000115233;ENSG00000108671;ENSG00000127922;ENSG00000117528;ENSG00000136930;ENSG00000165280;ENSG00000197150;ENSG00000034693;ENSG00000143106;ENSG00000124574;ENSG00000041357;ENSG00000197170;ENSG00000147475;ENSG00000143947;ENSG00000221983;ENSG00000135506;ENSG00000108344;ENSG00000125977;ENSG00000115657;ENSG00000099341;ENSG00000163636;ENSG00000100902;ENSG00000130741;ENSG00000126067;ENSG00000100804
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	0.55	0.739740958207466	0.921509656907768	NA	16	ENSG00000167972;ENSG00000101986;ENSG00000173208;ENSG00000154258;ENSG00000107331
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	0.675461741424802	0.830225922344771	-0.88287242574418	NA	63	ENSG00000144452;ENSG00000107566;ENSG00000001626;ENSG00000072849;ENSG00000099958;ENSG00000100519;ENSG00000115233;ENSG00000073734;ENSG00000108671;ENSG00000127922;ENSG00000136930;ENSG00000165280;ENSG00000143106;ENSG00000041357;ENSG00000197170;ENSG00000147475;ENSG00000143947;ENSG00000221983;ENSG00000135506;ENSG00000108344;ENSG00000115657;ENSG00000099341;ENSG00000163636;ENSG00000100902;ENSG00000126067;ENSG00000100804;ENSG00000106588;ENSG00000173692;ENSG00000100567;ENSG00000142507;ENSG00000130706;ENSG00000013275;ENSG00000150991;ENSG00000175166;ENSG00000185627;ENSG00000136986;ENSG00000129084
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	0.0405616224648986	0.157386164727635	-1.45876611107145	NA	20	ENSG00000175063;ENSG00000196510;ENSG00000139687;ENSG00000145604;ENSG00000108106;ENSG00000105325
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	0.157232704402516	0.363205507835124	-1.2716872355051	NA	17	ENSG00000007968;ENSG00000198176;ENSG00000139687;ENSG00000175305;ENSG00000110092;ENSG00000101412;ENSG00000105173
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	0.1078125	0.289504464869411	-1.30008652057795	NA	22	ENSG00000181222;ENSG00000185049;ENSG00000188342;ENSG00000136937;ENSG00000125651;ENSG00000163882;ENSG00000188986;ENSG00000168002;ENSG00000177700
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_edgeR	0.780141843971631	0.883301096067054	0.750817116853773	NA	9	ENSG00000080644;ENSG00000138435;ENSG00000135902;ENSG00000101204;ENSG00000175344
