pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	0.330841121495327	0.526352561439827	-1.1173308404658	NA	7	ENSG00000137309
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	0.964044943820225	0.983370014286266	0.535066012698519	NA	9	ENSG00000168803;ENSG00000112499;ENSG00000187758;ENSG00000085563;ENSG00000146477;ENSG00000124253;ENSG00000175003;ENSG00000118777;ENSG00000076685
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	0.97244094488189	0.986187038770928	-0.522573322004426	NA	5	ENSG00000118777;ENSG00000175003
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	0.804913294797688	0.882728188445001	-0.839044644449037	NA	87	ENSG00000107566;ENSG00000108846;ENSG00000144452;ENSG00000064687;ENSG00000114770;ENSG00000072849;ENSG00000001626;ENSG00000154265;ENSG00000100519;ENSG00000108671;ENSG00000115233;ENSG00000127922;ENSG00000197150;ENSG00000136930;ENSG00000165280;ENSG00000117528;ENSG00000099958;ENSG00000143106;ENSG00000124574;ENSG00000034693;ENSG00000041357;ENSG00000147475;ENSG00000143947;ENSG00000197170;ENSG00000221983;ENSG00000135506;ENSG00000108344;ENSG00000125977;ENSG00000099341;ENSG00000163636;ENSG00000130741;ENSG00000100902;ENSG00000115657;ENSG00000100804
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	0.295	0.491482694106642	1.11949849527043	NA	16	ENSG00000167972;ENSG00000101986;ENSG00000154258;ENSG00000173208;ENSG00000107331;ENSG00000154262;ENSG00000160179
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	0.829850746268657	0.900071377587437	-0.809435699787336	NA	63	ENSG00000107566;ENSG00000144452;ENSG00000072849;ENSG00000001626;ENSG00000100519;ENSG00000108671;ENSG00000115233;ENSG00000127922;ENSG00000073734;ENSG00000136930;ENSG00000165280;ENSG00000099958;ENSG00000143106;ENSG00000041357;ENSG00000147475;ENSG00000143947;ENSG00000197170;ENSG00000221983;ENSG00000135506;ENSG00000108344;ENSG00000099341;ENSG00000163636;ENSG00000100902;ENSG00000115657;ENSG00000100804;ENSG00000126067;ENSG00000106588;ENSG00000130706;ENSG00000173692;ENSG00000013275;ENSG00000142507;ENSG00000136986;ENSG00000100567
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	0.026243350503669	0.119844633966755	-1.56569366306061	NA	20	ENSG00000175063;ENSG00000196510;ENSG00000139687;ENSG00000145604;ENSG00000105325;ENSG00000108106
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	0.112745098039216	0.277168896231946	-1.32956019506409	NA	17	ENSG00000007968;ENSG00000198176;ENSG00000139687;ENSG00000175305;ENSG00000110092;ENSG00000101412;ENSG00000105173;ENSG00000112242
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	0.0668789808917197	0.203609341825902	-1.40031398898311	NA	22	ENSG00000181222;ENSG00000185049;ENSG00000188342;ENSG00000136937;ENSG00000125651;ENSG00000163882;ENSG00000188986;ENSG00000168002;ENSG00000177700
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	gtex_tissue_pair__GTEx_esophagus_mucosa_vs_esophagus_muscularis_limma	0.984269662921348	0.993755254910953	0.462887314175023	NA	9	ENSG00000080644;ENSG00000175344;ENSG00000101204;ENSG00000138435;ENSG00000108556;ENSG00000135902;ENSG00000160716;ENSG00000169684;ENSG00000117971
