pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	0.753715498938429	0.887130029930163	0.838632945088314	NA	55	ENSG00000039068;ENSG00000128815;ENSG00000162711;ENSG00000125965;ENSG00000067141;ENSG00000165383;ENSG00000163945;ENSG00000170324;ENSG00000183691;ENSG00000134899;ENSG00000125845;ENSG00000080345;ENSG00000133895
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	0.870212765957447	0.95188267934998	0.784286862103311	NA	53	ENSG00000099994;ENSG00000160188;ENSG00000140600;ENSG00000145491;ENSG00000187726;ENSG00000245848;ENSG00000133665;ENSG00000083642;ENSG00000178217;ENSG00000154165;ENSG00000185737;ENSG00000111834;ENSG00000100218;ENSG00000164675;ENSG00000109320;ENSG00000172426;ENSG00000121892;ENSG00000125845;ENSG00000151224
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	0.00129994781618065	0.0162404439500924	1.63131919342741	NA	54	ENSG00000143119;ENSG00000010610;ENSG00000115232;ENSG00000160255;ENSG00000164690;ENSG00000204287;ENSG00000005884;ENSG00000242574;ENSG00000138795;ENSG00000085117;ENSG00000204257;ENSG00000156738;ENSG00000165905
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	0.00371061808198656	0.0321498714686778	-1.67929589319431	NA	32	ENSG00000101400;ENSG00000128591;ENSG00000102683;ENSG00000198947;ENSG00000108823;ENSG00000134769;ENSG00000240654;ENSG00000163069;ENSG00000173402;ENSG00000170624;ENSG00000027001;ENSG00000181092;ENSG00000169783;ENSG00000050748;ENSG00000123096
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	0.465020576131687	0.681830812591799	1.02356939706432	NA	9	ENSG00000273749;ENSG00000128159;ENSG00000102081
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	0.0976645435244161	0.276615104640582	1.29047807045446	NA	55	ENSG00000143375;ENSG00000105289;ENSG00000197822;ENSG00000034053;ENSG00000104059;ENSG00000144554;ENSG00000271503
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	0.228144989339019	0.439890550268891	1.22140090807683	NA	19	ENSG00000144554;ENSG00000271503;ENSG00000285077;ENSG00000010810
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	0.0143585680485528	0.0818438378767509	-1.53100835957246	NA	43	ENSG00000198626;ENSG00000186628;ENSG00000136383;ENSG00000156222;ENSG00000135439;ENSG00000152822;ENSG00000064726;ENSG00000103942
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	0.515444015444015	0.718640728884511	-0.963220312844067	NA	30	ENSG00000198523;ENSG00000171105;ENSG00000178952;ENSG00000168118
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	gtex_tissue_pair__GTEx_heart_left_ventricle_vs_lung_DESeq2	0.213530655391121	0.432755461592671	1.14260607702331	NA	70	ENSG00000197471;ENSG00000064012;ENSG00000102879;ENSG00000185905;ENSG00000162924;ENSG00000198722;ENSG00000013364;ENSG00000275052
