pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.922077922077922	0.999530256977065	-0.58645082114001	NA	7	ENSG00000174405
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.2560706401766	0.523620309050773	-1.20021219969185	NA	9	ENSG00000175003;ENSG00000187758;ENSG00000146477
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.594142259414226	0.804398081809671	-0.91949945023167	NA	5	ENSG00000175003;ENSG00000146477
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.000164617980519703	0.00357140716273844	-1.74482907921097	NA	89	ENSG00000121270;ENSG00000118137;ENSG00000107566;ENSG00000005471;ENSG00000143921;ENSG00000138075;ENSG00000135776;ENSG00000154262;ENSG00000117528;ENSG00000091262;ENSG00000071537;ENSG00000069431;ENSG00000108846;ENSG00000023839;ENSG00000108344;ENSG00000100519;ENSG00000126067;ENSG00000197170;ENSG00000154265;ENSG00000154258;ENSG00000101986;ENSG00000138942;ENSG00000072849;ENSG00000136986;ENSG00000008018;ENSG00000127922;ENSG00000143106;ENSG00000161057;ENSG00000034693;ENSG00000041357;ENSG00000141338;ENSG00000115657;ENSG00000130706;ENSG00000106588;ENSG00000147475;ENSG00000162735;ENSG00000131269;ENSG00000100902;ENSG00000165916;ENSG00000154263;ENSG00000197150
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.0684931506849315	0.253852739726027	-1.4449632078463	NA	18	ENSG00000118137;ENSG00000143921;ENSG00000138075;ENSG00000154262;ENSG00000117528;ENSG00000154265;ENSG00000154258;ENSG00000101986
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	9.43607985582481e-06	0.000441757527987167	-1.91282850068007	NA	65	ENSG00000118137;ENSG00000107566;ENSG00000005471;ENSG00000073734;ENSG00000143921;ENSG00000138075;ENSG00000165029;ENSG00000091262;ENSG00000071537;ENSG00000069431;ENSG00000023839;ENSG00000108344;ENSG00000100519;ENSG00000126067;ENSG00000197170;ENSG00000101986;ENSG00000138942;ENSG00000072849;ENSG00000136986;ENSG00000008018;ENSG00000127922;ENSG00000143106;ENSG00000161057;ENSG00000041357;ENSG00000115657;ENSG00000130706;ENSG00000106588;ENSG00000147475
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.412162162162162	0.669011392779641	-1.02742728569324	NA	20	ENSG00000145604;ENSG00000176248;ENSG00000105325;ENSG00000130177;ENSG00000141552
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.227436823104693	0.490957792207792	1.19071255979056	NA	17	ENSG00000129757;ENSG00000112576;ENSG00000114126;ENSG00000118971
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.254504504504505	0.521616951052435	-1.17002633431339	NA	22	ENSG00000144231;ENSG00000136937;ENSG00000099817;ENSG00000100142
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.0456204379562044	0.20088801763388	1.42983792129858	NA	14	ENSG00000136854;ENSG00000220205;ENSG00000143847;ENSG00000139220;ENSG00000115665
