pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.25103734439834	0.615384056982076	-1.2466488462786	NA	6	ENSG00000100714;ENSG00000163738;ENSG00000144908
GOBP_2FE_2S_CLUSTER_ASSEMBLY	GOBP_2FE_2S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.744230769230769	0.922245624274413	0.796662684087076	NA	9	ENSG00000136003
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.0052500609183944	0.0679674249081434	-1.63027921761205	NA	18	ENSG00000198650;ENSG00000147576;ENSG00000125166;ENSG00000109576;ENSG00000138413;ENSG00000166123;ENSG00000120053
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.845794392523365	0.959772516038013	-0.756542358408999	NA	22	ENSG00000107864;ENSG00000055917;ENSG00000135870;ENSG00000120948;ENSG00000005007;ENSG00000088247
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.145933014354067	0.486671726462302	-1.30186937397886	NA	24	ENSG00000172936;ENSG00000150455;ENSG00000112062;ENSG00000121274;ENSG00000112941;ENSG00000120948;ENSG00000196843;ENSG00000174606;ENSG00000182872
GOBP_4FE_4S_CLUSTER_ASSEMBLY	GOBP_4FE_4S_CLUSTER_ASSEMBLY	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.719769673704415	0.912503617945007	0.827173023717613	NA	5	ENSG00000136003
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.992307692307692	1	0.428223465349167	NA	6	ENSG00000155115;ENSG00000077235;ENSG00000115207;ENSG00000119041;ENSG00000148308;ENSG00000125484
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.978813559322034	1	-0.487570668080209	NA	10	ENSG00000139343;ENSG00000181817;ENSG00000100028;ENSG00000155858;ENSG00000137574;ENSG00000167088;ENSG00000125835;ENSG00000182004;ENSG00000143977;ENSG00000125743
GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	GOBP_7_METHYLGUANOSINE_MRNA_CAPPING	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.183505154639175	0.539503614520378	-1.30087323177105	NA	8	ENSG00000136937;ENSG00000169612;ENSG00000111880;ENSG00000180917
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	c5_go_bp	fgsea	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	gtex_tissue_pair__GTEx_liver_vs_kidney_cortex_DESeq2	0.448473282442748	0.765782065998999	1.04527966987153	NA	7	ENSG00000204385;ENSG00000112499
