pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.225969645868465	0.636049568355037	-1.22151962147299	NA	7	ENSG00000164985;ENSG00000174405
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.648387096774194	0.939910370661378	-0.890004637374775	NA	9	ENSG00000124253
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.718676122931442	0.970262515416174	0.801409403447612	NA	5	ENSG00000085563;ENSG00000175003;ENSG00000146477
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.736196319018405	0.972733971997052	0.911264635373119	NA	87	ENSG00000204308;ENSG00000103222;ENSG00000091262;ENSG00000071537;ENSG00000198691;ENSG00000023839;ENSG00000130741;ENSG00000138942;ENSG00000069431;ENSG00000167972;ENSG00000135506;ENSG00000172350;ENSG00000135776;ENSG00000134001;ENSG00000147475;ENSG00000154263;ENSG00000085563;ENSG00000107566
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.486902927580894	0.845607764291211	-1.01969394952185	NA	16	ENSG00000144452;ENSG00000064687;ENSG00000154265;ENSG00000101986;ENSG00000173208;ENSG00000107331
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.748898678414097	0.978201053180891	0.871767376016673	NA	63	ENSG00000204308;ENSG00000091262;ENSG00000071537;ENSG00000023839;ENSG00000138942;ENSG00000069431;ENSG00000167972;ENSG00000135506;ENSG00000147475;ENSG00000107566;ENSG00000005471
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.787296898079764	0.994384010640572	-0.790152638222111	NA	20	ENSG00000108106
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.178362573099415	0.576223592013066	1.27941020894643	NA	17	ENSG00000112242;ENSG00000007968;ENSG00000112576;ENSG00000123374;ENSG00000198176;ENSG00000139687;ENSG00000111276
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.476470588235294	0.836740220084116	-1.00658419908106	NA	22	ENSG00000144231;ENSG00000196235;ENSG00000102978;ENSG00000188342;ENSG00000147669;ENSG00000204356;ENSG00000105258;ENSG00000100142;ENSG00000125651
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.0607476635514019	0.375588140509185	-1.40127536921732	NA	13	ENSG00000160716;ENSG00000108556;ENSG00000138435;ENSG00000120903;ENSG00000147432;ENSG00000117971;ENSG00000080644;ENSG00000101204
