pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.0162545525973514	0.149416432179102	1.44182395660756	NA	57	ENSG00000124795;ENSG00000120693;ENSG00000197879;ENSG00000165633;ENSG00000107779;ENSG00000171791;ENSG00000039068;ENSG00000125845;ENSG00000139613;ENSG00000128805;ENSG00000204161;ENSG00000113658
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.0457799005204758	0.246403582213149	1.32080483700235	NA	56	ENSG00000132170;ENSG00000182771;ENSG00000104941;ENSG00000108219;ENSG00000107779;ENSG00000118007;ENSG00000112715;ENSG00000109320;ENSG00000015171;ENSG00000173269;ENSG00000137845;ENSG00000062650;ENSG00000125845;ENSG00000121892;ENSG00000122376;ENSG00000107771;ENSG00000178217
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.885941644562334	0.977848739173143	-0.754650164921329	NA	55	ENSG00000121653;ENSG00000183196;ENSG00000174684;ENSG00000019505;ENSG00000179915
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.637630662020906	0.859251923047318	0.886674725900265	NA	33	ENSG00000101400;ENSG00000172164;ENSG00000067560;ENSG00000123096;ENSG00000136238;ENSG00000181092;ENSG00000070831;ENSG00000170624;ENSG00000198947;ENSG00000108823;ENSG00000127191;ENSG00000115310;ENSG00000182957
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.241895261845387	0.54835884196939	1.21486995662642	NA	9	ENSG00000273749;ENSG00000102081;ENSG00000170113;ENSG00000126216
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.896961690885073	0.979353599615881	-0.743255829887986	NA	57	ENSG00000136854;ENSG00000106089;ENSG00000099365;ENSG00000083067;ENSG00000198668;ENSG00000119906
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.422839506172839	0.711450992377391	0.995802814773975	NA	19	ENSG00000169926;ENSG00000005339;ENSG00000261794;ENSG00000166912;ENSG00000010810;ENSG00000178115;ENSG00000166664;ENSG00000271503;ENSG00000175344;ENSG00000186399
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.0158179816257669	0.149416432179102	-1.44740099343998	NA	44	ENSG00000161681;ENSG00000103723;ENSG00000214575;ENSG00000136383;ENSG00000197959;ENSG00000140600;ENSG00000159082;ENSG00000065000;ENSG00000168959
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.228668941979522	0.54224348667268	1.15233592203567	NA	31	ENSG00000054282;ENSG00000176953;ENSG00000101096;ENSG00000198523;ENSG00000128052;ENSG00000160293;ENSG00000169682;ENSG00000110651;ENSG00000085117;ENSG00000117322;ENSG00000125730;ENSG00000177455;ENSG00000185885;ENSG00000096968;ENSG00000127191
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.170854271356784	0.481578947368421	-1.19852220033779	NA	71	ENSG00000130477;ENSG00000149926;ENSG00000174939;ENSG00000174938;ENSG00000119698;ENSG00000280789;ENSG00000167371;ENSG00000174943;ENSG00000149927
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.0990629183400268	0.379257616239015	-1.27681366663032	NA	52	ENSG00000183921;ENSG00000145526;ENSG00000188130;ENSG00000175267;ENSG00000198668;ENSG00000185386;ENSG00000141564;ENSG00000156467
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.675953079178886	0.878239407651172	-0.869433874954037	NA	28	ENSG00000118495;ENSG00000204843;ENSG00000166780;ENSG00000132912;ENSG00000181690;ENSG00000156968;ENSG00000138107
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.22108345534407	0.538046083538398	-1.21251385340382	NA	21	ENSG00000204843;ENSG00000180176;ENSG00000164885;ENSG00000132912;ENSG00000137100;ENSG00000166847;ENSG00000123454;ENSG00000166579
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_DESeq2	0.67156862745098	0.878239407651172	0.908085560810332	NA	77	ENSG00000154760;ENSG00000092871;ENSG00000161395;ENSG00000172716;ENSG00000172123;ENSG00000198783;ENSG00000275385;ENSG00000181374;ENSG00000185379;ENSG00000141736;ENSG00000166750;ENSG00000167258;ENSG00000125691;ENSG00000135605;ENSG00000161405;ENSG00000181291;ENSG00000125686;ENSG00000271503;ENSG00000278845;ENSG00000271447;ENSG00000277972;ENSG00000236320;ENSG00000276409
