pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.318518518518519	0.617366262872883	-1.1578633252989	NA	7	ENSG00000164985;ENSG00000174405
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.702991452991453	0.899688561894129	0.800773059009702	NA	9	ENSG00000076685;ENSG00000085563;ENSG00000175003
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.518763796909492	0.783060518852901	0.988434296811282	NA	5	ENSG00000085563;ENSG00000175003;ENSG00000146477
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.138686131386861	0.404512126339537	1.17935520756849	NA	87	ENSG00000204308;ENSG00000103222;ENSG00000091262;ENSG00000198691;ENSG00000071537;ENSG00000023839;ENSG00000130741;ENSG00000138942;ENSG00000172350;ENSG00000147475;ENSG00000135776;ENSG00000069431;ENSG00000135506;ENSG00000134001;ENSG00000085563;ENSG00000167972;ENSG00000107566;ENSG00000154262;ENSG00000108846
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.314917127071823	0.616580896498653	-1.10701521125396	NA	16	ENSG00000064687;ENSG00000144452;ENSG00000154265;ENSG00000101986;ENSG00000173208
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.332506203473945	0.632368606050496	1.04934516508631	NA	63	ENSG00000204308;ENSG00000091262;ENSG00000071537;ENSG00000023839;ENSG00000138942;ENSG00000147475;ENSG00000069431;ENSG00000135506;ENSG00000167972;ENSG00000107566;ENSG00000005471;ENSG00000165029;ENSG00000041357
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.850107066381156	0.97520279591901	0.752180894487904	NA	20	ENSG00000004897;ENSG00000170142;ENSG00000139687;ENSG00000110200;ENSG00000094880;ENSG00000176386;ENSG00000175063;ENSG00000164162;ENSG00000176248;ENSG00000053900
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.0711111111111111	0.271859748874674	1.42012810205507	NA	17	ENSG00000112242;ENSG00000123374;ENSG00000007968;ENSG00000112576;ENSG00000139687;ENSG00000198176;ENSG00000111276;ENSG00000105173;ENSG00000101412
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.514177693761815	0.781288648232995	-0.966157322330232	NA	22	ENSG00000144231;ENSG00000196235;ENSG00000102978;ENSG00000188342;ENSG00000147669;ENSG00000105258;ENSG00000204356;ENSG00000100142;ENSG00000125651
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.0690298507462687	0.271859748874674	-1.43447681760259	NA	13	ENSG00000160716;ENSG00000138435;ENSG00000108556;ENSG00000147432;ENSG00000120903;ENSG00000080644;ENSG00000117971;ENSG00000135902;ENSG00000101204
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.187613843351548	0.473502584462367	-1.27668927939861	NA	5	ENSG00000156113;ENSG00000080709
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.000838749781266823	0.019280491766813	-1.80996778427481	NA	17	ENSG00000136854;ENSG00000220205;ENSG00000132639;ENSG00000177380;ENSG00000079841;ENSG00000106089;ENSG00000105649;ENSG00000067715;ENSG00000187714;ENSG00000070748;ENSG00000139220;ENSG00000143847;ENSG00000131626
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.240506329113924	0.537690583667414	1.21134099198606	NA	10	ENSG00000156049;ENSG00000149782;ENSG00000133019;ENSG00000156052
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.509803921568627	0.777939090529829	-0.961517603937014	NA	31	ENSG00000185559;ENSG00000018236;ENSG00000107954;ENSG00000187957;ENSG00000143801;ENSG00000184916
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.630712979890311	0.858669987048844	-0.899394803616952	NA	6	ENSG00000176749;ENSG00000164885;ENSG00000156299
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.482328482328482	0.753401817372485	0.975065864241333	NA	11	ENSG00000148053;ENSG00000213281;ENSG00000115904;ENSG00000133703;ENSG00000137218
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.430735930735931	0.706269769054118	1.05304403811429	NA	7	ENSG00000148053;ENSG00000088538;ENSG00000010810;ENSG00000136238
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.474025974025974	0.745551378446115	0.994024947980893	NA	7	ENSG00000148053;ENSG00000145675;ENSG00000121879
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.57051282051282	0.816798348636914	0.920604462206984	NA	9	ENSG00000148053;ENSG00000213281;ENSG00000115904;ENSG00000133703
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.641758241758242	0.866745506083199	0.841956458019494	NA	6	ENSG00000169047;ENSG00000145675;ENSG00000121879
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.924731182795699	1	0.607887980920972	NA	8	ENSG00000213281;ENSG00000115904;ENSG00000133703
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.266519823788546	0.566196734659791	1.09832367846147	NA	35	ENSG00000167751;ENSG00000246705;ENSG00000105968;ENSG00000142515;ENSG00000274750;ENSG00000197903
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.39622641509434	0.681922710885786	1.02749445825553	NA	23	ENSG00000134070;ENSG00000106100;ENSG00000269335;ENSG00000114738;ENSG00000100324;ENSG00000244687;ENSG00000055208;ENSG00000175104;ENSG00000112062;ENSG00000143947
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.0709090909090909	0.271859748874674	-1.38901165744997	NA	26	ENSG00000186868;ENSG00000137285;ENSG00000258947;ENSG00000167552;ENSG00000198668;ENSG00000137267;ENSG00000243910;ENSG00000127824;ENSG00000173213;ENSG00000104833;ENSG00000181929
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.00220794276838293	0.0336798891839776	1.60757114497767	NA	88	ENSG00000105997;ENSG00000120093;ENSG00000105996;ENSG00000197576;ENSG00000173917;ENSG00000170166;ENSG00000246705;ENSG00000204103;ENSG00000182742;ENSG00000128652;ENSG00000129474;ENSG00000124151;ENSG00000100811;ENSG00000172819;ENSG00000005339;ENSG00000198353;ENSG00000160199;ENSG00000143995;ENSG00000105968
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	1	1	0.599301705444386	NA	64	ENSG00000164611;ENSG00000004897;ENSG00000170142;ENSG00000117399;ENSG00000134057
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.302895322939866	0.60479493676101	1.07499925248395	NA	37	ENSG00000100297;ENSG00000164053;ENSG00000112118;ENSG00000166508;ENSG00000123374;ENSG00000073111;ENSG00000115942;ENSG00000133119;ENSG00000076003;ENSG00000111445
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	c2_reactome	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.000946629430758458	0.0201679837203053	1.81148442714624	NA	15	ENSG00000171791;ENSG00000166913;ENSG00000120910;ENSG00000105221;ENSG00000142208;ENSG00000164924;ENSG00000002330
