pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.00827679255456421	0.0537111006200443	1.52629805830475	NA	57	ENSG00000124795;ENSG00000120693;ENSG00000197879;ENSG00000171791;ENSG00000107779;ENSG00000165633;ENSG00000039068;ENSG00000139613;ENSG00000125845;ENSG00000113658;ENSG00000204161;ENSG00000128805;ENSG00000166266;ENSG00000067141;ENSG00000184708;ENSG00000078747
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.0195871758258798	0.0861647398109617	1.47105471185808	NA	56	ENSG00000182771;ENSG00000132170;ENSG00000104941;ENSG00000108219;ENSG00000112715;ENSG00000118007;ENSG00000107779;ENSG00000109320;ENSG00000173269;ENSG00000015171;ENSG00000137845;ENSG00000062650;ENSG00000107771;ENSG00000121892;ENSG00000122376;ENSG00000125845;ENSG00000178217
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.291358024691358	0.484713804713805	1.07741605265993	NA	55	ENSG00000173218;ENSG00000070614;ENSG00000084093;ENSG00000005884;ENSG00000182197;ENSG00000106571;ENSG00000242574;ENSG00000150093;ENSG00000137575;ENSG00000175274;ENSG00000091409;ENSG00000141510;ENSG00000085117;ENSG00000177697;ENSG00000115232;ENSG00000204257;ENSG00000157570;ENSG00000138795;ENSG00000175264;ENSG00000135404
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.391891891891892	0.584960980556413	1.02254310129789	NA	33	ENSG00000101400;ENSG00000172164;ENSG00000067560;ENSG00000136238;ENSG00000123096;ENSG00000070831;ENSG00000198947;ENSG00000170624;ENSG00000108823;ENSG00000182957;ENSG00000115310;ENSG00000127191;ENSG00000128591;ENSG00000181092;ENSG00000240654;ENSG00000105695;ENSG00000169783
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.130063965884861	0.30717138392082	1.37356693528227	NA	9	ENSG00000273749;ENSG00000102081;ENSG00000170113;ENSG00000126216
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.207070707070707	0.391637518409426	1.13566082263382	NA	57	ENSG00000119139;ENSG00000197822;ENSG00000105289;ENSG00000107554;ENSG00000169926;ENSG00000104059;ENSG00000005339;ENSG00000142192;ENSG00000169375;ENSG00000166912;ENSG00000152661;ENSG00000261794;ENSG00000127022;ENSG00000249931;ENSG00000175344;ENSG00000179938;ENSG00000178115;ENSG00000173039;ENSG00000104067;ENSG00000125967;ENSG00000183153;ENSG00000116478;ENSG00000118900;ENSG00000263155;ENSG00000186399;ENSG00000140525;ENSG00000271503;ENSG00000206127;ENSG00000149257
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.188073394495413	0.37248302156559	1.22121444523095	NA	19	ENSG00000169926;ENSG00000005339;ENSG00000166912;ENSG00000010810;ENSG00000261794;ENSG00000175344;ENSG00000178115;ENSG00000166664;ENSG00000186399;ENSG00000271503;ENSG00000206127;ENSG00000149257
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.0519930675909879	0.172368321904905	-1.38246055962726	NA	44	ENSG00000103723;ENSG00000214575;ENSG00000161681;ENSG00000136383;ENSG00000197959;ENSG00000140600;ENSG00000159082;ENSG00000065000;ENSG00000168959
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.0688943685637067	0.209429725035852	1.40767372529924	NA	31	ENSG00000054282;ENSG00000198523;ENSG00000176953;ENSG00000160293;ENSG00000101096;ENSG00000128052;ENSG00000169682;ENSG00000110651;ENSG00000085117;ENSG00000185885;ENSG00000125730;ENSG00000096968;ENSG00000127191;ENSG00000154710;ENSG00000117322;ENSG00000168118
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.147299509001637	0.33034081062867	-1.1971426773445	NA	71	ENSG00000119698;ENSG00000174939;ENSG00000130477;ENSG00000280789;ENSG00000174938;ENSG00000167371;ENSG00000149926;ENSG00000149927;ENSG00000174943
WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	WP_16P122_COPY_NUMBER_VARIATION_SYNDROME_520KB	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.267918088737201	0.457360170139066	-1.10981063922695	NA	52	ENSG00000183921;ENSG00000188130;ENSG00000175267;ENSG00000198668;ENSG00000145526;ENSG00000185386;ENSG00000156467;ENSG00000141564
WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	WP_16P1311_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.745974955277281	0.860740333012247	-0.841010681589793	NA	28	ENSG00000166780;ENSG00000204843;ENSG00000118495;ENSG00000132912;ENSG00000181690;ENSG00000156968;ENSG00000138107
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	WP_17P133_YWHAE_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.148936170212766	0.330887761106208	-1.27980671762067	NA	21	ENSG00000204843;ENSG00000180176;ENSG00000164885;ENSG00000132912;ENSG00000137100;ENSG00000166847;ENSG00000166579;ENSG00000123454
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.0714285714285714	0.214990601503759	1.25105058411433	NA	77	ENSG00000154760;ENSG00000172123;ENSG00000092871;ENSG00000172716;ENSG00000161395;ENSG00000141736;ENSG00000271447;ENSG00000198783;ENSG00000185379;ENSG00000166750;ENSG00000181374;ENSG00000167258;ENSG00000125691;ENSG00000135605;ENSG00000181291;ENSG00000125686;ENSG00000278845;ENSG00000277972;ENSG00000276409;ENSG00000275385;ENSG00000276234;ENSG00000278619;ENSG00000161405;ENSG00000271503;ENSG00000108700;ENSG00000236320
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.994694960212202	0.996873919599304	0.736906048790182	NA	99	ENSG00000175387;ENSG00000188157;ENSG00000112715;ENSG00000166949;ENSG00000104613;ENSG00000179403;ENSG00000224051;ENSG00000141646;ENSG00000162576;ENSG00000215915;ENSG00000073111;ENSG00000146834;ENSG00000198719;ENSG00000165527;ENSG00000186827;ENSG00000124171;ENSG00000008130;ENSG00000131591;ENSG00000149262;ENSG00000119689;ENSG00000127191;ENSG00000157873;ENSG00000235098;ENSG00000187583;ENSG00000186265;ENSG00000036257
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.0111314671210714	0.0615442864938534	1.59669744034197	NA	25	ENSG00000119139;ENSG00000197822;ENSG00000132356;ENSG00000265107;ENSG00000105289;ENSG00000158769;ENSG00000152661;ENSG00000183853;ENSG00000106617;ENSG00000104067;ENSG00000162409
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.856481481481482	0.927051671732523	-0.834017258269765	NA	117	ENSG00000234409;ENSG00000099957;ENSG00000273032;ENSG00000099960;ENSG00000187905;ENSG00000284130;ENSG00000183773;ENSG00000149295;ENSG00000203618;ENSG00000094916;ENSG00000128918;ENSG00000164093;ENSG00000184436;ENSG00000099904;ENSG00000184702;ENSG00000237476;ENSG00000185345;ENSG00000185252;ENSG00000114388;ENSG00000241973;ENSG00000100401
WP_22Q112_DISTAL_CNV	WP_22Q112_DISTAL_CNV	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.604519774011299	0.757719990712793	0.95303364491936	NA	133	ENSG00000104941;ENSG00000167705;ENSG00000167978;ENSG00000161179;ENSG00000163510;ENSG00000021776;ENSG00000112306;ENSG00000204560;ENSG00000105193;ENSG00000105372;ENSG00000134419;ENSG00000141510;ENSG00000114062;ENSG00000076924;ENSG00000100023;ENSG00000127022;ENSG00000179218;ENSG00000166598;ENSG00000180370;ENSG00000086589;ENSG00000108883;ENSG00000161180;ENSG00000100121;ENSG00000110395;ENSG00000231500;ENSG00000170889;ENSG00000099995;ENSG00000164587;ENSG00000069869;ENSG00000155660;ENSG00000213741;ENSG00000090520;ENSG00000115524;ENSG00000165695;ENSG00000100030;ENSG00000138326;ENSG00000131013;ENSG00000166233;ENSG00000083845;ENSG00000171566;ENSG00000137154;ENSG00000171858;ENSG00000100034;ENSG00000110700;ENSG00000143947;ENSG00000100603;ENSG00000186468
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	gtex_tissue_pair__GTEx_pituitary_vs_thyroid_limma	0.980322003577818	0.990060301626604	-0.622664291921587	NA	32	ENSG00000213337;ENSG00000139219;ENSG00000163121;ENSG00000249715;ENSG00000155229;ENSG00000144021;ENSG00000188886;ENSG00000158050;ENSG00000163126;ENSG00000135956;ENSG00000166595
