pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.674157303370786	0.964563526361279	0.877677894926591	NA	42	ENSG00000198691;ENSG00000135776;ENSG00000114770;ENSG00000121270;ENSG00000107331;ENSG00000140798;ENSG00000179869;ENSG00000124574;ENSG00000064687
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.191304347826087	0.678832116788321	-1.15848978430002	NA	57	ENSG00000157404;ENSG00000152284;ENSG00000115904;ENSG00000102882;ENSG00000148737;ENSG00000126561
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.234513274336283	0.729791666666667	-1.11507109710509	NA	71	ENSG00000010810;ENSG00000152284;ENSG00000104067;ENSG00000035403;ENSG00000044115;ENSG00000102882;ENSG00000148737;ENSG00000095637;ENSG00000106799;ENSG00000173482;ENSG00000204435;ENSG00000143727;ENSG00000019549;ENSG00000067560;ENSG00000140575;ENSG00000130402;ENSG00000087095;ENSG00000196396;ENSG00000176105;ENSG00000177707;ENSG00000077782;ENSG00000127329;ENSG00000070770
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.666666666666667	0.961240310077519	-0.887990723608751	NA	64	ENSG00000162409;ENSG00000111725;ENSG00000132356;ENSG00000133124;ENSG00000174697;ENSG00000179295;ENSG00000181929;ENSG00000104825;ENSG00000100889;ENSG00000181092;ENSG00000028137;ENSG00000152254;ENSG00000004660;ENSG00000269335;ENSG00000050748;ENSG00000117020;ENSG00000109320;ENSG00000109819;ENSG00000159346;ENSG00000135218
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.0352288590394627	0.273023657555836	1.46589821052181	NA	29	ENSG00000159423;ENSG00000070669;ENSG00000108381;ENSG00000130707;ENSG00000239900;ENSG00000167701;ENSG00000172482;ENSG00000021826;ENSG00000128683;ENSG00000166123;ENSG00000203797;ENSG00000035687;ENSG00000185100;ENSG00000183044;ENSG00000135423;ENSG00000128059
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.981617647058823	1	0.579835865970042	NA	37	ENSG00000154229;ENSG00000166501;ENSG00000137731;ENSG00000171105;ENSG00000168447;ENSG00000017427;ENSG00000117594;ENSG00000169047;ENSG00000121879
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.302238805970149	0.814145021021713	1.09665545528143	NA	28	ENSG00000101017;ENSG00000026103;ENSG00000204642;ENSG00000102245;ENSG00000232810;ENSG00000234745;ENSG00000206503;ENSG00000114013;ENSG00000178562
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.17816091954023	0.678832116788321	1.28991843870985	NA	15	ENSG00000243708;ENSG00000184381;ENSG00000123739;ENSG00000134824;ENSG00000188784
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.850434782608696	0.984241577394815	0.857774289126852	NA	159	ENSG00000026103;ENSG00000160471;ENSG00000156467;ENSG00000136521;ENSG00000127184;ENSG00000124172;ENSG00000132906;ENSG00000173660;ENSG00000198727;ENSG00000119013;ENSG00000198804;ENSG00000164305;ENSG00000160014;ENSG00000090266;ENSG00000115944;ENSG00000198899;ENSG00000130203;ENSG00000228253;ENSG00000166869;ENSG00000137845;ENSG00000172115;ENSG00000015475;ENSG00000131143;ENSG00000184076;ENSG00000004779;ENSG00000198938;ENSG00000165806;ENSG00000183454;ENSG00000198712;ENSG00000172071;ENSG00000232810;ENSG00000170906
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.280701754385965	0.800691478543828	-1.11594351002445	NA	41	ENSG00000140105;ENSG00000067704;ENSG00000162396;ENSG00000106105;ENSG00000103356;ENSG00000011376;ENSG00000204394;ENSG00000143374;ENSG00000172053;ENSG00000136628;ENSG00000196305;ENSG00000134440;ENSG00000065427;ENSG00000112855
