pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
REACTOME_2_LTR_CIRCLE_FORMATION	REACTOME_2_LTR_CIRCLE_FORMATION	c2_reactome	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.195357833655706	0.66177678851526	1.26281350269837	NA	7	ENSG00000152422;ENSG00000175334;ENSG00000174405
REACTOME_ABACAVIR_ADME	REACTOME_ABACAVIR_ADME	c2_reactome	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.993736951983299	1	-0.451214258962549	NA	8	ENSG00000175003;ENSG00000187758;ENSG00000076685;ENSG00000124253
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.962222222222222	1	-0.706961011261969	NA	87	ENSG00000125257;ENSG00000100764;ENSG00000160179;ENSG00000005471;ENSG00000108344;ENSG00000173692;ENSG00000108671;ENSG00000023839;ENSG00000103035;ENSG00000008018;ENSG00000069431;ENSG00000159377;ENSG00000130706;ENSG00000165280;ENSG00000136930;ENSG00000161057;ENSG00000165916;ENSG00000154258;ENSG00000197170;ENSG00000138942;ENSG00000004846;ENSG00000185627;ENSG00000163636;ENSG00000001626;ENSG00000277791;ENSG00000135506;ENSG00000126067;ENSG00000154262;ENSG00000175166;ENSG00000071537;ENSG00000068912
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.855595667870036	1	0.69849590188435	NA	16	ENSG00000107331;ENSG00000162735;ENSG00000064687;ENSG00000154265;ENSG00000117528
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.277056277056277	0.732751825289139	-1.09793280874698	NA	62	ENSG00000100764;ENSG00000005471;ENSG00000108344;ENSG00000173692;ENSG00000108671;ENSG00000023839;ENSG00000103035;ENSG00000008018;ENSG00000069431;ENSG00000159377;ENSG00000130706;ENSG00000165280;ENSG00000136930;ENSG00000161057;ENSG00000165916;ENSG00000197170;ENSG00000138942;ENSG00000185627;ENSG00000163636;ENSG00000001626;ENSG00000277791;ENSG00000135506;ENSG00000126067;ENSG00000175166;ENSG00000071537;ENSG00000068912;ENSG00000115233
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.60188679245283	0.924209459660835	0.891090974560186	NA	20	ENSG00000166295;ENSG00000145604;ENSG00000053900;ENSG00000108106;ENSG00000072401;ENSG00000196510;ENSG00000130177
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.814079422382672	0.996447102727296	0.736254272080717	NA	17	ENSG00000118971;ENSG00000105810
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	c2_reactome	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.120430107526882	0.573703821511337	-1.32751829207476	NA	22	ENSG00000060069;ENSG00000181222;ENSG00000102978;ENSG00000047315;ENSG00000168002;ENSG00000213246;ENSG00000188986;ENSG00000177700
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.10183299389002	0.552120477756621	-1.37942922692631	NA	6	ENSG00000174343;ENSG00000080644;ENSG00000160716;ENSG00000120903
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	c2_reactome	fgsea	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	gtex_tissue_pair__GTEx_skin_sun_exposed_lower_leg_vs_skin_not_sun_exposed_suprapubic_limma	0.246062992125984	0.705394646533974	-1.2301376539125	NA	5	ENSG00000156113;ENSG00000174343
