pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	0.898412698412698	0.979949071318073	0.759841451678829	NA	57	ENSG00000128815;ENSG00000204161;ENSG00000134899;ENSG00000165606;ENSG00000115524;ENSG00000165383;ENSG00000171791;ENSG00000070748;ENSG00000077463;ENSG00000225830;ENSG00000124795
WP_10Q22Q23_COPY_NUMBER_VARIATION	WP_10Q22Q23_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	0.0845295055821372	0.358115998442974	1.29764421694562	NA	55	ENSG00000188373;ENSG00000204033;ENSG00000148600;ENSG00000120659;ENSG00000187726;ENSG00000108219;ENSG00000154165;ENSG00000108055;ENSG00000122376;ENSG00000137845;ENSG00000099994;ENSG00000171984
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	0.265923566878981	0.598165480510177	1.12241868216781	NA	53	ENSG00000138795;ENSG00000143119;ENSG00000115232;ENSG00000242574;ENSG00000183196;ENSG00000177455;ENSG00000010610;ENSG00000156738;ENSG00000204287;ENSG00000160255;ENSG00000204257
WP_13Q1212_COPY_NUMBER_VARIATION	WP_13Q1212_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	0.433583959899749	0.734596919883023	-0.999866185719216	NA	32	ENSG00000172164;ENSG00000050748;ENSG00000101400;ENSG00000173402;ENSG00000127863;ENSG00000027001;ENSG00000198947;ENSG00000108823;ENSG00000067560;ENSG00000128591;ENSG00000102683;ENSG00000124788;ENSG00000232977
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	0.590225563909774	0.834112932099835	0.904702144361731	NA	9	ENSG00000102081;ENSG00000126216;ENSG00000128159
WP_15Q11Q13_COPY_NUMBER_VARIATION	WP_15Q11Q13_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	0.979002624671916	1	-0.705441324166423	NA	56	ENSG00000125967;ENSG00000083067;ENSG00000156831;ENSG00000169189;ENSG00000187098;ENSG00000263155;ENSG00000173039;ENSG00000187123;ENSG00000119139;ENSG00000127022;ENSG00000104067;ENSG00000197822
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	0.373451327433628	0.69012341623137	1.07573991793331	NA	18	ENSG00000144554;ENSG00000010810;ENSG00000271503;ENSG00000169926;ENSG00000285077;ENSG00000005339
WP_15Q25_COPY_NUMBER_VARIATION	WP_15Q25_COPY_NUMBER_VARIATION	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	0.557333333333333	0.811061296763742	-0.926691325645758	NA	43	ENSG00000103942;ENSG00000129128;ENSG00000197696;ENSG00000114902;ENSG00000140612;ENSG00000136383;ENSG00000169612;ENSG00000176371;ENSG00000118363;ENSG00000198626;ENSG00000156218;ENSG00000140600;ENSG00000135577;ENSG00000132155
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	0.627287853577371	0.86522462562396	0.878829182896523	NA	30	ENSG00000160293;ENSG00000117322;ENSG00000177455;ENSG00000177885;ENSG00000176953;ENSG00000177548;ENSG00000185885;ENSG00000213658;ENSG00000127191;ENSG00000101096;ENSG00000178188;ENSG00000196296;ENSG00000056558;ENSG00000168488
WP_16P112_PROXIMAL_DELETION_SYNDROME	WP_16P112_PROXIMAL_DELETION_SYNDROME	c2_wikipathways	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_edgeR	0.463525835866261	0.749461808430511	1.00100499503786	NA	72	ENSG00000174992;ENSG00000102879;ENSG00000064012;ENSG00000197471;ENSG00000174943;ENSG00000185905;ENSG00000108984;ENSG00000149927;ENSG00000079616;ENSG00000103485;ENSG00000102699;ENSG00000013364;ENSG00000090238;ENSG00000171634;ENSG00000100796;ENSG00000112640
