pathway_id	pathway_name	database	tool	input_id	comparison_id	p_value	padj	NES	log2_odds_ratio	gene_set_size	hit_genes
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.000216048452411881	0.0014351790053075	1.86366382531818	NA	44	ENSG00000085563;ENSG00000204267;ENSG00000198691;ENSG00000005471;ENSG00000119688;ENSG00000179869;ENSG00000138075;ENSG00000143921;ENSG00000168394;ENSG00000135776;ENSG00000118777;ENSG00000023839;ENSG00000001626;ENSG00000064687;ENSG00000173208;ENSG00000101986
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	c2_kegg	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.605893186003683	0.764922450258499	0.922735099277706	NA	57	ENSG00000138795;ENSG00000105851;ENSG00000141506;ENSG00000122025;ENSG00000066336;ENSG00000171608;ENSG00000177885;ENSG00000081059;ENSG00000102096;ENSG00000104365;ENSG00000126561
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.0726872246696035	0.204845814977974	-1.28827959704335	NA	73	ENSG00000175866;ENSG00000070770;ENSG00000132970;ENSG00000140443;ENSG00000130202;ENSG00000143727;ENSG00000169750;ENSG00000100030;ENSG00000095637;ENSG00000177707;ENSG00000101266;ENSG00000077522;ENSG00000148498;ENSG00000104067;ENSG00000184009;ENSG00000143217;ENSG00000204435;ENSG00000173482;ENSG00000176105;ENSG00000197122;ENSG00000106799;ENSG00000124216
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	c2_kegg	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.243534482758621	0.457549634273772	-1.13366506188187	NA	65	ENSG00000123983;ENSG00000133124;ENSG00000142208;ENSG00000151726;ENSG00000159346;ENSG00000162409;ENSG00000050748;ENSG00000116678
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.258849557522124	0.472019781363873	-1.14997312161251	NA	31	ENSG00000135821;ENSG00000159423;ENSG00000166123;ENSG00000185100;ENSG00000125166;ENSG00000114021;ENSG00000182890
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.808823529411765	0.864674329501916	0.807954788084483	NA	41	ENSG00000105851;ENSG00000141506;ENSG00000171608;ENSG00000176387;ENSG00000166501
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	c2_kegg	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	1.89234274977424e-08	3.91084168286676e-07	2.2609046305722	NA	32	ENSG00000242574;ENSG00000204287;ENSG00000196126;ENSG00000204642;ENSG00000026103;ENSG00000102245;ENSG00000204252;ENSG00000231389;ENSG00000234745;ENSG00000114013;ENSG00000223865;ENSG00000196735;ENSG00000204257;ENSG00000206503;ENSG00000204592;ENSG00000178562;ENSG00000121594;ENSG00000241106;ENSG00000179344;ENSG00000198502;ENSG00000109471;ENSG00000204525;ENSG00000232810
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	c2_kegg	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.393474088291747	0.591965217391304	1.05454814676471	NA	16	ENSG00000188257;ENSG00000138308;ENSG00000117215
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	c2_kegg	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	8.36707993984167e-06	7.78138434405275e-05	-1.7865135292667	NA	159	ENSG00000002330;ENSG00000189043;ENSG00000162909;ENSG00000115944;ENSG00000110717;ENSG00000135390;ENSG00000182240;ENSG00000156467;ENSG00000128609;ENSG00000168653;ENSG00000166136;ENSG00000099795;ENSG00000160194;ENSG00000241837;ENSG00000156052;ENSG00000167863;ENSG00000165264;ENSG00000178127;ENSG00000119421;ENSG00000164258;ENSG00000147684;ENSG00000072506;ENSG00000170906;ENSG00000267855;ENSG00000182621;ENSG00000100030;ENSG00000099624;ENSG00000186318;ENSG00000183648;ENSG00000154723;ENSG00000172071;ENSG00000065518;ENSG00000140990;ENSG00000109390;ENSG00000131495;ENSG00000145494;ENSG00000205155;ENSG00000101333;ENSG00000127540;ENSG00000090266;ENSG00000184983;ENSG00000135940;ENSG00000164405;ENSG00000119912;ENSG00000152234;ENSG00000118217;ENSG00000112695;ENSG00000131174;ENSG00000167792;ENSG00000124172;ENSG00000173660;ENSG00000228253;ENSG00000198899;ENSG00000143252;ENSG00000130414;ENSG00000136521;ENSG00000198727;ENSG00000115286;ENSG00000159199;ENSG00000125356;ENSG00000184076;ENSG00000004779;ENSG00000126267;ENSG00000169021;ENSG00000176340;ENSG00000172115;ENSG00000179091;ENSG00000023228;ENSG00000131143
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	c2_kegg	fgsea	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	gtex_tissue_pair__GTEx_stomach_vs_small_intestine_terminal_ileum_limma	0.00129113487031858	0.00706326723174282	-1.77913375319846	NA	41	ENSG00000090861;ENSG00000031698;ENSG00000134684;ENSG00000196305;ENSG00000170445;ENSG00000065427;ENSG00000106105;ENSG00000116120;ENSG00000115866;ENSG00000103356;ENSG00000116874;ENSG00000145982;ENSG00000110619;ENSG00000113407;ENSG00000134440;ENSG00000137513;ENSG00000166986;ENSG00000133706;ENSG00000136628;ENSG00000179115;ENSG00000011376
